# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Sep 15 16:08:29 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
4.3836e-05 -2.19174 10.13672 0.1000000015 1.1711064577    0.100 -2.779  3.5590  5.405    1  0.000  0.545     0.00     0.00 -1 -2.57e-17      0.00 7.445e-01 2.554e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.717 11.422 10.620 10.089 9.685 9.598 9.340 9.084 8.983 9.804 9.223 9.725 9.639 9.621 9.573 9.448 9.239 9.117 9.063 9.001 8.984 8.962 8.949 9.662
4.3836e-05 -2.19174 10.13672 0.1098214313 1.2482755184    0.109 -2.630  3.5743  5.356    1  0.000  0.545     0.00     0.00 -1  -7.2e-17      0.00 7.425e-01 2.574e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.344 11.023 10.291 9.774 9.326 9.192 8.960 8.747 8.654 9.442 8.863 9.388 9.250 9.217 9.164 9.048 8.878 8.777 8.728 8.671 8.655 8.634 8.622 9.291
4.3836e-05 -2.19174 10.13672 0.1294642836 1.3786746264    0.129 -2.387  3.5968  5.275    1  0.000  0.545     0.00     0.00 -1 -3.31e-16      0.00 7.391e-01 2.608e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.737 10.392 9.731 9.245 8.755 8.563 8.371 8.210 8.133 8.864 8.299 8.847 8.640 8.588 8.536 8.439 8.309 8.234 8.195 8.147 8.134 8.117 8.108 8.704
4.3836e-05 -2.19174 10.13672 0.1491071582 1.4855960608    0.149 -2.223  3.6081  5.217    1  0.000  0.545     0.00     0.00 -1 -3.38e-17      0.00 7.371e-01 2.628e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.327 9.970 9.338 8.870 8.371 8.154 7.980 7.842 7.775 8.473 7.918 8.473 8.241 8.180 8.127 8.039 7.927 7.864 7.829 7.786 7.775 7.761 7.753 8.314
4.3836e-05 -2.19174 10.13672 0.1687500030 1.5756140947    0.168 -2.096  3.6154  5.173    1  0.000  0.545     0.00     0.00 -1 -6.38e-16      0.00 7.363e-01 2.636e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 10.010 9.644 9.030 8.574 8.075 7.844 7.679 7.556 7.494 8.172 7.624 8.181 7.937 7.871 7.817 7.733 7.632 7.576 7.544 7.504 7.494 7.482 7.474 8.015
4.3836e-05 -2.19174 10.13672 0.1784816682 1.6153104305    0.178 -2.041  3.6183  5.154    1  0.000  0.545     0.00     0.00 -1 -7.18e-16      0.00 7.362e-01 2.637e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.874 9.505 8.898 8.446 7.947 7.712 7.550 7.433 7.373 8.042 7.498 8.055 7.808 7.739 7.685 7.602 7.506 7.452 7.422 7.383 7.373 7.361 7.354 7.887
4.3836e-05 -2.19174 10.13672 0.2080357224 1.7204496861    0.207 -1.893  3.6263  5.104    1  0.000  0.545     0.00     0.00 -1 -4.67e-16      0.00 7.361e-01 2.638e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 9.502 9.123 8.535 8.097 7.601 7.357 7.203 7.100 7.045 7.692 7.157 7.711 7.458 7.385 7.329 7.249 7.164 7.117 7.090 7.054 7.045 7.034 7.028 7.539
4.3836e-05 -2.19174 10.13672 0.2571428716 1.8581268787    0.257 -1.706  3.6363  5.051    1  0.000  0.545     0.00     0.00 -1 -3.83e-16      0.00 7.364e-01 2.635e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 9.036 8.643 8.078 7.657 7.169 6.920 6.774 6.685 6.636 7.256 6.734 7.279 7.024 6.948 6.892 6.814 6.740 6.700 6.676 6.643 6.636 6.626 6.620 7.106
4.3836e-05 -2.19174 10.13672 0.3062500358 1.9652637243    0.306 -1.562  3.6448  5.016    1  0.000  0.545     0.00     0.00 -1 -1.52e-16      0.00 7.362e-01 2.637e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.674 8.270 7.725 7.317 6.838 6.591 6.450 6.370 6.325 6.923 6.415 6.947 6.694 6.618 6.562 6.486 6.420 6.384 6.362 6.332 6.325 6.315 6.310 6.776
4.3836e-05 -2.19174 10.13672 0.3553571701 2.0521113873    0.355 -1.439  3.6527  4.990    1  0.000  0.544     0.00     0.00 -1 -1.07e-15      0.00 7.372e-01 2.627e-01 1.796e-05 4.853e-06 4.400e-05 -1.000 1.001e-04 8.367 7.953 7.425 7.031 6.561 6.317 6.182 6.109 6.067 6.645 6.150 6.669 6.419 6.344 6.290 6.215 6.155 6.122 6.102 6.073 6.066 6.057 6.053 6.500
4.3836e-05 -2.19174 10.13672 0.3970034719 2.1143536568    0.397 -1.333  3.6600  4.961    1  0.000  0.545     0.00     0.00 -1 -5.06e-16      0.00 7.482e-01 2.517e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 8.103 7.679 7.168 6.785 6.323 6.085 5.955 5.888 5.847 6.407 5.925 6.430 6.184 6.111 6.058 5.986 5.930 5.900 5.881 5.854 5.847 5.838 5.835 6.263
