# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Sep 15 20:48:28 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: WFIRST proposed filters, Vegamags
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  R062mag  Z087mag  Y106mag  J129mag  H158mag  F184mag  W149mag
0.0152 0.01508 10.13672 0.0900000036 1.0816895962    0.090 -3.422  3.3626  5.217    1  0.000  0.545     0.00     0.00 -1 -3.91e-17      0.00 7.076e-01 2.772e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.325 16.385 12.970 11.836 11.193 10.766 10.656 11.206
0.0152 0.01508 10.13672 0.1000000015 1.1711064577    0.100 -3.240  3.3885  5.184    1  0.000  0.545     0.00     0.00 -1 -1.42e-22      0.00 7.070e-01 2.778e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.869 15.920 12.514 11.379 10.738 10.312 10.199 10.751
0.0152 0.01508 10.13672 0.1200000122 1.3193155527    0.120 -2.974  3.4235  5.137    1  0.000  0.545     0.00     0.00 -1 -1.04e-16      0.00 7.058e-01 2.789e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.206 15.080 11.809 10.716 10.086 9.661 9.539 10.095
0.0152 0.01508 10.13672 0.1215317696 1.3293278217    0.121 -2.959  3.4251  5.134    1  0.000  0.545     0.00     0.00 -1 -5.43e-17      0.00 7.057e-01 2.790e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.168 14.996 11.759 10.678 10.051 9.625 9.502 10.058
0.0152 0.01508 10.13672 0.1400000006 1.4384527206    0.140 -2.791  3.4437  5.101    1  0.000  0.545     0.00     0.00 -1 -1.69e-20      0.00 7.047e-01 2.800e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.746 14.123 11.213 10.256 9.657 9.231 9.094 9.656
0.0152 0.01508 10.13672 0.1599999964 1.5372931957    0.160 -2.648  3.4573  5.072    1  0.000  0.545     0.00     0.00 -1 -5.37e-18      0.00 7.038e-01 2.809e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.391 13.464 10.779 9.906 9.324 8.898 8.754 9.317
0.0152 0.01508 10.13672 0.2000000030 1.6938791275    0.200 -2.426  3.4761  5.021    1  0.000  0.545     0.00     0.00 -1 -5.79e-22      0.00 7.024e-01 2.823e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.835 12.546 10.133 9.361 8.802 8.375 8.223 8.788
0.0152 0.01508 10.13672 0.2500000000 1.8403258324    0.250 -2.209  3.4923  4.966    1  0.000  0.545     0.00     0.00 -1 -1.59e-19      0.00 7.014e-01 2.833e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.294 11.723 9.531 8.835 8.294 7.865 7.707 8.273
0.0152 0.01508 10.13672 0.3000000119 1.9529139996    0.300 -2.043  3.5028  4.922    1  0.000  0.545     0.00     0.00 -1 -1.87e-20      0.00 7.012e-01 2.835e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.879 11.164 9.086 8.430 7.899 7.467 7.308 7.874
0.0152 0.01508 10.13672 0.3031491339 1.9591778517    0.303 -2.034  3.5034  4.919    1  0.000  0.545     0.00     0.00 -1 -1.34e-20      0.00 7.018e-01 2.830e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.855 11.132 9.060 8.406 7.876 7.444 7.284 7.850
0.0152 0.01508 10.13672 0.3500000238 2.0434176922    0.350 -1.900  3.5115  4.881    1  0.000  0.545     0.00     0.00 -1 -1.75e-22      0.00 7.087e-01 2.760e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.521 10.696 8.706 8.081 7.558 7.123 6.961 7.529
