# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 21:57:46 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00025205 -1.79000 10.11394 0.0900000110 1.0816897154    0.090 -3.195  3.4848  5.478    1  0.000  0.545     0.00     0.00 -1 -4.88e-17      0.00 7.481e-01 2.516e-01 4.958e-05 1.338e-05 1.213e-04 -1.000 2.757e-04 12.756 19.825 17.102 15.099 13.497 12.005 10.787 10.551 10.480
0.00025205 -1.79000 10.11394 0.0958683714 1.1356363297    0.096 -2.980  3.5163  5.416    1  0.000  0.545     0.00     0.00 -1 -8.33e-17      0.00 7.465e-01 2.532e-01 4.958e-05 1.338e-05 1.213e-04 -1.000 2.757e-04 12.219 17.902 15.851 13.977 12.679 11.487 10.357 9.979 9.873
0.00025205 -1.79000 10.11394 0.1000000089 1.1711064577    0.100 -2.836  3.5372  5.375    1  0.000  0.545     0.00     0.00 -1 -1.19e-16      0.00 7.454e-01 2.543e-01 4.958e-05 1.338e-05 1.213e-04 -1.000 2.758e-04 11.861 16.759 15.058 13.331 12.161 11.137 10.070 9.625 9.499
0.00025205 -1.79000 10.11394 0.1200000048 1.3193155527    0.120 -2.544  3.5681  5.285    1  0.000  0.545     0.00     0.00 -1 -2.36e-16      0.00 7.420e-01 2.577e-01 4.958e-05 1.338e-05 1.213e-04 -1.000 2.756e-04 11.130 15.022 13.743 12.261 11.238 10.414 9.444 8.931 8.777
0.00025205 -1.79000 10.11394 0.1400000006 1.4384527206    0.140 -2.359  3.5830  5.227    1  0.000  0.545     0.00     0.00 -1 -3.58e-16      0.00 7.397e-01 2.600e-01 4.958e-05 1.338e-05 1.213e-04 -1.000 2.758e-04 10.669 14.146 13.034 11.665 10.711 9.954 9.031 8.498 8.331
0.00025205 -1.79000 10.11394 0.1599999964 1.5372931957    0.160 -2.215  3.5927  5.180    1  0.000  0.545     0.00     0.00 -1 -4.93e-16      0.00 7.383e-01 2.614e-01 4.958e-05 1.338e-05 1.213e-04 -1.000 2.757e-04 10.307 13.529 12.522 11.221 10.314 9.593 8.700 8.157 7.983
0.00025205 -1.79000 10.11394 0.2000000179 1.6938792467    0.200 -1.994  3.6050  5.105    1  0.000  0.545     0.00     0.00 -1 -7.98e-16      0.00 7.374e-01 2.623e-01 4.958e-05 1.338e-05 1.213e-04 -1.000 2.758e-04 9.755 12.681 11.792 10.573 9.723 9.040 8.185 7.636 7.458
0.00025205 -1.79000 10.11394 0.2500000298 1.8403259516    0.250 -1.793  3.6160  5.045    1  0.000  0.545     0.00     0.00 -1 -4.75e-16      0.00 7.377e-01 2.620e-01 4.958e-05 1.338e-05 1.213e-04 -1.000 2.757e-04 9.252 11.937 11.143 9.989 9.188 8.535 7.713 7.163 6.988
0.00025205 -1.79000 10.11394 0.3000000715 1.9529141188    0.300 -1.639  3.6251  5.006    1  0.000  0.545     0.00     0.00 -1 -8.36e-16      0.00 7.378e-01 2.620e-01 4.957e-05 1.338e-05 1.213e-04 -1.000 2.757e-04 8.867 11.367 10.645 9.540 8.777 8.149 7.353 6.805 6.636
0.00025205 -1.79000 10.11394 0.3500000238 2.0434176922    0.350 -1.513  3.6331  4.979    1  0.000  0.544     0.00     0.00 -1 -9.76e-16      0.00 7.375e-01 2.622e-01 4.953e-05 1.338e-05 1.213e-04 -1.000 2.778e-04 8.551 10.893 10.233 9.170 8.440 7.832 7.059 6.516 6.354
0.00025205 -1.79000 10.11394 0.4000000358 2.1185026169    0.400 -1.380  3.6430  4.944    1  0.000  0.545     0.00     0.00 -1  -2.8e-15      0.00 7.502e-01 2.495e-01 4.958e-05 1.338e-05 1.213e-04 -1.000 2.757e-04 8.219 10.376 9.791 8.775 8.083 7.500 6.755 6.219 6.066
0.00025205 -1.79000 10.11394 0.4500000477 2.1822810173    0.450 -1.217  3.6596  4.898    1  0.000  0.545     0.00     0.00 -1 -4.05e-15      0.00 7.506e-01 2.491e-01 4.958e-05 1.338e-05 1.213e-04 -1.000 2.757e-04 7.812 9.668 9.212 8.272 7.638 7.094 6.395 5.878 5.742
0.00025205 -1.79000 10.11394 0.5000000000 2.2374541759    0.500 -1.034  3.6803  4.844    1  0.000  0.545     0.00     0.00 -1 -6.22e-15      0.00 7.506e-01 2.491e-01 4.958e-05 1.338e-05 1.213e-04 -1.000 2.757e-04 7.355 8.844 8.562 7.709 7.144 6.645 6.005 5.522 5.405
0.00025205 -1.79000 10.11394 0.5500000715 2.2836585045    0.550 -0.820  3.7024  4.760    1  0.000  0.544     0.00     0.00 -1 -1.07e-14      0.00 7.876e-01 2.122e-01 4.269e-05 1.153e-05 1.046e-04 -1.000 1.848e-04 6.821 7.959 7.855 7.088 6.586 6.128 5.552 5.111 5.011
0.00025205 -1.79000 10.11394 0.6000000238 2.3211214542    0.600 -0.605  3.7294  4.690    1  0.000  0.543     0.00     0.00 -1 -1.82e-14      0.00 8.005e-01 1.992e-01 4.042e-05 1.092e-05 9.917e-05 -1.000 2.362e-04 6.282 7.071 7.139 6.477 6.036 5.625 5.122 4.730 4.650
0.00025205 -1.79000 10.11394 0.6058283448 2.3250279427    0.605 -0.578  3.7330  4.682    1  0.000  0.543     0.00     0.00 -1 -1.94e-14      0.00 8.023e-01 1.974e-01 4.011e-05 1.084e-05 9.841e-05 -1.000 2.465e-04 6.216 6.965 7.053 6.404 5.971 5.566 5.071 4.685 4.607
0.00025205 -1.79000 10.11394 0.6162474155 2.3318004608    0.616 -0.531  3.7394  4.668    1  0.000  0.543     0.00     0.00 -1 -2.18e-14      0.00 8.057e-01 1.940e-01 3.954e-05 1.068e-05 9.704e-05 -1.000 2.477e-04 6.096 6.778 6.898 6.273 5.852 5.458 4.979 4.604 4.530
0.00025205 -1.79000 10.11394 0.6259257197 2.3378596306    0.626 -0.486  3.7453  4.653    1  0.000  0.543     0.00     0.00 -1 -2.48e-20      0.00 8.090e-01 1.908e-01 3.898e-05 1.054e-05 9.569e-05 -1.000 2.415e-04 5.984 6.612 6.756 6.152 5.744 5.359 4.893 4.525 4.457
0.00025205 -1.79000 10.11394 0.6349173784 2.3432989120    0.635 -0.444  3.7506  4.639    1  0.000  0.543     0.00     0.00 -1 -4.42e-19      0.00 8.122e-01 1.876e-01 3.843e-05 1.039e-05 9.440e-05 -1.000 2.087e-04 5.879 6.458 6.624 6.040 5.642 5.266 4.812 4.452 4.388
0.00025205 -1.79000 10.11394 0.6436753273 2.3484292030    0.643 -0.402  3.7558  4.624    1  0.000  0.543     0.00     0.00 -1 -3.04e-16      0.00 8.154e-01 1.844e-01 3.788e-05 1.024e-05 9.309e-05 -1.000 2.083e-04 5.776 6.310 6.496 5.930 5.543 5.176 4.734 4.380 4.321
0.00025205 -1.79000 10.11394 0.6499999762 2.3520355225    0.650 -0.372  3.7594  4.612    1  0.000  0.542     0.00     0.00 -1 -3.26e-14      0.00 8.178e-01 1.819e-01 3.747e-05 1.014e-05 9.211e-05 -1.000 2.409e-04 5.700 6.202 6.402 5.850 5.471 5.110 4.676 4.327 4.271
0.00025205 -1.79000 10.11394 0.6533420086 2.3539085388    0.653 -0.356  3.7612  4.606    1  0.000  0.542     0.00     0.00 -1  -3.4e-14      0.00 8.194e-01 1.803e-01 3.721e-05 1.006e-05 9.147e-05 -1.000 2.380e-04 5.660 6.148 6.353 5.808 5.433 5.075 4.645 4.298 4.243
0.00025205 -1.79000 10.11394 0.6641587019 2.3598229885    0.664 -0.303  3.7671  4.583    1  0.000  0.542     0.00     0.00 -1 -2.53e-14      0.00 8.248e-01 1.750e-01 3.630e-05 9.824e-06 8.930e-05 -1.000 1.994e-04 5.526 5.973 6.195 5.671 5.307 4.959 4.540 4.200 4.151
0.00025205 -1.79000 10.11394 0.6744727492 2.3652596474    0.674 -0.250  3.7726  4.559    1  0.000  0.542     0.00     0.00 -1 -1.67e-15      0.00 8.303e-01 1.695e-01 3.538e-05 9.578e-06 8.711e-05 -1.000 1.921e-04 5.395 5.805 6.041 5.536 5.183 4.843 4.436 4.103 4.058
0.00025205 -1.79000 10.11394 0.6840828061 2.3701560497    0.684 -0.199  3.7777  4.535    1  0.000  0.541     0.00     0.00 -1 -6.09e-19      0.00 8.357e-01 1.641e-01 3.447e-05 9.336e-06 8.493e-05 -1.000 2.073e-04 5.269 5.647 5.894 5.406 5.063 4.732 4.334 4.008 3.968
0.00025205 -1.79000 10.11394 0.6930159926 2.3745677471    0.693 -0.150  3.7823  4.510    1  0.000  0.541     0.00     0.00 -1  -3.3e-16      0.00 8.410e-01 1.588e-01 3.357e-05 9.097e-06 8.280e-05 -1.000 2.235e-04 5.146 5.499 5.753 5.281 4.946 4.623 4.235 3.915 3.878
0.00025205 -1.79000 10.11394 0.6999999881 2.3779268265    0.700 -0.110  3.7859  4.489    1  0.000  0.540     0.00     0.00 -1 -6.61e-14      0.00 8.454e-01 1.544e-01 3.284e-05 8.902e-06 8.103e-05 -1.000 2.252e-04 5.045 5.381 5.638 5.178 4.851 4.533 4.153 3.838 3.804
0.00025205 -1.79000 10.11394 0.7029603720 2.3793275356    0.703 -0.093  3.7874  4.479    1  0.000  0.540     0.00     0.00 -1 -6.95e-14      0.00 8.472e-01 1.526e-01 3.252e-05 8.824e-06 8.033e-05 -1.000 2.206e-04 5.002 5.331 5.589 5.134 4.809 4.494 4.117 3.804 3.772
0.00025205 -1.79000 10.11394 0.7111328244 2.3831248283    0.711 -0.042  3.7913  4.449    1  0.000  0.538     0.00     0.00 -1 -8.03e-14      0.00 8.518e-01 1.480e-01 3.169e-05 8.622e-06 7.856e-05 -1.000 1.674e-04 4.875 5.187 5.446 5.005 4.688 4.380 4.010 3.704 3.674
0.00025205 -1.79000 10.11394 0.7181522250 2.3863070011    0.718  0.004  3.7946  4.420    1  0.000  0.536     0.00     0.00 -1 -9.18e-14      0.00 8.554e-01 1.444e-01 3.106e-05 8.469e-06 7.723e-05 -1.000 1.663e-04 4.760 5.060 5.318 4.887 4.577 4.274 3.912 3.611 3.583
0.00025205 -1.79000 10.11394 0.7249528766 2.3893227577    0.724  0.052  3.7977  4.389    1  0.000  0.535     0.00     0.00 -1 -6.45e-15      0.00 8.585e-01 1.413e-01 3.051e-05 8.338e-06 7.608e-05 -1.000 2.072e-04 4.641 4.931 5.187 4.766 4.462 4.165 3.809 3.514 3.488
0.00025205 -1.79000 10.11394 0.7317543626 2.3922743797    0.731  0.102  3.8006  4.354    1  0.000  0.533     0.00     0.00 -1 -1.04e-19      0.00 8.615e-01 1.383e-01 3.001e-05 8.220e-06 7.505e-05 -1.000 2.029e-04 4.515 4.795 5.048 4.637 4.339 4.047 3.698 3.408 3.384
0.00025205 -1.79000 10.11394 0.7396135926 2.3956072330    0.739  0.166  3.8037  4.308    1  0.000  0.531     0.00     0.00 -1 -5.27e-17      0.00 8.645e-01 1.353e-01 2.950e-05 8.101e-06 7.402e-05 -1.000 1.823e-04 4.356 4.630 4.876 4.475 4.183 3.896 3.554 3.270 3.248
0.00025205 -1.79000 10.11394 0.7469598055 2.3986499310    0.746  0.231  3.8062  4.257    1  0.000  0.530     0.00     0.00 -1 -1.79e-14      0.00 8.670e-01 1.328e-01 2.909e-05 8.006e-06 7.321e-05 -1.000 1.505e-04 4.192 4.462 4.701 4.308 4.021 3.739 3.403 3.124 3.103
0.00025205 -1.79000 10.11394 0.7500000000 2.3998889923    0.749  0.260  3.8070  4.232    1  0.000  0.529     0.00     0.00 -1    -2e-13      0.00 8.679e-01 1.320e-01 2.895e-05 7.975e-06 7.295e-05 -1.000 1.505e-04 4.120 4.388 4.624 4.234 3.949 3.669 3.334 3.057 3.036
0.00025205 -1.79000 10.11394 0.7540174127 2.4015088081    0.753  0.299  3.8081  4.200    1  0.000  0.529     0.00     0.00 -1 -2.27e-13      0.00 8.674e-01 1.324e-01 2.909e-05 8.015e-06 7.332e-05 -1.000 1.523e-04 4.022 4.289 4.520 4.134 3.852 3.574 3.242 2.967 2.947
0.00025205 -1.79000 10.11394 0.7577635050 2.4030015469    0.757  0.339  3.8087  4.165    1  0.000  0.529     0.00     0.00 -1 -2.59e-13      0.00 8.666e-01 1.333e-01 2.928e-05 8.068e-06 7.380e-05 -1.000 1.545e-04 3.922 4.190 4.416 4.033 3.752 3.476 3.145 2.872 2.852
0.00025205 -1.79000 10.11394 0.7589685321 2.4034781456    0.758  0.353  3.8086  4.151    1  0.000  0.529     0.00     0.00 -1 -2.72e-13      0.00 8.663e-01 1.335e-01 2.934e-05 8.085e-06 7.396e-05 -1.000 1.551e-04 3.888 4.156 4.381 3.998 3.717 3.441 3.110 2.836 2.817
0.00025205 -1.79000 10.11394 0.7636395693 2.4053089619    0.763  0.411  3.8073  4.091    1  0.000  0.529     0.00     0.00 -1 -3.31e-13      0.00 8.653e-01 1.346e-01 2.958e-05 8.151e-06 7.457e-05 -1.000 1.575e-04 3.743 4.018 4.238 3.853 3.570 3.292 2.958 2.683 2.662
0.00025205 -1.79000 10.11394 0.7671777010 2.4066786766    0.766  0.461  3.8044  4.031    1  0.000  0.529     0.00     0.00 -1 -3.97e-13      0.00 8.645e-01 1.353e-01 2.976e-05 8.201e-06 7.503e-05 -1.000 1.593e-04 3.618 3.903 4.120 3.728 3.441 3.159 2.818 2.538 2.516
