# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr 20 18:15:26 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: simulations of mass 10000 Msun
# Z         age       Mini           Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00004384  1.37e+10  0.1528350264   0.152 -2.199  3.6095  5.209    1  0.000  0.545     0.00     0.00 -1  -5.9e-17      0.00 7.370e-01 2.629e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.266 13.017 12.203 11.026 10.208 9.541 8.705 8.190 8.031
0.00004384  1.37e+10  0.1363730431   0.136 -2.329  3.6008  5.255    1  0.000  0.545     0.00     0.00 -1 -1.48e-16      0.00 7.384e-01 2.615e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.593 13.549 12.645 11.416 10.556 9.866 9.003 8.497 8.346
0.00004384  1.37e+10  0.4197605252   0.419 -1.269  3.6654  4.943    1  0.000  0.545     0.00     0.00 -1 -1.02e-15      0.00 7.502e-01 2.497e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 7.942 9.596 9.279 8.363 7.758 7.219 6.547 6.070 5.928
0.00004384  1.37e+10  0.4450846910   0.444 -1.192  3.6724  4.919    1  0.000  0.545     0.00     0.00 -1 -3.08e-15      0.00 7.506e-01 2.493e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 7.751 9.284 9.025 8.138 7.555 7.030 6.378 5.910 5.775
0.00004384  1.37e+10  0.6108947396   0.610 -0.525  3.7419  4.669    1  0.000  0.543     0.00     0.00 -1 -2.22e-14      0.00 8.084e-01 1.915e-01 1.414e-05 3.821e-06 3.470e-05 -1.000 7.832e-05 6.083 6.704 6.874 6.268 5.853 5.457 4.982 4.611 4.537
0.00004384  1.37e+10  0.6158800721   0.615 -0.501  3.7450  4.661    1  0.000  0.543     0.00     0.00 -1 -9.52e-16      0.00 8.104e-01 1.896e-01 1.401e-05 3.787e-06 3.440e-05 -1.000 7.242e-05 6.024 6.617 6.799 6.204 5.795 5.405 4.937 4.570 4.498
0.00004384  1.37e+10  0.2429065108   0.241 -1.760  3.6334  5.066    1  0.000  0.545     0.00     0.00 -1 -4.06e-16      0.00 7.363e-01 2.636e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 9.171 11.412 10.822 9.770 9.055 8.446 7.681 7.167 7.003
0.00004384  1.37e+10  0.2586340904   0.258 -1.702  3.6366  5.050    1  0.000  0.545     0.00     0.00 -1 -3.73e-16      0.00 7.364e-01 2.635e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 9.025 11.203 10.641 9.604 8.901 8.299 7.544 7.032 6.870
0.00004384  1.37e+10  0.5768435001   0.576 -0.679  3.7231  4.721    1  0.000  0.544     0.00     0.00 -1 -1.45e-14      0.00 7.974e-01 2.025e-01 1.485e-05 4.011e-06 3.641e-05 -1.000 9.954e-05 6.467 7.280 7.364 6.688 6.233 5.805 5.284 4.887 4.797
0.00004384  1.37e+10  0.1309616864   0.130 -2.374  3.5976  5.270    1  0.000  0.545     0.00     0.00 -1 -2.78e-16      0.00 7.389e-01 2.610e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.001e-04 10.706 13.740 12.802 11.552 10.678 9.978 9.106 8.605 8.457
0.00004384  1.37e+10  0.1236108691   0.123 -2.459  3.5901  5.299    1  0.000  0.545     0.00     0.00 -1  -2.1e-16      0.00 7.401e-01 2.598e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.918 14.142 13.123 11.822 10.910 10.189 9.294 8.805 8.664
0.00004384  1.37e+10  0.1356171966   0.135 -2.336  3.6003  5.257    1  0.000  0.545     0.00     0.00 -1 -1.62e-16      0.00 7.384e-01 2.615e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.609 13.575 12.667 11.434 10.573 9.882 9.018 8.512 8.362
0.00004384  1.37e+10  0.5353409052   0.534 -0.860  3.7031  4.790    1  0.000  0.544     0.00     0.00 -1 -9.01e-15      0.00 7.775e-01 2.224e-01 1.617e-05 4.366e-06 3.961e-05 -1.000 9.999e-05 6.919 7.982 7.950 7.191 6.691 6.226 5.655 5.229 5.123
0.00004384  1.37e+10  0.5160350204   0.515 -0.942  3.6952  4.825    1  0.000  0.545     0.00     0.00 -1 -7.55e-15      0.00 7.629e-01 2.370e-01 1.716e-05 4.630e-06 4.201e-05 -1.000 9.993e-05 7.125 8.300 8.214 7.422 6.902 6.422 5.831 5.394 5.280
0.00004384  1.37e+10  0.7185114026   0.718  0.094  3.8019  4.360    1  0.000  0.535     0.00     0.00 -1 -1.02e-20      0.00 8.657e-01 1.342e-01 1.055e-05 2.883e-06 2.632e-05 -1.000 1.000e-04 4.535 4.800 5.073 4.670 4.374 4.082 3.732 3.441 3.417
0.00004384  1.37e+10  0.3813450634   0.380 -1.373  3.6573  4.972    1  0.000  0.545     0.00     0.00 -1  -6.7e-16      0.00 7.441e-01 2.558e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 9.999e-05 8.202 10.000 9.613 8.663 8.033 7.476 6.781 6.294 6.145
0.00004384  1.37e+10  0.2753556073   0.274 -1.653  3.6395  5.038    1  0.000  0.545     0.00     0.00 -1 -2.72e-16      0.00 7.363e-01 2.636e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 8.902 11.024 10.487 9.463 8.771 8.176 7.429 6.920 6.758
0.00004384  1.37e+10  0.5765751600   0.575 -0.680  3.7229  4.722    1  0.000  0.544     0.00     0.00 -1 -1.44e-14      0.00 7.973e-01 2.026e-01 1.485e-05 4.012e-06 3.642e-05 -1.000 9.954e-05 6.470 7.285 7.368 6.691 6.236 5.807 5.287 4.889 4.799
0.00004384  1.37e+10  0.2361802906   0.234 -1.786  3.6320  5.074    1  0.000  0.545     0.00     0.00 -1 -4.17e-16      0.00 7.362e-01 2.637e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 9.235 11.503 10.901 9.843 9.122 8.510 7.740 7.226 7.061
0.00004384  1.37e+10  0.1396127343   0.139 -2.302  3.6026  5.245    1  0.000  0.545     0.00     0.00 -1 -1.02e-16      0.00 7.381e-01 2.618e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 10.525 13.437 12.553 11.334 10.484 9.799 8.942 8.434 8.281
0.00004384  1.37e+10  0.1556066424   0.155 -2.181  3.6105  5.203    1  0.000  0.545     0.00     0.00 -1 -8.93e-17      0.00 7.368e-01 2.631e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.222 12.948 12.145 10.974 10.161 9.496 8.663 8.147 7.988
0.00004384  1.37e+10  0.2034424841   0.202 -1.916  3.6250  5.112    1  0.000  0.545     0.00     0.00 -1 -4.99e-16      0.00 7.361e-01 2.638e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.990e-05 9.560 11.972 11.306 10.214 9.464 8.835 8.045 7.527 7.362
0.00004384  1.37e+10  0.1123116463   0.112 -2.599  3.5772  5.345    1  0.000  0.545     0.00     0.00 -1 -8.73e-17      0.00 7.420e-01 2.579e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.267 14.861 13.677 12.278 11.298 10.531 9.598 9.140 9.010
0.00004384  1.37e+10  0.2455223799   0.244 -1.750  3.6340  5.063    1  0.000  0.545     0.00     0.00 -1 -4.02e-16      0.00 7.363e-01 2.636e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 9.146 11.377 10.791 9.742 9.029 8.421 7.657 7.144 6.980
0.00004384  1.37e+10  0.6686877608   0.668 -0.234  3.7756  4.552    1  0.000  0.541     0.00     0.00 -1 -7.81e-22      0.00 8.367e-01 1.632e-01 1.231e-05 3.334e-06 3.033e-05 -1.000 7.710e-05 5.355 5.727 5.995 5.507 5.160 4.822 4.417 4.086 4.043
0.00004384  1.37e+10  0.1016612276   0.101 -2.753  3.5616  5.396    1  0.000  0.545     0.00     0.00 -1 -3.05e-17      0.00 7.442e-01 2.557e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.654 15.736 14.334 12.805 11.747 10.904 9.929 9.519 9.400
0.00004384  1.37e+10  0.1259984821   0.125 -2.430  3.5928  5.289    1  0.000  0.545     0.00     0.00 -1 -2.53e-16      0.00 7.397e-01 2.602e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.001e-04 10.845 14.000 13.010 11.727 10.829 10.115 9.229 8.735 8.592
0.00004384  1.37e+10  0.1011074334   0.101 -2.762  3.5608  5.399    1  0.000  0.545     0.00     0.00 -1 -2.88e-17      0.00 7.443e-01 2.556e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 11.675 15.785 14.370 12.834 11.772 10.924 9.947 9.539 9.421
