# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:02:34 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
9.5884e-05 -2.19174 10.13672 0.1000000015 1.1711064577    0.100 -2.779  3.5590  5.405    1  0.000  0.545     0.00     0.00 -1 -2.57e-17      0.00 7.445e-01 2.554e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.717 15.884 14.441 12.891 11.820 10.963 9.982 9.585 9.469
9.5884e-05 -2.19174 10.13672 0.1098214313 1.2482755184    0.109 -2.630  3.5743  5.356    1  0.000  0.545     0.00     0.00 -1  -7.2e-17      0.00 7.425e-01 2.574e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.344 15.019 13.799 12.377 11.383 10.605 9.665 9.218 9.091
9.5884e-05 -2.19174 10.13672 0.1294642836 1.3786746264    0.129 -2.387  3.5968  5.275    1  0.000  0.545     0.00     0.00 -1 -3.31e-16      0.00 7.391e-01 2.608e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.737 13.789 12.844 11.589 10.710 10.009 9.135 8.637 8.490
9.5884e-05 -2.19174 10.13672 0.1491071582 1.4855960608    0.149 -2.223  3.6081  5.217    1  0.000  0.545     0.00     0.00 -1 -3.38e-17      0.00 7.371e-01 2.628e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.327 13.105 12.279 11.095 10.271 9.601 8.760 8.248 8.091
9.5884e-05 -2.19174 10.13672 0.1687500030 1.5756140947    0.168 -2.096  3.6154  5.173    1  0.000  0.545     0.00     0.00 -1 -6.38e-16      0.00 7.363e-01 2.636e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 10.010 12.624 11.870 10.728 9.937 9.284 8.466 7.949 7.788
9.5884e-05 -2.19174 10.13672 0.1784816682 1.6153104305    0.178 -2.041  3.6183  5.154    1  0.000  0.545     0.00     0.00 -1 -7.18e-16      0.00 7.362e-01 2.637e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.874 12.424 11.698 10.572 9.794 9.149 8.339 7.821 7.658
9.5884e-05 -2.19174 10.13672 0.2080357224 1.7204496861    0.207 -1.893  3.6263  5.104    1  0.000  0.545     0.00     0.00 -1 -4.67e-16      0.00 7.361e-01 2.638e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 9.502 11.884 11.233 10.147 9.403 8.777 7.991 7.475 7.310
9.5884e-05 -2.19174 10.13672 0.2571428716 1.8581268787    0.257 -1.706  3.6363  5.051    1  0.000  0.545     0.00     0.00 -1 -3.83e-16      0.00 7.364e-01 2.635e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 9.036 11.214 10.654 9.616 8.913 8.310 7.554 7.043 6.881
9.5884e-05 -2.19174 10.13672 0.3062500358 1.9652637243    0.306 -1.562  3.6448  5.016    1  0.000  0.545     0.00     0.00 -1 -1.52e-16      0.00 7.362e-01 2.637e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.674 10.692 10.205 9.204 8.532 7.948 7.217 6.715 6.557
9.5884e-05 -2.19174 10.13672 0.3553571701 2.0521113873    0.355 -1.439  3.6527  4.990    1  0.000  0.544     0.00     0.00 -1 -1.07e-15      0.00 7.372e-01 2.627e-01 1.796e-05 4.853e-06 4.400e-05 -1.000 1.001e-04 8.367 10.241 9.821 8.852 8.207 7.641 6.933 6.441 6.288
