# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Nov 20 18:04:25 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
9.5884e-05 -2.19174 10.13672 0.1000000015 1.1711064577    0.100 -2.779  3.5590  5.405    1  0.000  0.545     0.00     0.00 -1 -2.57e-17      0.00 7.445e-01 2.554e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.717 11.569 10.771 10.195 9.617 9.348 9.195 8.992 8.932 9.717 9.103 9.745 9.444 9.385 9.306 9.247 9.150 9.031 8.966 8.911 8.919 8.963 8.923 9.543
9.5884e-05 -2.19174 10.13672 0.1098214313 1.2482755184    0.109 -2.630  3.5743  5.356    1  0.000  0.545     0.00     0.00 -1  -7.2e-17      0.00 7.425e-01 2.574e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.344 11.134 10.397 9.850 9.285 9.012 8.871 8.683 8.624 9.381 8.786 9.413 9.114 9.048 8.974 8.920 8.832 8.721 8.657 8.603 8.611 8.653 8.619 9.212
9.5884e-05 -2.19174 10.13672 0.1294642836 1.3786746264    0.129 -2.387  3.5968  5.275    1  0.000  0.545     0.00     0.00 -1 -3.31e-16      0.00 7.391e-01 2.608e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.737 10.418 9.766 9.272 8.733 8.494 8.392 8.192 8.133 8.834 8.301 8.860 8.566 8.521 8.463 8.431 8.364 8.229 8.163 8.115 8.119 8.155 8.142 8.662
9.5884e-05 -2.19174 10.13672 0.1491071582 1.4855960608    0.149 -2.223  3.6081  5.217    1  0.000  0.545     0.00     0.00 -1 -3.38e-17      0.00 7.371e-01 2.628e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.327 9.985 9.363 8.890 8.356 8.106 8.000 7.835 7.783 8.453 7.925 8.484 8.190 8.134 8.077 8.036 7.974 7.865 7.811 7.768 7.771 7.801 7.788 8.286
9.5884e-05 -2.19174 10.13672 0.1687500030 1.5756140947    0.168 -2.096  3.6154  5.173    1  0.000  0.545     0.00     0.00 -1 -6.38e-16      0.00 7.363e-01 2.636e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 10.010 9.657 9.053 8.592 8.062 7.805 7.692 7.551 7.505 8.156 7.629 8.188 7.896 7.833 7.776 7.727 7.667 7.577 7.532 7.492 7.494 7.520 7.507 7.992
9.5884e-05 -2.19174 10.13672 0.1784816682 1.6153104305    0.178 -2.041  3.6183  5.154    1  0.000  0.545     0.00     0.00 -1 -7.18e-16      0.00 7.362e-01 2.637e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.874 9.516 8.919 8.464 7.936 7.676 7.560 7.429 7.385 8.028 7.502 8.061 7.771 7.705 7.647 7.595 7.535 7.453 7.412 7.374 7.375 7.399 7.386 7.865
9.5884e-05 -2.19174 10.13672 0.2080357224 1.7204496861    0.207 -1.893  3.6263  5.104    1  0.000  0.545     0.00     0.00 -1 -4.67e-16      0.00 7.361e-01 2.638e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 9.502 9.132 8.554 8.113 7.590 7.325 7.201 7.096 7.058 7.680 7.154 7.714 7.427 7.354 7.296 7.235 7.176 7.115 7.083 7.049 7.049 7.068 7.056 7.520
9.5884e-05 -2.19174 10.13672 0.2571428716 1.8581268787    0.257 -1.706  3.6363  5.051    1  0.000  0.545     0.00     0.00 -1 -3.83e-16      0.00 7.364e-01 2.635e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 9.036 8.648 8.094 7.670 7.161 6.902 6.779 6.690 6.655 7.250 6.739 7.282 7.003 6.929 6.874 6.811 6.755 6.706 6.679 6.648 6.648 6.663 6.652 7.094
9.5884e-05 -2.19174 10.13672 0.3062500358 1.9652637243    0.306 -1.562  3.6448  5.016    1  0.000  0.545     0.00     0.00 -1 -1.52e-16      0.00 7.362e-01 2.637e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.674 8.273 7.739 7.329 6.832 6.579 6.458 6.380 6.349 6.920 6.423 6.949 6.678 6.605 6.552 6.488 6.435 6.394 6.370 6.343 6.342 6.355 6.345 6.766
9.5884e-05 -2.19174 10.13672 0.3553571701 2.0521113873    0.355 -1.439  3.6527  4.990    1  0.000  0.544     0.00     0.00 -1 -1.07e-15      0.00 7.372e-01 2.627e-01 1.796e-05 4.853e-06 4.400e-05 -1.000 1.001e-04 8.367 7.953 7.438 7.042 6.555 6.309 6.190 6.122 6.094 6.643 6.161 6.670 6.406 6.335 6.284 6.219 6.169 6.135 6.114 6.089 6.089 6.099 6.090 6.491
