# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:01:01 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00016279 -1.98000 10.00000 0.0929695517 1.1095414162    0.093 -3.079  3.5084  5.471    1  0.000  0.545     0.00     0.00 -1 -6.33e-17      0.00 7.481e-01 2.517e-01 3.062e-05 8.261e-06 7.493e-05 -1.000 1.703e-04 12.468 18.505 16.215 14.296 12.936 11.686 10.566 10.300 10.232
0.00016279 -1.98000 10.00000 0.0985837802 1.1591662169    0.098 -2.897  3.5341  5.417    1  0.000  0.545     0.00     0.00 -1 -9.94e-17      0.00 7.470e-01 2.529e-01 3.062e-05 8.261e-06 7.493e-05 -1.000 1.703e-04 12.013 17.050 15.247 13.491 12.300 11.260 10.200 9.826 9.719
0.00016279 -1.98000 10.00000 0.1029165238 1.1950173378    0.103 -2.764  3.5529  5.377    1  0.000  0.545     0.00     0.00 -1 -1.38e-16      0.00 7.460e-01 2.538e-01 3.062e-05 8.261e-06 7.493e-05 -1.000 1.703e-04 11.681 16.055 14.550 12.946 11.849 10.943 9.934 9.499 9.372
0.00016279 -1.98000 10.00000 0.1228104606 1.3375610113    0.123 -2.486  3.5812  5.289    1  0.000  0.545     0.00     0.00 -1 -2.66e-16      0.00 7.433e-01 2.565e-01 3.062e-05 8.261e-06 7.493e-05 -1.000 1.704e-04 10.984 14.488 13.355 11.979 11.017 10.259 9.335 8.833 8.684
0.00016279 -1.98000 10.00000 0.1427044123 1.4528592825    0.142 -2.309  3.5949  5.232    1  0.000  0.545     0.00     0.00 -1 -3.96e-16      0.00 7.415e-01 2.583e-01 3.062e-05 8.262e-06 7.493e-05 -1.000 1.703e-04 10.542 13.681 12.703 11.425 10.532 9.821 8.938 8.416 8.256
0.00016279 -1.98000 10.00000 0.1625983566 1.5489519835    0.162 -2.171  3.6038  5.187    1  0.000  0.545     0.00     0.00 -1 -5.36e-16      0.00 7.403e-01 2.595e-01 3.062e-05 8.262e-06 7.493e-05 -1.000 1.703e-04 10.198 13.122 12.233 11.013 10.162 9.477 8.621 8.092 7.925
0.00016279 -1.98000 10.00000 0.2023862600 1.7019122839    0.202 -1.956  3.6157  5.114    1  0.000  0.545     0.00     0.00 -1 -8.57e-16      0.00 7.395e-01 2.603e-01 3.062e-05 8.262e-06 7.493e-05 -1.000 1.703e-04 9.660 12.316 11.538 10.389 9.592 8.939 8.118 7.584 7.414
0.00016279 -1.98000 10.00000 0.2521211207 1.8456803560    0.252 -1.757  3.6264  5.054    1  0.000  0.545     0.00     0.00 -1  -1.3e-15      0.00 7.396e-01 2.602e-01 3.062e-05 8.262e-06 7.493e-05 -1.000 1.703e-04 9.162 11.594 10.909 9.817 9.066 8.441 7.651 7.119 6.951
0.00016279 -1.98000 10.00000 0.3018560112 1.9566160440    0.302 -1.604  3.6353  5.014    1  0.000  0.545     0.00     0.00 -1 -1.77e-15      0.00 7.397e-01 2.601e-01 3.061e-05 8.263e-06 7.493e-05 -1.000 1.704e-04 8.779 11.035 10.424 9.376 8.660 8.057 7.294 6.766 6.604
0.00016279 -1.98000 10.00000 0.3515908718 2.0460171700    0.352 -1.477  3.6434  4.987    1  0.000  0.544     0.00     0.00 -1 -2.27e-15      0.00 7.400e-01 2.599e-01 3.059e-05 8.264e-06 7.493e-05 -1.000 1.703e-04 8.463 10.566 10.021 9.010 8.325 7.741 7.001 6.481 6.325
