# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Nov 20 18:02:29 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
0.00016279 -1.98000 10.00000 0.0929695517 1.1095414162    0.093 -3.079  3.5084  5.471    1  0.000  0.545     0.00     0.00 -1 -6.33e-17      0.00 7.481e-01 2.517e-01 3.062e-05 8.261e-06 7.493e-05 -1.000 1.703e-04 12.468 12.571 11.493 10.811 10.244 10.078 9.895 9.566 9.510 10.377 9.742 10.361 10.092 10.107 10.036 9.980 9.808 9.610 9.533 9.478 9.493 9.552 9.500 10.180
0.00016279 -1.98000 10.00000 0.0985837802 1.1591662169    0.098 -2.897  3.5341  5.417    1  0.000  0.545     0.00     0.00 -1 -9.94e-17      0.00 7.470e-01 2.529e-01 3.062e-05 8.261e-06 7.493e-05 -1.000 1.703e-04 12.013 11.983 11.058 10.429 9.845 9.614 9.450 9.190 9.129 9.960 9.331 9.973 9.676 9.649 9.570 9.514 9.390 9.232 9.159 9.103 9.114 9.166 9.120 9.774
0.00016279 -1.98000 10.00000 0.1029165238 1.1950173378    0.103 -2.764  3.5529  5.377    1  0.000  0.545     0.00     0.00 -1 -1.38e-16      0.00 7.460e-01 2.538e-01 3.062e-05 8.261e-06 7.493e-05 -1.000 1.703e-04 11.681 11.560 10.734 10.145 9.563 9.300 9.146 8.929 8.868 9.666 9.048 9.693 9.389 9.337 9.257 9.201 9.099 8.969 8.901 8.845 8.854 8.901 8.859 9.489
0.00016279 -1.98000 10.00000 0.1228104606 1.3375610113    0.123 -2.486  3.5812  5.289    1  0.000  0.545     0.00     0.00 -1 -2.66e-16      0.00 7.433e-01 2.565e-01 3.062e-05 8.261e-06 7.493e-05 -1.000 1.704e-04 10.984 10.747 10.030 9.492 8.932 8.663 8.546 8.340 8.279 9.027 8.452 9.063 8.755 8.699 8.624 8.590 8.512 8.383 8.310 8.254 8.264 8.311 8.284 8.856
0.00016279 -1.98000 10.00000 0.1427044123 1.4528592825    0.142 -2.309  3.5949  5.232    1  0.000  0.545     0.00     0.00 -1 -3.96e-16      0.00 7.415e-01 2.583e-01 3.062e-05 8.262e-06 7.493e-05 -1.000 1.703e-04 10.542 10.238 9.577 9.076 8.527 8.268 8.187 7.980 7.922 8.622 8.093 8.662 8.347 8.299 8.232 8.218 8.166 8.022 7.948 7.897 7.906 7.952 7.938 8.451
0.00016279 -1.98000 10.00000 0.1625983566 1.5489519835    0.162 -2.171  3.6038  5.187    1  0.000  0.545     0.00     0.00 -1 -5.36e-16      0.00 7.403e-01 2.595e-01 3.062e-05 8.262e-06 7.493e-05 -1.000 1.703e-04 10.198 9.869 9.236 8.753 8.209 7.948 7.867 7.683 7.631 8.303 7.784 8.344 8.031 7.978 7.914 7.896 7.849 7.720 7.655 7.609 7.616 7.658 7.646 8.135
0.00016279 -1.98000 10.00000 0.2023862600 1.7019122839    0.202 -1.956  3.6157  5.114    1  0.000  0.545     0.00     0.00 -1 -8.57e-16      0.00 7.395e-01 2.603e-01 3.062e-05 8.262e-06 7.493e-05 -1.000 1.703e-04 9.660 9.310 8.707 8.245 7.707 7.438 7.341 7.200 7.158 7.798 7.278 7.839 7.533 7.468 7.406 7.370 7.322 7.228 7.180 7.140 7.145 7.179 7.166 7.634
0.00016279 -1.98000 10.00000 0.2521211207 1.8456803560    0.252 -1.757  3.6264  5.054    1  0.000  0.545     0.00     0.00 -1  -1.3e-15      0.00 7.396e-01 2.602e-01 3.062e-05 8.262e-06 7.493e-05 -1.000 1.703e-04 9.162 8.795 8.218 7.774 7.243 6.971 6.857 6.754 6.720 7.332 6.811 7.371 7.074 7.000 6.941 6.888 6.836 6.774 6.740 6.707 6.711 6.736 6.723 7.171
0.00016279 -1.98000 10.00000 0.3018560112 1.9566160440    0.302 -1.604  3.6353  5.014    1  0.000  0.545     0.00     0.00 -1 -1.77e-15      0.00 7.397e-01 2.601e-01 3.061e-05 8.263e-06 7.493e-05 -1.000 1.704e-04 8.779 8.397 7.841 7.412 6.891 6.627 6.512 6.424 6.394 6.981 6.473 7.016 6.727 6.654 6.599 6.542 6.491 6.441 6.413 6.383 6.386 6.408 6.395 6.822
0.00016279 -1.98000 10.00000 0.3515908718 2.0460171700    0.352 -1.477  3.6434  4.987    1  0.000  0.544     0.00     0.00 -1 -2.27e-15      0.00 7.400e-01 2.599e-01 3.059e-05 8.264e-06 7.493e-05 -1.000 1.703e-04 8.463 8.067 7.531 7.116 6.604 6.347 6.234 6.158 6.131 6.694 6.200 6.726 6.444 6.372 6.320 6.263 6.213 6.172 6.148 6.121 6.124 6.144 6.132 6.536
0.00016279 -1.98000 10.00000 0.4013257325 2.1203250885    0.401 -1.355  3.6522  4.957    1  0.000  0.545     0.00     0.00 -1 -2.91e-15      0.00 7.503e-01 2.496e-01 3.062e-05 8.261e-06 7.493e-05 -1.000 1.703e-04 8.157 7.747 7.232 6.831 6.330 6.081 5.971 5.906 5.884 6.420 5.943 6.449 6.174 6.105 6.057 5.999 5.951 5.919 5.898 5.874 5.877 5.895 5.884 6.263
0.00016279 -1.98000 10.00000 0.4510605633 2.1835329533    0.451 -1.204  3.6666  4.914    1  0.000  0.545     0.00     0.00 -1 -4.08e-15      0.00 7.507e-01 2.491e-01 3.062e-05 8.261e-06 7.493e-05 -1.000 1.704e-04 7.780 7.355 6.873 6.495 6.011 5.779 5.677 5.625 5.606 6.102 5.655 6.124 5.862 5.799 5.757 5.702 5.660 5.635 5.618 5.598 5.600 5.616 5.607 5.947
0.00016279 -1.98000 10.00000 0.5007954240 2.2382726669    0.501 -1.036  3.6836  4.860    1  0.000  0.545     0.00     0.00 -1 -6.07e-15      0.00 7.512e-01 2.487e-01 3.059e-05 8.253e-06 7.485e-05 -1.000 1.703e-04 7.361 6.923 6.479 6.127 5.664 5.453 5.362 5.322 5.307 5.758 5.345 5.772 5.524 5.470 5.434 5.384 5.348 5.329 5.317 5.300 5.302 5.313 5.307 5.604
0.00016279 -1.98000 10.00000 0.5505303144 2.2840969563    0.550 -0.841  3.7030  4.784    1  0.000  0.544     0.00     0.00 -1 -9.89e-15      0.00 7.792e-01 2.207e-01 2.735e-05 7.383e-06 6.699e-05 -1.000 1.014e-04 6.873 6.434 6.030 5.706 5.269 5.080 5.003 4.972 4.959 5.363 4.990 5.369 5.139 5.094 5.065 5.021 4.992 4.978 4.969 4.955 4.956 4.961 4.958 5.213
0.00016279 -1.98000 10.00000 0.5951262116 2.3177869320    0.595 -0.663  3.7246  4.726    1  0.000  0.544     0.00     0.00 -1 -1.53e-14      0.00 7.886e-01 2.112e-01 2.631e-05 7.104e-06 6.447e-05 -1.000 1.633e-04 6.428 6.002 5.637 5.343 4.933 4.769 4.707 4.686 4.674 5.028 4.698 5.026 4.815 4.779 4.757 4.721 4.700 4.690 4.683 4.673 4.672 4.670 4.672 4.882
0.00016279 -1.98000 10.00000 0.6002651453 2.3213009834    0.600 -0.644  3.7270  4.720    1  0.000  0.544     0.00     0.00 -1 -1.61e-14      0.00 7.896e-01 2.102e-01 2.619e-05 7.072e-06 6.419e-05 -1.000 1.703e-04 6.379 5.956 5.595 5.304 4.896 4.735 4.675 4.654 4.642 4.991 4.666 4.989 4.779 4.745 4.723 4.688 4.668 4.659 4.652 4.642 4.641 4.639 4.641 4.846
0.00016279 -1.98000 10.00000 0.6125279665 2.3294131756    0.612 -0.593  3.7338  4.705    1  0.000  0.544     0.00     0.00 -1 -1.82e-14      0.00 7.929e-01 2.069e-01 2.583e-05 6.978e-06 6.334e-05 -1.000 1.703e-04 6.252 5.836 5.488 5.205 4.806 4.651 4.596 4.578 4.567 4.900 4.589 4.895 4.692 4.660 4.641 4.608 4.590 4.582 4.576 4.568 4.566 4.563 4.566 4.757
0.00016279 -1.98000 10.00000 0.6272023320 2.3386428356    0.627 -0.532  3.7420  4.687    1  0.000  0.544     0.00     0.00 -1 -2.11e-14      0.00 7.970e-01 2.028e-01 2.538e-05 6.858e-06 6.227e-05 -1.000 1.512e-04 6.099 5.695 5.360 5.087 4.698 4.551 4.502 4.488 4.478 4.792 4.496 4.785 4.588 4.559 4.542 4.513 4.498 4.491 4.486 4.479 4.477 4.473 4.477 4.651
0.00016279 -1.98000 10.00000 0.6403019428 2.3464722633    0.640 -0.477  3.7493  4.670    1  0.000  0.543     0.00     0.00 -1 -2.42e-14      0.00 8.010e-01 1.989e-01 2.496e-05 6.744e-06 6.125e-05 -1.000 1.392e-04 5.962 5.569 5.247 4.983 4.601 4.463 4.418 4.407 4.398 4.696 4.413 4.686 4.495 4.470 4.454 4.428 4.415 4.410 4.405 4.399 4.397 4.393 4.397 4.556
0.00016279 -1.98000 10.00000 0.6499999762 2.3520355225    0.650 -0.436  3.7547  4.657    1  0.000  0.543     0.00     0.00 -1 -2.67e-14      0.00 8.040e-01 1.958e-01 2.462e-05 6.656e-06 6.045e-05 -1.000 1.439e-04 5.860 5.476 5.162 4.905 4.530 4.396 4.355 4.346 4.337 4.624 4.351 4.612 4.425 4.402 4.389 4.364 4.353 4.349 4.344 4.338 4.337 4.333 4.336 4.485
0.00016279 -1.98000 10.00000 0.6581857204 2.3565845490    0.658 -0.401  3.7590  4.645    1  0.000  0.543     0.00     0.00 -1 -2.92e-14      0.00 8.073e-01 1.926e-01 2.428e-05 6.562e-06 5.961e-05 -1.000 1.426e-04 5.773 5.396 5.089 4.837 4.467 4.339 4.301 4.292 4.284 4.562 4.297 4.548 4.365 4.344 4.332 4.308 4.299 4.295 4.291 4.285 4.284 4.280 4.284 4.423
0.00016279 -1.98000 10.00000 0.6707028151 2.3632948399    0.670 -0.347  3.7655  4.626    1  0.000  0.543     0.00     0.00 -1 -3.35e-14      0.00 8.126e-01 1.873e-01 2.371e-05 6.411e-06 5.825e-05 -1.000 1.161e-04 5.639 5.273 4.977 4.732 4.371 4.249 4.215 4.209 4.202 4.465 4.212 4.450 4.271 4.253 4.242 4.221 4.214 4.211 4.208 4.202 4.202 4.197 4.201 4.328
0.00016279 -1.98000 10.00000 0.6830264926 2.3696255684    0.683 -0.294  3.7718  4.605    1  0.000  0.542     0.00     0.00 -1 -3.84e-14      0.00 8.181e-01 1.817e-01 2.310e-05 6.250e-06 5.681e-05 -1.000 1.564e-04 5.505 5.150 4.865 4.627 4.274 4.158 4.128 4.123 4.117 4.367 4.126 4.350 4.178 4.162 4.153 4.134 4.127 4.125 4.122 4.118 4.117 4.112 4.117 4.232
0.00016279 -1.98000 10.00000 0.6939766407 2.3750343323    0.694 -0.246  3.7773  4.586    1  0.000  0.542     0.00     0.00 -1 -4.35e-14      0.00 8.234e-01 1.764e-01 2.253e-05 6.097e-06 5.543e-05 -1.000 1.703e-04 5.384 5.039 4.762 4.532 4.185 4.075 4.049 4.045 4.039 4.278 4.047 4.260 4.092 4.079 4.071 4.053 4.048 4.047 4.044 4.040 4.039 4.034 4.039 4.145
0.00016279 -1.98000 10.00000 0.6999999881 2.3779268265    0.700 -0.219  3.7802  4.575    1  0.000  0.542     0.00     0.00 -1 -4.67e-14      0.00 8.265e-01 1.733e-01 2.220e-05 6.009e-06 5.464e-05 -1.000 1.703e-04 5.317 4.978 4.706 4.478 4.136 4.029 4.004 4.001 3.995 4.229 4.002 4.210 4.044 4.032 4.025 4.008 4.004 4.003 4.000 3.996 3.995 3.991 3.995 4.096
0.00016279 -1.98000 10.00000 0.7003720403 2.3781034946    0.700 -0.217  3.7804  4.574    1  0.000  0.541     0.00     0.00 -1 -4.69e-14      0.00 8.267e-01 1.731e-01 2.217e-05 6.003e-06 5.459e-05 -1.000 1.698e-04 5.313 4.974 4.702 4.475 4.133 4.026 4.001 3.998 3.992 4.226 3.999 4.207 4.041 4.029 4.022 4.005 4.001 4.000 3.997 3.993 3.992 3.988 3.992 4.093
0.00016279 -1.98000 10.00000 0.7129414678 2.3839516640    0.713 -0.160  3.7862  4.548    1  0.000  0.539     0.00     0.00 -1 -5.47e-14      0.00 8.338e-01 1.660e-01 2.137e-05 5.808e-06 5.286e-05 -1.000 1.441e-04 5.169 4.840 4.578 4.357 4.024 3.923 3.901 3.899 3.893 4.116 3.900 4.095 3.936 3.926 3.919 3.904 3.902 3.900 3.898 3.894 3.893 3.889 3.893 3.986
0.00016279 -1.98000 10.00000 0.7250477672 2.3893642426    0.725 -0.102  3.7917  4.519    1  0.000  0.536     0.00     0.00 -1 -6.39e-14      0.00 8.404e-01 1.595e-01 2.066e-05 5.635e-06 5.135e-05 -1.000 8.488e-05 5.026 4.706 4.452 4.238 3.914 3.819 3.798 3.797 3.792 4.005 3.798 3.983 3.829 3.821 3.815 3.801 3.800 3.799 3.797 3.793 3.792 3.788 3.792 3.877
0.00016279 -1.98000 10.00000 0.7358201146 2.3940086365    0.735 -0.049  3.7965  4.492    1  0.000  0.534     0.00     0.00 -1  -7.4e-14      0.00 8.457e-01 1.542e-01 2.009e-05 5.499e-06 5.015e-05 -1.000 1.086e-04 4.893 4.582 4.335 4.127 3.810 3.720 3.701 3.700 3.695 3.901 3.701 3.877 3.729 3.722 3.716 3.704 3.703 3.702 3.700 3.696 3.695 3.691 3.695 3.775
0.00016279 -1.98000 10.00000 0.7459747195 2.3982458115    0.746  0.003  3.8008  4.463    1  0.000  0.532     0.00     0.00 -1 -8.56e-14      0.00 8.503e-01 1.496e-01 1.963e-05 5.390e-06 4.920e-05 -1.000 8.075e-05 4.762 4.458 4.219 4.016 3.707 3.621 3.603 3.603 3.598 3.796 3.603 3.771 3.628 3.623 3.617 3.606 3.605 3.604 3.602 3.598 3.598 3.594 3.598 3.673
0.00016279 -1.98000 10.00000 0.7500000000 2.3998889923    0.750  0.025  3.8026  4.451    1  0.000  0.531     0.00     0.00 -1  -9.1e-14      0.00 8.520e-01 1.479e-01 1.947e-05 5.352e-06 4.887e-05 -1.000 7.038e-05 4.709 4.407 4.171 3.970 3.664 3.579 3.563 3.562 3.557 3.753 3.562 3.727 3.586 3.581 3.576 3.565 3.564 3.563 3.561 3.557 3.557 3.553 3.557 3.630
0.00016279 -1.98000 10.00000 0.7574244738 2.4028670788    0.757  0.065  3.8059  4.428    1  0.000  0.531     0.00     0.00 -1 -1.02e-13      0.00 8.528e-01 1.472e-01 1.949e-05 5.360e-06 4.896e-05 -1.000 8.284e-05 4.608 4.311 4.081 3.884 3.584 3.502 3.487 3.486 3.481 3.672 3.487 3.645 3.508 3.504 3.499 3.489 3.489 3.488 3.486 3.482 3.481 3.477 3.481 3.551
0.00016279 -1.98000 10.00000 0.7659637332 2.4062104225    0.765  0.114  3.8097  4.399    1  0.000  0.530     0.00     0.00 -1 -1.17e-13      0.00 8.535e-01 1.464e-01 1.952e-05 5.372e-06 4.909e-05 -1.000 8.950e-05 4.486 4.194 3.970 3.778 3.486 3.407 3.393 3.392 3.387 3.572 3.392 3.545 3.412 3.409 3.404 3.395 3.395 3.394 3.391 3.388 3.387 3.383 3.387 3.454
0.00016279 -1.98000 10.00000 0.7741404176 2.4093322754    0.773  0.164  3.8133  4.368    1  0.000  0.530     0.00     0.00 -1 -1.36e-13      0.00 8.541e-01 1.458e-01 1.956e-05 5.385e-06 4.923e-05 -1.000 1.184e-04 4.361 4.075 3.857 3.669 3.384 3.309 3.295 3.294 3.290 3.469 3.294 3.441 3.313 3.310 3.306 3.297 3.297 3.296 3.293 3.290 3.289 3.286 3.290 3.353
0.00016279 -1.98000 10.00000 0.7817851305 2.4121832848    0.781  0.213  3.8167  4.336    1  0.000  0.529     0.00     0.00 -1 -1.57e-13      0.00 8.545e-01 1.453e-01 1.960e-05 5.399e-06 4.938e-05 -1.000 1.354e-04 4.236 3.954 3.742 3.559 3.281 3.208 3.195 3.195 3.190 3.364 3.195 3.336 3.212 3.210 3.206 3.197 3.197 3.196 3.194 3.191 3.190 3.186 3.190 3.251
0.00016279 -1.98000 10.00000 0.7909898162 2.4155321121    0.790  0.278  3.8206  4.292    1  0.000  0.529     0.00     0.00 -1  -1.9e-13      0.00 8.550e-01 1.449e-01 1.966e-05 5.419e-06 4.957e-05 -1.000 1.123e-04 4.074 3.797 3.592 3.414 3.143 3.075 3.062 3.062 3.057 3.225 3.061 3.197 3.078 3.076 3.072 3.064 3.064 3.063 3.061 3.058 3.057 3.053 3.057 3.115
0.00016279 -1.98000 10.00000 0.7994871140 2.4185450077    0.798  0.345  3.8239  4.243    1  0.000  0.529     0.00     0.00 -1 -2.33e-13      0.00 8.553e-01 1.447e-01 1.973e-05 5.439e-06 4.978e-05 -1.000 7.558e-05 3.909 3.636 3.436 3.263 2.999 2.933 2.921 2.921 2.916 3.079 2.920 3.050 2.936 2.934 2.930 2.922 2.923 2.922 2.920 2.917 2.916 2.912 2.916 2.971
0.00016279 -1.98000 10.00000 0.8000000119 2.4187245369    0.799  0.349  3.8241  4.240    1  0.000  0.529     0.00     0.00 -1 -2.36e-13      0.00 8.553e-01 1.446e-01 1.974e-05 5.441e-06 4.979e-05 -1.000 7.385e-05 3.899 3.626 3.426 3.253 2.990 2.924 2.912 2.912 2.908 3.070 2.912 3.041 2.928 2.926 2.922 2.914 2.914 2.913 2.911 2.908 2.907 2.904 2.907 2.963
0.00016279 -1.98000 10.00000 0.8010369539 2.4190866947    0.800  0.357  3.8245  4.234    1  0.000  0.529     0.00     0.00 -1 -2.42e-13      0.00 8.552e-01 1.447e-01 1.975e-05 5.443e-06 4.981e-05 -1.000 7.218e-05 3.878 3.606 3.407 3.235 2.973 2.907 2.895 2.895 2.890 3.052 2.894 3.024 2.910 2.908 2.904 2.897 2.897 2.896 2.894 2.891 2.890 2.887 2.890 2.945
0.00016279 -1.98000 10.00000 0.8070002198 2.4211483002    0.806  0.407  3.8266  4.196    1  0.000  0.529     0.00     0.00 -1 -2.83e-13      0.00 8.547e-01 1.452e-01 1.982e-05 5.462e-06 4.999e-05 -1.000 1.100e-04 3.753 3.483 3.288 3.118 2.861 2.797 2.785 2.785 2.781 2.940 2.785 2.911 2.801 2.799 2.795 2.787 2.787 2.786 2.784 2.781 2.780 2.777 2.781 2.834
