# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:03:23 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00018264 -1.93000 10.07918 0.0913096443 1.0941179991    0.091 -3.146  3.4971  5.485    1  0.000  0.545     0.00     0.00 -1 -5.39e-17      0.00 7.480e-01 2.518e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.868e-04 12.634 19.128 16.627 14.661 13.205 11.852 10.699 10.464 10.407
0.00018264 -1.93000 10.07918 0.0971938968 1.1472291946    0.097 -2.933  3.5280  5.422    1  0.000  0.545     0.00     0.00 -1 -9.15e-17      0.00 7.465e-01 2.533e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.868e-04 12.103 17.363 15.468 13.667 12.442 11.352 10.271 9.903 9.799
0.00018264 -1.93000 10.07918 0.1012862623 1.1817619801    0.101 -2.793  3.5482  5.381    1  0.000  0.545     0.00     0.00 -1  -1.3e-16      0.00 7.454e-01 2.544e-01 3.361e-05 9.067e-06 8.224e-05 -1.000 1.868e-04 11.754 16.283 14.717 13.075 11.957 11.017 9.993 9.558 9.432
0.00018264 -1.93000 10.07918 0.1212394834 1.3274300098    0.121 -2.505  3.5779  5.290    1  0.000  0.545     0.00     0.00 -1 -2.55e-16      0.00 7.421e-01 2.577e-01 3.361e-05 9.067e-06 8.224e-05 -1.000 1.869e-04 11.034 14.636 13.465 12.062 11.084 10.311 9.375 8.871 8.721
0.00018264 -1.93000 10.07918 0.1411927044 1.4448504448    0.141 -2.324  3.5922  5.232    1  0.000  0.545     0.00     0.00 -1 -3.84e-16      0.00 7.400e-01 2.599e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 10.579 13.794 12.786 11.487 10.580 9.860 8.967 8.443 8.280
0.00018264 -1.93000 10.07918 0.1611459404 1.5424650908    0.161 -2.182  3.6015  5.184    1  0.000  0.545     0.00     0.00 -1 -5.27e-16      0.00 7.386e-01 2.612e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 10.224 13.212 12.297 11.060 10.197 9.505 8.641 8.107 7.939
0.00018264 -1.93000 10.07918 0.2010523975 1.6974372864    0.201 -1.963  3.6134  5.110    1  0.000  0.545     0.00     0.00 -1 -8.49e-16      0.00 7.379e-01 2.619e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 9.679 12.393 11.591 10.426 9.618 8.959 8.131 7.592 7.421
0.00018264 -1.93000 10.07918 0.2509354949 1.8426946402    0.251 -1.764  3.6243  5.050    1  0.000  0.545     0.00     0.00 -1 -1.29e-15      0.00 7.381e-01 2.617e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 9.180 11.666 10.957 9.852 9.090 8.459 7.663 7.126 6.957
0.00018264 -1.93000 10.07918 0.3008185625 1.9545503855    0.301 -1.611  3.6333  5.012    1  0.000  0.545     0.00     0.00 -1 -1.75e-15      0.00 7.382e-01 2.616e-01 3.360e-05 9.069e-06 8.224e-05 -1.000 1.869e-04 8.797 11.102 10.467 9.408 8.683 8.075 7.306 6.773 6.610
0.00018264 -1.93000 10.07918 0.3507016301 2.0445659161    0.351 -1.484  3.6416  4.985    1  0.000  0.544     0.00     0.00 -1 -2.24e-15      0.00 7.381e-01 2.617e-01 3.357e-05 9.070e-06 8.224e-05 -1.000 1.868e-04 8.481 10.629 10.060 9.039 8.347 7.759 7.013 6.487 6.330
0.00018264 -1.93000 10.07918 0.4005846977 2.1193072796    0.400 -1.358  3.6507  4.953    1  0.000  0.545     0.00     0.00 -1 -2.91e-15      0.00 7.502e-01 2.496e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.868e-04 8.164 10.145 9.649 8.670 8.009 7.442 6.722 6.206 6.058
0.00018264 -1.93000 10.07918 0.4504677355 2.1828336716    0.450 -1.202  3.6659  4.909    1  0.000  0.545     0.00     0.00 -1 -4.13e-15      0.00 7.507e-01 2.491e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.869e-04 7.775 9.484 9.113 8.199 7.590 7.057 6.380 5.883 5.749
0.00018264 -1.93000 10.07918 0.5003507733 2.2378156185    0.500 -1.028  3.6839  4.853    1  0.000  0.545     0.00     0.00 -1 -6.23e-15      0.00 7.509e-01 2.489e-01 3.359e-05 9.062e-06 8.219e-05 -1.000 1.870e-04 7.341 8.742 8.519 7.680 7.127 6.631 6.005 5.537 5.419
0.00018264 -1.93000 10.07918 0.5502339005 2.2838518620    0.550 -0.823  3.7044  4.770    1  0.000  0.544     0.00     0.00 -1 -1.05e-14      0.00 7.848e-01 2.151e-01 2.931e-05 7.913e-06 7.180e-05 -1.000 9.990e-05 6.827 7.916 7.848 7.091 6.593 6.136 5.566 5.133 5.033
0.00018264 -1.93000 10.07918 0.6001169682 2.3212006092    0.600 -0.614  3.7298  4.701    1  0.000  0.544     0.00     0.00 -1 -1.76e-14      0.00 7.973e-01 2.026e-01 2.779e-05 7.508e-06 6.816e-05 -1.000 1.359e-04 6.304 7.072 7.159 6.502 6.062 5.650 5.147 4.757 4.676
0.00018264 -1.93000 10.07918 0.6075627804 2.3261740208    0.607 -0.581  3.7342  4.691    1  0.000  0.544     0.00     0.00 -1 -1.91e-14      0.00 7.996e-01 2.003e-01 2.751e-05 7.434e-06 6.750e-05 -1.000 1.414e-04 6.222 6.944 7.053 6.412 5.981 5.576 5.084 4.701 4.623
0.00018264 -1.93000 10.07918 0.6186909676 2.3333508968    0.618 -0.531  3.7408  4.676    1  0.000  0.543     0.00     0.00 -1 -2.16e-14      0.00 8.031e-01 1.967e-01 2.709e-05 7.320e-06 6.647e-05 -1.000 1.718e-04 6.098 6.753 6.893 6.276 5.859 5.465 4.988 4.616 4.542
0.00018264 -1.93000 10.07918 0.6286030412 2.3394978046    0.628 -0.487  3.7467  4.662    1  0.000  0.543     0.00     0.00 -1 -2.41e-14      0.00 8.065e-01 1.934e-01 2.669e-05 7.213e-06 6.551e-05 -1.000 1.731e-04 5.987 6.589 6.752 6.157 5.751 5.367 4.904 4.538 4.470
0.00018264 -1.93000 10.07918 0.6382229924 2.3452544212    0.638 -0.443  3.7523  4.647    1  0.000  0.543     0.00     0.00 -1 -4.14e-16      0.00 8.099e-01 1.900e-01 2.628e-05 7.104e-06 6.454e-05 -1.000 1.647e-04 5.878 6.430 6.616 6.041 5.647 5.272 4.821 4.463 4.400
0.00018264 -1.93000 10.07918 0.6495532393 2.3517832756    0.649 -0.391  3.7587  4.629    1  0.000  0.543     0.00     0.00 -1 -2.22e-14      0.00 8.141e-01 1.858e-01 2.578e-05 6.970e-06 6.333e-05 -1.000 1.311e-04 5.748 6.245 6.455 5.904 5.523 5.160 4.723 4.373 4.316
0.00018264 -1.93000 10.07918 0.6499999762 2.3520355225    0.650 -0.389  3.7590  4.628    1  0.000  0.543     0.00     0.00 -1 -3.08e-14      0.00 8.143e-01 1.856e-01 2.576e-05 6.964e-06 6.328e-05 -1.000 1.765e-04 5.743 6.238 6.448 5.898 5.518 5.155 4.719 4.369 4.312
0.00018264 -1.93000 10.07918 0.6589780450 2.3570179939    0.659 -0.347  3.7639  4.611    1  0.000  0.542     0.00     0.00 -1 -3.43e-14      0.00 8.185e-01 1.813e-01 2.525e-05 6.829e-06 6.206e-05 -1.000 1.869e-04 5.638 6.097 6.322 5.789 5.419 5.064 4.638 4.294 4.241
0.00018264 -1.93000 10.07918 0.6691758633 2.3624916077    0.669 -0.299  3.7693  4.591    1  0.000  0.542     0.00     0.00 -1  -3.9e-14      0.00 8.237e-01 1.762e-01 2.463e-05 6.665e-06 6.060e-05 -1.000 1.699e-04 5.517 5.939 6.178 5.664 5.305 4.959 4.544 4.207 4.159
0.00018264 -1.93000 10.07918 0.6788769364 2.3675234318    0.679 -0.252  3.7744  4.571    1  0.000  0.542     0.00     0.00 -1 -2.89e-14      0.00 8.289e-01 1.710e-01 2.401e-05 6.500e-06 5.911e-05 -1.000 1.490e-04 5.400 5.790 6.040 5.544 5.194 4.856 4.451 4.120 4.076
0.00018264 -1.93000 10.07918 0.6881385446 2.3721752167    0.688 -0.206  3.7792  4.550    1  0.000  0.541     0.00     0.00 -1 -9.72e-15      0.00 8.342e-01 1.657e-01 2.338e-05 6.332e-06 5.760e-05 -1.000 1.196e-04 5.284 5.646 5.906 5.426 5.085 4.755 4.360 4.034 3.995
0.00018264 -1.93000 10.07918 0.6963579059 2.3761847019    0.696 -0.163  3.7834  4.529    1  0.000  0.541     0.00     0.00 -1 -6.62e-15      0.00 8.391e-01 1.607e-01 2.279e-05 6.174e-06 5.619e-05 -1.000 1.488e-04 5.178 5.518 5.784 5.318 4.985 4.662 4.275 3.956 3.919
