# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Nov 20 18:04:37 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
0.00018264 -1.93000 10.07918 0.0913096443 1.0941179991    0.091 -3.146  3.4971  5.485    1  0.000  0.545     0.00     0.00 -1 -5.39e-17      0.00 7.480e-01 2.518e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.868e-04 12.634 12.799 11.647 10.943 10.390 10.261 10.067 9.705 9.651 10.532 9.897 10.500 10.249 10.286 10.222 10.163 9.964 9.749 9.669 9.617 9.634 9.693 9.639 10.332
0.00018264 -1.93000 10.07918 0.0971938968 1.1472291946    0.097 -2.933  3.5280  5.422    1  0.000  0.545     0.00     0.00 -1 -9.15e-17      0.00 7.465e-01 2.533e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.868e-04 12.103 12.104 11.145 10.503 9.920 9.700 9.534 9.258 9.197 10.039 9.407 10.047 9.753 9.735 9.655 9.601 9.469 9.301 9.226 9.170 9.182 9.236 9.188 9.850
0.00018264 -1.93000 10.07918 0.1012862623 1.1817619801    0.101 -2.793  3.5482  5.381    1  0.000  0.545     0.00     0.00 -1  -1.3e-16      0.00 7.454e-01 2.544e-01 3.361e-05 9.067e-06 8.224e-05 -1.000 1.868e-04 11.754 11.654 10.805 10.206 9.623 9.366 9.210 8.983 8.922 9.728 9.107 9.752 9.450 9.403 9.323 9.267 9.160 9.024 8.954 8.898 8.907 8.956 8.913 9.549
0.00018264 -1.93000 10.07918 0.1212394834 1.3274300098    0.121 -2.505  3.5779  5.290    1  0.000  0.545     0.00     0.00 -1 -2.55e-16      0.00 7.421e-01 2.577e-01 3.361e-05 9.067e-06 8.224e-05 -1.000 1.869e-04 11.034 10.811 10.085 9.542 8.977 8.702 8.579 8.379 8.319 9.071 8.488 9.109 8.800 8.739 8.662 8.624 8.544 8.421 8.350 8.295 8.305 8.352 8.321 8.901
0.00018264 -1.93000 10.07918 0.1411927044 1.4448504448    0.141 -2.324  3.5922  5.232    1  0.000  0.545     0.00     0.00 -1 -3.84e-16      0.00 7.400e-01 2.599e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 10.579 10.291 9.618 9.108 8.554 8.290 8.207 7.997 7.939 8.649 8.112 8.690 8.373 8.324 8.253 8.240 8.185 8.041 7.965 7.912 7.923 7.971 7.954 8.478
0.00018264 -1.93000 10.07918 0.1611459404 1.5424650908    0.161 -2.182  3.6015  5.184    1  0.000  0.545     0.00     0.00 -1 -5.27e-16      0.00 7.386e-01 2.612e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 10.224 9.900 9.260 8.774 8.227 7.963 7.891 7.697 7.644 8.320 7.803 8.363 8.045 7.994 7.928 7.918 7.875 7.736 7.667 7.619 7.628 7.673 7.661 8.151
0.00018264 -1.93000 10.07918 0.2010523975 1.6974372864    0.201 -1.963  3.6134  5.110    1  0.000  0.545     0.00     0.00 -1 -8.49e-16      0.00 7.379e-01 2.619e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 9.679 9.334 8.724 8.258 7.717 7.446 7.356 7.208 7.163 7.807 7.290 7.851 7.541 7.477 7.414 7.384 7.339 7.237 7.185 7.144 7.150 7.187 7.174 7.643
0.00018264 -1.93000 10.07918 0.2509354949 1.8426946402    0.251 -1.764  3.6243  5.050    1  0.000  0.545     0.00     0.00 -1 -1.29e-15      0.00 7.381e-01 2.617e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 9.180 8.817 8.234 7.787 7.252 6.979 6.870 6.761 6.726 7.341 6.821 7.382 7.081 7.008 6.949 6.900 6.850 6.782 6.746 6.711 6.716 6.744 6.731 7.179
0.00018264 -1.93000 10.07918 0.3008185625 1.9545503855    0.301 -1.611  3.6333  5.012    1  0.000  0.545     0.00     0.00 -1 -1.75e-15      0.00 7.382e-01 2.616e-01 3.360e-05 9.069e-06 8.224e-05 -1.000 1.869e-04 8.797 8.418 7.858 7.425 6.900 6.633 6.520 6.430 6.399 6.989 6.480 7.026 6.733 6.660 6.604 6.550 6.500 6.447 6.417 6.387 6.391 6.415 6.402 6.829
0.00018264 -1.93000 10.07918 0.3507016301 2.0445659161    0.351 -1.484  3.6416  4.985    1  0.000  0.544     0.00     0.00 -1 -2.24e-15      0.00 7.381e-01 2.617e-01 3.357e-05 9.070e-06 8.224e-05 -1.000 1.868e-04 8.481 8.088 7.548 7.129 6.613 6.352 6.240 6.163 6.137 6.703 6.206 6.736 6.451 6.378 6.326 6.269 6.220 6.178 6.153 6.125 6.129 6.151 6.139 6.544
