# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Sep 15 16:10:47 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
0.00018264 -1.93000 10.07918 0.0913096443 1.0941179991    0.091 -3.146  3.4971  5.485    1  0.000  0.545     0.00     0.00 -1 -5.39e-17      0.00 7.480e-01 2.518e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.868e-04 12.634 12.689 11.465 10.840 10.458 10.441 10.147 9.746 9.640 10.589 9.957 10.493 10.423 10.462 10.410 10.289 10.011 9.793 9.711 9.641 9.631 9.640 9.621 10.443
0.00018264 -1.93000 10.07918 0.0971938968 1.1472291946    0.097 -2.933  3.5280  5.422    1  0.000  0.545     0.00     0.00 -1 -9.15e-17      0.00 7.465e-01 2.533e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.868e-04 12.103 12.023 11.009 10.410 9.946 9.836 9.600 9.289 9.189 10.073 9.456 10.013 9.863 9.862 9.802 9.703 9.503 9.333 9.258 9.191 9.182 9.189 9.173 9.909
0.00018264 -1.93000 10.07918 0.1012862623 1.1817619801    0.101 -2.793  3.5482  5.381    1  0.000  0.545     0.00     0.00 -1  -1.3e-16      0.00 7.454e-01 2.544e-01 3.361e-05 9.067e-06 8.224e-05 -1.000 1.868e-04 11.754 11.583 10.699 10.128 9.627 9.468 9.262 9.004 8.911 9.748 9.144 9.713 9.518 9.496 9.434 9.345 9.185 9.045 8.976 8.913 8.905 8.909 8.896 9.579
0.00018264 -1.93000 10.07918 0.1212394834 1.3274300098    0.121 -2.505  3.5779  5.290    1  0.000  0.545     0.00     0.00 -1 -2.55e-16      0.00 7.421e-01 2.577e-01 3.361e-05 9.067e-06 8.224e-05 -1.000 1.869e-04 11.034 10.756 10.024 9.502 8.972 8.752 8.583 8.396 8.318 9.080 8.499 9.081 8.831 8.780 8.720 8.645 8.529 8.429 8.374 8.319 8.312 8.315 8.304 8.911
0.00018264 -1.93000 10.07918 0.1411927044 1.4448504448    0.141 -2.324  3.5922  5.232    1  0.000  0.545     0.00     0.00 -1 -3.84e-16      0.00 7.400e-01 2.599e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 10.579 10.268 9.588 9.089 8.556 8.309 8.153 8.000 7.932 8.655 8.085 8.672 8.403 8.338 8.278 8.207 8.108 8.028 7.982 7.934 7.927 7.930 7.919 8.490
0.00018264 -1.93000 10.07918 0.1611459404 1.5424650908    0.161 -2.182  3.6015  5.184    1  0.000  0.545     0.00     0.00 -1 -5.27e-16      0.00 7.386e-01 2.612e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 10.224 9.894 9.242 8.760 8.226 7.966 7.818 7.686 7.625 8.321 7.759 8.346 8.068 7.996 7.935 7.867 7.778 7.710 7.670 7.626 7.620 7.623 7.613 8.159
0.00018264 -1.93000 10.07918 0.2010523975 1.6974372864    0.201 -1.963  3.6134  5.110    1  0.000  0.545     0.00     0.00 -1 -8.49e-16      0.00 7.379e-01 2.619e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 9.679 9.327 8.709 8.246 7.715 7.446 7.307 7.198 7.146 7.805 7.258 7.838 7.553 7.475 7.415 7.349 7.273 7.218 7.185 7.146 7.142 7.146 7.136 7.646
0.00018264 -1.93000 10.07918 0.2509354949 1.8426946402    0.251 -1.764  3.6243  5.050    1  0.000  0.545     0.00     0.00 -1 -1.29e-15      0.00 7.381e-01 2.617e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 9.180 8.810 8.220 7.775 7.250 6.979 6.847 6.756 6.712 7.338 6.807 7.373 7.087 7.008 6.950 6.884 6.817 6.773 6.745 6.711 6.708 6.712 6.703 7.180
0.00018264 -1.93000 10.07918 0.3008185625 1.9545503855    0.301 -1.611  3.6333  5.012    1  0.000  0.545     0.00     0.00 -1 -1.75e-15      0.00 7.382e-01 2.616e-01 3.360e-05 9.069e-06 8.224e-05 -1.000 1.869e-04 8.797 8.412 7.845 7.415 6.895 6.629 6.501 6.423 6.385 6.984 6.467 7.018 6.734 6.656 6.601 6.536 6.474 6.438 6.414 6.383 6.381 6.385 6.377 6.827
0.00018264 -1.93000 10.07918 0.3507016301 2.0445659161    0.351 -1.484  3.6416  4.985    1  0.000  0.544     0.00     0.00 -1 -2.24e-15      0.00 7.381e-01 2.617e-01 3.357e-05 9.070e-06 8.224e-05 -1.000 1.868e-04 8.481 8.083 7.537 7.119 6.607 6.347 6.225 6.155 6.121 6.696 6.194 6.728 6.448 6.372 6.320 6.257 6.200 6.168 6.148 6.120 6.117 6.122 6.114 6.539
0.00018264 -1.93000 10.07918 0.4005846977 2.1193072796    0.400 -1.358  3.6507  4.953    1  0.000  0.545     0.00     0.00 -1 -2.91e-15      0.00 7.502e-01 2.496e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.868e-04 8.164 7.753 7.230 6.826 6.323 6.071 5.956 5.894 5.865 6.413 5.929 6.442 6.167 6.095 6.046 5.986 5.934 5.906 5.888 5.862 5.861 5.866 5.859 6.256
0.00018264 -1.93000 10.07918 0.4504677355 2.1828336716    0.450 -1.202  3.6659  4.909    1  0.000  0.545     0.00     0.00 -1 -4.13e-15      0.00 7.507e-01 2.491e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.869e-04 7.775 7.347 6.858 6.479 5.993 5.758 5.654 5.602 5.577 6.084 5.631 6.107 5.844 5.779 5.736 5.680 5.635 5.612 5.596 5.575 5.574 5.579 5.574 5.929
0.00018264 -1.93000 10.07918 0.5003507733 2.2378156185    0.500 -1.028  3.6839  4.853    1  0.000  0.545     0.00     0.00 -1 -6.23e-15      0.00 7.509e-01 2.489e-01 3.359e-05 9.062e-06 8.219e-05 -1.000 1.870e-04 7.341 6.898 6.449 6.098 5.637 5.423 5.331 5.288 5.268 5.729 5.312 5.744 5.498 5.441 5.404 5.353 5.315 5.296 5.284 5.266 5.265 5.268 5.265 5.577
0.00018264 -1.93000 10.07918 0.5502339005 2.2838518620    0.550 -0.823  3.7044  4.770    1  0.000  0.544     0.00     0.00 -1 -1.05e-14      0.00 7.848e-01 2.151e-01 2.931e-05 7.913e-06 7.180e-05 -1.000 9.990e-05 6.827 6.379 5.972 5.651 5.222 5.031 4.951 4.917 4.900 5.313 4.936 5.320 5.094 5.046 5.015 4.970 4.939 4.924 4.914 4.899 4.898 4.899 4.898 5.167
0.00018264 -1.93000 10.07918 0.6001169682 2.3212006092    0.600 -0.614  3.7298  4.701    1  0.000  0.544     0.00     0.00 -1 -1.76e-14      0.00 7.973e-01 2.026e-01 2.779e-05 7.508e-06 6.816e-05 -1.000 1.359e-04 6.304 5.866 5.506 5.223 4.831 4.669 4.603 4.579 4.564 4.921 4.593 4.919 4.719 4.681 4.656 4.618 4.595 4.584 4.576 4.565 4.563 4.560 4.562 4.783
0.00018264 -1.93000 10.07918 0.6075627804 2.3261740208    0.607 -0.581  3.7342  4.691    1  0.000  0.544     0.00     0.00 -1 -1.91e-14      0.00 7.996e-01 2.003e-01 2.751e-05 7.434e-06 6.750e-05 -1.000 1.414e-04 6.222 5.787 5.436 5.158 4.773 4.615 4.552 4.529 4.515 4.862 4.542 4.858 4.662 4.626 4.603 4.566 4.544 4.534 4.526 4.515 4.514 4.510 4.512 4.725
0.00018264 -1.93000 10.07918 0.6186909676 2.3333508968    0.618 -0.531  3.7408  4.676    1  0.000  0.543     0.00     0.00 -1 -2.16e-14      0.00 8.031e-01 1.967e-01 2.709e-05 7.320e-06 6.647e-05 -1.000 1.718e-04 6.098 5.669 5.330 5.061 4.684 4.534 4.474 4.453 4.440 4.773 4.465 4.767 4.577 4.544 4.522 4.487 4.467 4.458 4.451 4.441 4.439 4.435 4.438 4.638
0.00018264 -1.93000 10.07918 0.6286030412 2.3394978046    0.628 -0.487  3.7467  4.662    1  0.000  0.543     0.00     0.00 -1 -2.41e-14      0.00 8.065e-01 1.934e-01 2.669e-05 7.213e-06 6.551e-05 -1.000 1.731e-04 5.987 5.566 5.236 4.975 4.604 4.460 4.405 4.386 4.374 4.694 4.397 4.685 4.500 4.469 4.449 4.417 4.399 4.390 4.384 4.375 4.374 4.369 4.372 4.559
0.00018264 -1.93000 10.07918 0.6382229924 2.3452544212    0.638 -0.443  3.7523  4.647    1  0.000  0.543     0.00     0.00 -1 -4.14e-16      0.00 8.099e-01 1.900e-01 2.628e-05 7.104e-06 6.454e-05 -1.000 1.647e-04 5.878 5.465 5.146 4.890 4.526 4.388 4.337 4.321 4.310 4.616 4.330 4.606 4.424 4.396 4.378 4.348 4.332 4.325 4.319 4.311 4.309 4.305 4.308 4.482
0.00018264 -1.93000 10.07918 0.6495532393 2.3517832756    0.649 -0.391  3.7587  4.629    1  0.000  0.543     0.00     0.00 -1 -2.22e-14      0.00 8.141e-01 1.858e-01 2.578e-05 6.970e-06 6.333e-05 -1.000 1.311e-04 5.748 5.346 5.038 4.791 4.433 4.302 4.256 4.243 4.233 4.523 4.250 4.511 4.335 4.309 4.293 4.266 4.252 4.246 4.241 4.234 4.233 4.228 4.232 4.391
0.00018264 -1.93000 10.07918 0.6499999762 2.3520355225    0.650 -0.389  3.7590  4.628    1  0.000  0.543     0.00     0.00 -1 -3.08e-14      0.00 8.143e-01 1.856e-01 2.576e-05 6.964e-06 6.328e-05 -1.000 1.765e-04 5.743 5.341 5.034 4.786 4.429 4.298 4.253 4.240 4.230 4.519 4.247 4.507 4.331 4.305 4.289 4.262 4.249 4.243 4.238 4.231 4.230 4.225 4.229 4.387
0.00018264 -1.93000 10.07918 0.6589780450 2.3570179939    0.659 -0.347  3.7639  4.611    1  0.000  0.542     0.00     0.00 -1 -3.43e-14      0.00 8.185e-01 1.813e-01 2.525e-05 6.829e-06 6.206e-05 -1.000 1.869e-04 5.638 5.245 4.946 4.704 4.352 4.226 4.184 4.173 4.164 4.442 4.179 4.428 4.256 4.233 4.218 4.193 4.181 4.176 4.172 4.165 4.164 4.159 4.163 4.311
