# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:22:40 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0015825 -0.99000 10.07918 0.0900000036 1.0816895962    0.090 -3.240  3.4432  5.357    1  0.000  0.545     0.00     0.00 -1 -3.51e-17      0.00 7.448e-01 2.535e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 12.870 21.302 18.553 16.552 14.504 12.462 10.803 10.431 10.264
0.0015825 -0.99000 10.07918 0.0972300544 1.1475424767    0.097 -3.066  3.4678  5.315    1  0.000  0.545     0.00     0.00 -1 -6.05e-17      0.00 7.440e-01 2.544e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 12.434 19.714 17.338 15.403 13.696 11.922 10.445 9.998 9.819
0.0015825 -0.99000 10.07918 0.1000000015 1.1711064577    0.100 -3.002  3.4768  5.299    1  0.000  0.545     0.00     0.00 -1 -8.87e-17      0.00 7.436e-01 2.547e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 12.276 19.167 16.916 15.006 13.407 11.732 10.315 9.846 9.662
0.0015825 -0.99000 10.07918 0.1200000048 1.3193155527    0.120 -2.721  3.5101  5.230    1  0.000  0.545     0.00     0.00 -1 -1.67e-16      0.00 7.416e-01 2.567e-01 2.989e-04 8.063e-05 7.314e-04 -1.000 1.662e-03 11.573 17.120 15.330 13.545 12.261 10.946 9.719 9.188 8.986
0.0015825 -0.99000 10.07918 0.1400000006 1.4384527206    0.140 -2.536  3.5280  5.184    1  0.000  0.545     0.00     0.00 -1  -2.5e-16      0.00 7.400e-01 2.583e-01 2.989e-04 8.063e-05 7.314e-04 -1.000 1.662e-03 11.110 16.049 14.469 12.780 11.605 10.455 9.312 8.761 8.553
0.0015825 -0.99000 10.07918 0.1599999964 1.5372931957    0.160 -2.395  3.5393  5.146    1  0.000  0.545     0.00     0.00 -1 -3.39e-16      0.00 7.388e-01 2.596e-01 2.989e-04 8.064e-05 7.314e-04 -1.000 1.662e-03 10.757 15.357 13.889 12.268 11.148 10.088 8.992 8.432 8.222
0.0015825 -0.99000 10.07918 0.2000000179 1.6938792467    0.200 -2.174  3.5540  5.081    1  0.000  0.545     0.00     0.00 -1 -5.43e-16      0.00 7.373e-01 2.611e-01 2.989e-04 8.064e-05 7.314e-04 -1.000 1.662e-03 10.205 14.405 13.069 11.535 10.478 9.522 8.484 7.914 7.702
0.0015825 -0.99000 10.07918 0.2500000298 1.8403259516    0.250 -1.968  3.5655  5.018    1  0.000  0.545     0.00     0.00 -1 -1.91e-16      0.00 7.369e-01 2.614e-01 2.989e-04 8.064e-05 7.314e-04 -1.000 1.662e-03 9.691 13.604 12.362 10.896 9.882 9.001 8.006 7.429 7.216
0.0015825 -0.99000 10.07918 0.3000000417 1.9529141188    0.300 -1.810  3.5743  4.974    1  0.000  0.545     0.00     0.00 -1 -1.64e-18      0.00 7.371e-01 2.613e-01 2.989e-04 8.064e-05 7.314e-04 -1.000 1.662e-03 9.294 13.012 11.832 10.414 9.432 8.601 7.635 7.053 6.841
0.0015825 -0.99000 10.07918 0.3500000238 2.0434176922    0.350 -1.678  3.5816  4.938    1  0.000  0.545     0.00     0.00 -1 -1.51e-15      0.00 7.464e-01 2.519e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 8.965 12.529 11.399 10.020 9.064 8.268 7.326 6.740 6.531
0.0015825 -0.99000 10.07918 0.3557920754 2.0528097153    0.356 -1.659  3.5830  4.932    1  0.000  0.545     0.00     0.00 -1 -1.58e-15      0.00 7.465e-01 2.519e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 8.918 12.453 11.332 9.961 9.010 8.221 7.283 6.697 6.488
0.0015825 -0.99000 10.07918 0.4000000358 2.1185026169    0.400 -1.525  3.5929  4.889    1  0.000  0.545     0.00     0.00 -1 -2.13e-15      0.00 7.469e-01 2.514e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 8.582 11.918 10.862 9.543 8.628 7.882 6.976 6.383 6.182
0.0015825 -0.99000 10.07918 0.4499999881 2.1822810173    0.450 -1.347  3.6098  4.829    1  0.000  0.545     0.00     0.00 -1 -3.24e-15      0.00 7.469e-01 2.514e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 8.138 11.159 10.200 8.973 8.120 7.432 6.574 5.972 5.792
0.0015825 -0.99000 10.07918 0.4990846515 2.2365095615    0.499 -1.149  3.6361  4.781    1  0.000  0.545     0.00     0.00 -1 -5.14e-15      0.00 7.469e-01 2.514e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 7.642 10.209 9.384 8.296 7.540 6.936 6.146 5.533 5.395
0.0015825 -0.99000 10.07918 0.5000000000 2.2374541759    0.500 -1.145  3.6366  4.780    1  0.000  0.545     0.00     0.00 -1 -5.18e-15      0.00 7.469e-01 2.514e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 7.633 10.192 9.370 8.285 7.530 6.927 6.138 5.526 5.388
0.0015825 -0.99000 10.07918 0.5500000715 2.2836585045    0.550 -0.920  3.6698  4.729    1  0.000  0.544     0.00     0.00 -1  -8.8e-15      0.00 7.810e-01 2.175e-01 2.616e-04 7.062e-05 6.408e-04 -1.000 1.464e-03 7.070 8.996 8.413 7.502 6.875 6.367 5.671 5.105 5.004
0.0015825 -0.99000 10.07918 0.6000000238 2.3211214542    0.600 -0.713  3.7002  4.681    1  0.000  0.544     0.00     0.00 -1 -1.43e-14      0.00 7.887e-01 2.099e-01 2.540e-04 6.859e-05 6.226e-04 -1.000 1.416e-03 6.551 7.912 7.612 6.823 6.301 5.855 5.260 4.779 4.696
0.0015825 -0.99000 10.07918 0.6064988971 2.3254718781    0.606 -0.685  3.7045  4.676    1  0.000  0.544     0.00     0.00 -1 -1.53e-14      0.00 7.898e-01 2.088e-01 2.528e-04 6.829e-05 6.199e-04 -1.000 1.418e-03 6.482 7.774 7.511 6.737 6.228 5.789 5.207 4.737 4.657
