# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Nov 20 18:12:01 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
0.0015825 -0.99000 10.07918 0.0900000036 1.0816895962    0.090 -3.240  3.4432  5.357    1  0.000  0.545     0.00     0.00 -1 -3.51e-17      0.00 7.448e-01 2.535e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 12.870 13.757 11.939 11.039 10.542 10.398 10.287 9.657 9.592 10.642 9.973 10.744 10.279 10.474 10.290 10.372 10.164 9.755 9.587 9.518 9.570 9.686 9.627 10.443
0.0015825 -0.99000 10.07918 0.0972300544 1.1475424767    0.097 -3.066  3.4678  5.315    1  0.000  0.545     0.00     0.00 -1 -6.05e-17      0.00 7.440e-01 2.544e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 12.434 12.975 11.478 10.679 10.126 9.961 9.842 9.324 9.261 10.245 9.590 10.293 9.905 10.017 9.877 9.921 9.736 9.399 9.265 9.202 9.238 9.340 9.280 10.040
0.0015825 -0.99000 10.07918 0.1000000015 1.1711064577    0.100 -3.002  3.4768  5.299    1  0.000  0.545     0.00     0.00 -1 -8.87e-17      0.00 7.436e-01 2.547e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 12.276 12.734 11.322 10.548 9.983 9.793 9.678 9.194 9.129 10.097 9.445 10.148 9.762 9.849 9.711 9.750 9.584 9.268 9.136 9.072 9.105 9.206 9.147 9.896
0.0015825 -0.99000 10.07918 0.1200000048 1.3193155527    0.120 -2.721  3.5101  5.230    1  0.000  0.545     0.00     0.00 -1 -1.67e-16      0.00 7.416e-01 2.567e-01 2.989e-04 8.063e-05 7.314e-04 -1.000 1.662e-03 11.573 11.755 10.626 9.938 9.350 9.091 8.979 8.613 8.540 9.448 8.807 9.506 9.136 9.145 9.022 9.031 8.920 8.682 8.563 8.495 8.518 8.604 8.555 9.263
0.0015825 -0.99000 10.07918 0.1400000006 1.4384527206    0.140 -2.536  3.5280  5.184    1  0.000  0.545     0.00     0.00 -1  -2.5e-16      0.00 7.400e-01 2.583e-01 2.989e-04 8.063e-05 7.314e-04 -1.000 1.662e-03 11.110 11.166 10.165 9.520 8.931 8.649 8.538 8.227 8.152 9.023 8.394 9.080 8.723 8.700 8.587 8.585 8.492 8.291 8.181 8.112 8.132 8.207 8.165 8.846
0.0015825 -0.99000 10.07918 0.1599999964 1.5372931957    0.160 -2.395  3.5393  5.146    1  0.000  0.545     0.00     0.00 -1 -3.39e-16      0.00 7.388e-01 2.596e-01 2.989e-04 8.064e-05 7.314e-04 -1.000 1.662e-03 10.757 10.739 9.810 9.191 8.607 8.314 8.205 7.925 7.850 8.694 8.076 8.752 8.404 8.363 8.256 8.251 8.166 7.986 7.881 7.814 7.832 7.902 7.862 8.522
0.0015825 -0.99000 10.07918 0.2000000179 1.6938792467    0.200 -2.174  3.5540  5.081    1  0.000  0.545     0.00     0.00 -1 -5.43e-16      0.00 7.373e-01 2.611e-01 2.989e-04 8.064e-05 7.314e-04 -1.000 1.662e-03 10.205 10.101 9.258 8.671 8.094 7.789 7.683 7.440 7.370 8.176 7.572 8.234 7.898 7.835 7.737 7.727 7.649 7.496 7.401 7.336 7.352 7.417 7.380 8.012
0.0015825 -0.99000 10.07918 0.2500000298 1.8403259516    0.250 -1.968  3.5655  5.018    1  0.000  0.545     0.00     0.00 -1 -1.91e-16      0.00 7.369e-01 2.614e-01 2.989e-04 8.064e-05 7.314e-04 -1.000 1.662e-03 9.691 9.530 8.746 8.184 7.612 7.297 7.192 6.979 6.915 7.690 7.095 7.748 7.421 7.341 7.249 7.236 7.160 7.028 6.945 6.883 6.897 6.960 6.924 7.531
0.0015825 -0.99000 10.07918 0.3000000417 1.9529141188    0.300 -1.810  3.5743  4.974    1  0.000  0.545     0.00     0.00 -1 -1.64e-18      0.00 7.371e-01 2.613e-01 2.989e-04 8.064e-05 7.314e-04 -1.000 1.662e-03 9.294 9.095 8.345 7.797 7.233 6.923 6.830 6.619 6.556 7.311 6.734 7.370 7.040 6.965 6.875 6.872 6.801 6.670 6.586 6.523 6.538 6.602 6.570 7.151
0.0015825 -0.99000 10.07918 0.3500000238 2.0434176922    0.350 -1.678  3.5816  4.938    1  0.000  0.545     0.00     0.00 -1 -1.51e-15      0.00 7.464e-01 2.519e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 8.965 8.740 8.005 7.467 6.912 6.615 6.545 6.316 6.249 6.991 6.440 7.053 6.713 6.658 6.567 6.582 6.520 6.374 6.279 6.213 6.231 6.295 6.271 6.828
0.0015825 -0.99000 10.07918 0.3557920754 2.0528097153    0.356 -1.659  3.5830  4.932    1  0.000  0.545     0.00     0.00 -1 -1.58e-15      0.00 7.465e-01 2.519e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 8.918 8.688 7.957 7.419 6.866 6.573 6.506 6.274 6.206 6.946 6.400 7.009 6.666 6.616 6.524 6.542 6.482 6.334 6.236 6.169 6.187 6.252 6.229 6.783
0.0015825 -0.99000 10.07918 0.4000000358 2.1185026169    0.400 -1.525  3.5929  4.889    1  0.000  0.545     0.00     0.00 -1 -2.13e-15      0.00 7.469e-01 2.514e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 8.582 8.300 7.616 7.104 6.550 6.270 6.247 6.015 5.952 6.635 6.141 6.700 6.344 6.308 6.227 6.268 6.238 6.074 5.974 5.912 5.933 6.001 5.988 6.465
0.0015825 -0.99000 10.07918 0.4499999881 2.1822810173    0.450 -1.347  3.6098  4.829    1  0.000  0.545     0.00     0.00 -1 -3.24e-15      0.00 7.469e-01 2.514e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 8.138 7.810 7.187 6.705 6.134 5.855 5.835 5.659 5.621 6.227 5.756 6.288 5.930 5.883 5.822 5.852 5.832 5.702 5.628 5.582 5.602 5.668 5.657 6.050
0.0015825 -0.99000 10.07918 0.4990846515 2.2365095615    0.499 -1.149  3.6361  4.781    1  0.000  0.545     0.00     0.00 -1 -5.14e-15      0.00 7.469e-01 2.514e-01 2.989e-04 8.063e-05 7.313e-04 -1.000 1.662e-03 7.642 7.278 6.728 6.281 5.693 5.418 5.363 5.285 5.283 5.795 5.329 5.844 5.497 5.436 5.397 5.387 5.351 5.301 5.273 5.249 5.266 5.325 5.308 5.611
