# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Nov 20 18:12:11 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
0.00059013 -1.42000 10.07918 0.0900000036 1.0816895962    0.090 -3.189  3.4705  5.416    1  0.000  0.545     0.00     0.00 -1 -5.31e-17      0.00 7.477e-01 2.517e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.196e-04 12.744 13.075 11.727 10.971 10.460 10.422 10.198 9.746 9.694 10.620 9.982 10.555 10.342 10.440 10.385 10.325 10.057 9.794 9.707 9.657 9.677 9.740 9.682 10.414
0.00059013 -1.42000 10.07918 0.0979087874 1.1533964872    0.098 -2.966  3.5024  5.356    1  0.000  0.545     0.00     0.00 -1 -9.13e-17      0.00 7.463e-01 2.531e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.196e-04 12.185 12.326 11.213 10.518 9.950 9.786 9.608 9.256 9.198 10.083 9.444 10.071 9.793 9.817 9.740 9.693 9.518 9.303 9.219 9.164 9.180 9.243 9.190 9.885
0.00059013 -1.42000 10.07918 0.1000000089 1.1711064577    0.100 -2.910  3.5103  5.341    1  0.000  0.545     0.00     0.00 -1 -1.05e-16      0.00 7.460e-01 2.534e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.195e-04 12.044 12.142 11.080 10.401 9.825 9.637 9.467 9.138 9.078 9.952 9.314 9.950 9.662 9.671 9.591 9.544 9.387 9.185 9.102 9.045 9.061 9.122 9.071 9.757
0.00059013 -1.42000 10.07918 0.1199999973 1.3193154335    0.120 -2.625  3.5419  5.261    1  0.000  0.545     0.00     0.00 -1 -2.02e-16      0.00 7.435e-01 2.559e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.195e-04 11.332 11.263 10.385 9.772 9.186 8.928 8.779 8.531 8.468 9.291 8.665 9.318 9.008 8.967 8.882 8.835 8.728 8.575 8.498 8.441 8.452 8.506 8.461 9.110
0.00059013 -1.42000 10.07918 0.1335045993 1.4023222923    0.133 -2.499  3.5526  5.225    1  0.000  0.545     0.00     0.00 -1 -2.66e-16      0.00 7.421e-01 2.572e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.197e-04 11.018 10.898 10.075 9.486 8.902 8.628 8.485 8.260 8.198 9.001 8.383 9.035 8.723 8.667 8.584 8.537 8.440 8.304 8.230 8.173 8.183 8.235 8.193 8.826
0.00059013 -1.42000 10.07918 0.1400000006 1.4384527206    0.140 -2.443  3.5574  5.209    1  0.000  0.545     0.00     0.00 -1 -3.01e-16      0.00 7.416e-01 2.578e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.197e-04 10.878 10.737 9.937 9.357 8.776 8.496 8.354 8.141 8.079 8.872 8.258 8.908 8.596 8.535 8.452 8.405 8.312 8.183 8.111 8.055 8.064 8.115 8.075 8.699
0.00059013 -1.42000 10.07918 0.1599999964 1.5372931957    0.160 -2.301  3.5677  5.166    1  0.000  0.545     0.00     0.00 -1  -4.1e-16      0.00 7.402e-01 2.592e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.196e-04 10.523 10.342 9.586 9.028 8.453 8.161 8.023 7.832 7.773 8.544 7.937 8.585 8.274 8.200 8.119 8.071 7.985 7.872 7.805 7.750 7.759 7.807 7.769 8.376
0.00059013 -1.42000 10.07918 0.2000000179 1.6938792467    0.200 -2.080  3.5812  5.095    1  0.000  0.545     0.00     0.00 -1 -5.69e-16      0.00 7.390e-01 2.604e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.196e-04 9.970 9.738 9.020 8.482 7.919 7.635 7.542 7.325 7.262 8.007 7.443 8.057 7.729 7.674 7.590 7.579 7.514 7.375 7.291 7.232 7.245 7.301 7.274 7.839
0.00059013 -1.42000 10.07918 0.2500000298 1.8403259516    0.250 -1.876  3.5923  5.033    1  0.000  0.545     0.00     0.00 -1 -4.19e-16      0.00 7.389e-01 2.605e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.196e-04 9.459 9.173 8.498 7.988 7.433 7.157 7.107 6.884 6.823 7.521 7.006 7.577 7.239 7.194 7.114 7.132 7.094 6.936 6.847 6.789 6.804 6.864 6.849 7.352
0.00059013 -1.42000 10.07918 0.3000000417 1.9529141188    0.300 -1.720  3.6008  4.990    1  0.000  0.545     0.00     0.00 -1 -3.48e-16      0.00 7.391e-01 2.603e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.196e-04 9.070 8.748 8.106 7.617 7.065 6.792 6.758 6.549 6.494 7.155 6.664 7.211 6.871 6.827 6.753 6.777 6.753 6.597 6.513 6.460 6.475 6.534 6.525 6.985
