# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:24:26 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00024632 -1.80000 10.09691 0.0900000036 1.0816895962    0.090 -3.196  3.4850  5.480    1  0.000  0.545     0.00     0.00 -1 -4.86e-17      0.00 7.482e-01 2.515e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 12.759 19.817 17.095 15.092 13.493 12.005 10.790 10.558 10.488
0.00024632 -1.80000 10.09691 0.0917384997 1.0981374979    0.092 -3.130  3.4946  5.461    1  0.000  0.545     0.00     0.00 -1 -5.72e-17      0.00 7.477e-01 2.520e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 12.595 19.192 16.697 14.721 13.236 11.847 10.659 10.376 10.299
0.00024632 -1.80000 10.09691 0.1000000015 1.1711064577    0.100 -2.835  3.5379  5.376    1  0.000  0.545     0.00     0.00 -1 -1.19e-16      0.00 7.456e-01 2.542e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.857 16.733 15.039 13.318 12.150 11.132 10.068 9.625 9.498
0.00024632 -1.80000 10.09691 0.1199999973 1.3193154335    0.120 -2.542  3.5687  5.286    1  0.000  0.545     0.00     0.00 -1 -2.37e-16      0.00 7.423e-01 2.574e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 11.125 14.998 13.726 12.249 11.229 10.409 9.441 8.929 8.776
0.00024632 -1.80000 10.09691 0.1400000006 1.4384527206    0.140 -2.358  3.5836  5.228    1  0.000  0.545     0.00     0.00 -1 -3.58e-16      0.00 7.401e-01 2.597e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.683e-04 10.665 14.124 13.019 11.655 10.704 9.950 9.029 8.497 8.330
0.00024632 -1.80000 10.09691 0.1599999964 1.5372931957    0.160 -2.214  3.5933  5.181    1  0.000  0.545     0.00     0.00 -1 -4.93e-16      0.00 7.387e-01 2.611e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 10.304 13.509 12.508 11.213 10.309 9.589 8.698 8.157 7.983
0.00024632 -1.80000 10.09691 0.1706063598 1.5834126472    0.171 -2.150  3.5969  5.159    1  0.000  0.545     0.00     0.00 -1 -5.67e-16      0.00 7.384e-01 2.613e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.683e-04 10.145 13.263 12.297 11.026 10.138 9.431 8.550 8.006 7.831
0.00024632 -1.80000 10.09691 0.2000000179 1.6938792467    0.200 -1.993  3.6057  5.106    1  0.000  0.545     0.00     0.00 -1 -7.99e-16      0.00 7.378e-01 2.619e-01 4.823e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 9.752 12.663 11.780 10.565 9.718 9.037 8.183 7.635 7.458
0.00024632 -1.80000 10.09691 0.2500000298 1.8403259516    0.250 -1.791  3.6167  5.046    1  0.000  0.545     0.00     0.00 -1 -7.17e-16      0.00 7.380e-01 2.617e-01 4.822e-05 1.301e-05 1.180e-04 -1.000 2.681e-04 9.249 11.919 11.130 9.980 9.182 8.531 7.711 7.162 6.987
0.00024632 -1.80000 10.09691 0.3000000417 1.9529141188    0.300 -1.637  3.6257  5.007    1  0.000  0.545     0.00     0.00 -1 -1.66e-15      0.00 7.381e-01 2.616e-01 4.821e-05 1.301e-05 1.180e-04 -1.000 2.682e-04 8.863 11.348 10.632 9.531 8.771 8.144 7.350 6.804 6.635
