# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:04:47 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
5.913e-05 -2.19174 10.17609 0.1000000015 1.1711064577    0.100 -2.777  3.5593  5.404    1  0.000  0.545     0.00     0.00 -1 -1.78e-26      0.00 7.439e-01 2.560e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.713 15.872 14.399 12.854 11.785 10.935 9.970 9.636 9.530
5.913e-05 -2.19174 10.17609 0.1098214313 1.2482755184    0.109 -2.628  3.5745  5.355    1  0.000  0.545     0.00     0.00 -1 -1.65e-24      0.00 7.417e-01 2.582e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 11.341 14.983 13.761 12.349 11.360 10.586 9.655 9.256 9.134
5.913e-05 -2.19174 10.17609 0.1294642836 1.3786746264    0.129 -2.385  3.5970  5.273    1  0.000  0.545     0.00     0.00 -1 -1.12e-21      0.00 7.380e-01 2.619e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.732 13.721 12.808 11.564 10.697 9.997 9.126 8.657 8.517
5.913e-05 -2.19174 10.17609 0.1491071582 1.4855960608    0.149 -2.220  3.6082  5.215    1  0.000  0.545     0.00     0.00 -1 -4.03e-23      0.00 7.360e-01 2.639e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.319 13.035 12.247 11.073 10.260 9.589 8.750 8.260 8.110
5.913e-05 -2.19174 10.17609 0.1687500030 1.5756140947    0.168 -2.093  3.6155  5.170    1  0.000  0.545     0.00     0.00 -1 -5.54e-26      0.00 7.352e-01 2.647e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 10.002 12.557 11.843 10.708 9.927 9.274 8.456 7.958 7.803
5.913e-05 -2.19174 10.17609 0.2080357224 1.7204496861    0.207 -1.891  3.6264  5.103    1  0.000  0.545     0.00     0.00 -1 -2.65e-20      0.00 7.350e-01 2.649e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 9.496 11.824 11.214 10.133 9.397 8.769 7.984 7.482 7.321
5.913e-05 -2.19174 10.17609 0.2571428716 1.8581268787    0.257 -1.705  3.6365  5.050    1  0.000  0.545     0.00     0.00 -1 -3.26e-26      0.00 7.354e-01 2.645e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 9.032 11.162 10.643 9.607 8.910 8.305 7.550 7.052 6.890
5.913e-05 -2.19174 10.17609 0.3062500358 1.9652637243    0.306 -1.561  3.6450  5.016    1  0.000  0.544     0.00     0.00 -1 -2.97e-26      0.00 7.351e-01 2.648e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 8.672 10.644 10.199 9.198 8.531 7.944 7.214 6.724 6.564
5.913e-05 -2.19174 10.17609 0.3553571701 2.0521113873    0.355 -1.438  3.6529  4.990    1  0.000  0.544     0.00     0.00 -1 -7.13e-25      0.00 7.361e-01 2.638e-01 1.795e-05 4.853e-06 4.400e-05 -1.000 9.999e-05 8.365 10.196 9.816 8.848 8.207 7.637 6.931 6.449 6.293
5.913e-05 -2.19174 10.17609 0.4044643044 2.1246092319    0.404 -1.312  3.6615  4.955    1  0.000  0.545     0.00     0.00 -1 -3.81e-27      0.00 7.499e-01 2.500e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 8.051 9.733 9.424 8.491 7.876 7.324 6.643 6.170 6.021
5.913e-05 -2.19174 10.17609 0.4176896811 2.1421973705    0.417 -1.270  3.6654  4.942    1  0.000  0.545     0.00     0.00 -1  -4.7e-24      0.00 7.501e-01 2.498e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.001e-04 7.945 9.562 9.284 8.367 7.764 7.219 6.549 6.081 5.935
5.913e-05 -2.19174 10.17609 0.4535714388 2.1864814758    0.453 -1.162  3.6753  4.909    1  0.000  0.545     0.00     0.00 -1 -1.91e-16      0.00 7.507e-01 2.492e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 7.674 9.128 8.928 8.052 7.478 6.953 6.310 5.853 5.717
5.913e-05 -2.19174 10.17609 0.5026785731 2.2401986122    0.502 -0.991  3.6906  4.844    1  0.000  0.545     0.00     0.00 -1 -9.67e-22      0.00 7.531e-01 2.468e-01 1.783e-05 4.810e-06 4.363e-05 -1.000 1.000e-04 7.246 8.464 8.374 7.565 7.032 6.538 5.936 5.496 5.376
5.913e-05 -2.19174 10.17609 0.5517857671 2.2851314545    0.551 -0.774  3.7113  4.750    1  0.000  0.544     0.00     0.00 -1 -3.33e-26      0.00 7.937e-01 2.062e-01 1.508e-05 4.074e-06 3.697e-05 -1.000 1.000e-04 6.705 7.639 7.680 6.959 6.477 6.025 5.474 5.060 4.959
5.913e-05 -2.19174 10.17609 0.5662162304 2.2966434956    0.566 -0.706  3.7194  4.726    1  0.000  0.544     0.00     0.00 -1    -8e-24      0.00 7.984e-01 2.015e-01 1.477e-05 3.991e-06 3.622e-05 -1.000 9.947e-05 6.535 7.371 7.455 6.769 6.306 5.868 5.338 4.936 4.842
5.913e-05 -2.19174 10.17609 0.6008928418 2.3217256069    0.600 -0.548  3.7385  4.670    1  0.000  0.543     0.00     0.00 -1 -2.24e-18      0.00 8.096e-01 1.903e-01 1.405e-05 3.796e-06 3.448e-05 -1.000 9.838e-05 6.139 6.778 6.949 6.335 5.912 5.509 5.025 4.649 4.571
