# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:25:49 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00015547 -2.00000 10.13033 0.0936335474 1.1156111956    0.094 -3.046  3.5140  5.463    1  0.000  0.545     0.00     0.00 -1 -2.87e-17      0.00 7.469e-01 2.530e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 12.384 18.198 16.014 14.124 12.806 11.605 10.499 10.216 10.141
0.00015547 -2.00000 10.13033 0.1035686582 1.2002434731    0.103 -2.749  3.5554  5.374    1  0.000  0.545     0.00     0.00 -1 -1.43e-16      0.00 7.441e-01 2.557e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 11.642 15.934 14.462 12.879 11.793 10.903 9.903 9.466 9.339
0.00015547 -2.00000 10.13033 0.1205011979 1.3226096630    0.120 -2.511  3.5793  5.298    1  0.000  0.545     0.00     0.00 -1 -2.51e-16      0.00 7.411e-01 2.588e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 11.046 14.601 13.446 12.056 11.085 10.321 9.390 8.895 8.749
0.00015547 -2.00000 10.13033 0.1234388798 1.3415665627    0.123 -2.473  3.5831  5.286    1  0.000  0.545     0.00     0.00 -1 -2.75e-16      0.00 7.406e-01 2.593e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.952 14.401 13.291 11.929 10.978 10.227 9.308 8.806 8.657
0.00015547 -2.00000 10.13033 0.1433091164 1.4560320377    0.143 -2.295  3.5966  5.227    1  0.000  0.545     0.00     0.00 -1 -2.52e-16      0.00 7.383e-01 2.615e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.507 13.601 12.641 11.376 10.491 9.785 8.908 8.386 8.225
0.00015547 -2.00000 10.13033 0.1631793380 1.5515257120    0.163 -2.156  3.6053  5.179    1  0.000  0.545     0.00     0.00 -1  -5.6e-16      0.00 7.371e-01 2.627e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 10.160 13.045 12.173 10.963 10.120 9.439 8.588 8.059 7.892
0.00015547 -2.00000 10.13033 0.2029198259 1.7036917210    0.203 -1.942  3.6169  5.106    1  0.000  0.545     0.00     0.00 -1 -8.92e-16      0.00 7.366e-01 2.633e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.625 12.249 11.486 10.344 9.553 8.904 8.087 7.554 7.385
0.00015547 -2.00000 10.13033 0.2525954247 1.8468697071    0.252 -1.747  3.6276  5.049    1  0.000  0.545     0.00     0.00 -1 -7.02e-16      0.00 7.369e-01 2.630e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 9.137 11.539 10.869 9.783 9.038 8.415 7.630 7.099 6.932
0.00015547 -2.00000 10.13033 0.3022710085 1.9574397802    0.302 -1.597  3.6365  5.013    1  0.000  0.545     0.00     0.00 -1 -1.55e-15      0.00 7.368e-01 2.630e-01 2.942e-05 7.941e-06 7.201e-05 -1.000 1.637e-04 8.762 10.988 10.392 9.349 8.640 8.039 7.280 6.755 6.593
0.00015547 -2.00000 10.13033 0.3271167576 2.0042343140    0.327 -1.532  3.6407  4.999    1  0.000  0.544     0.00     0.00 -1 -1.87e-15      0.00 7.369e-01 2.629e-01 2.941e-05 7.942e-06 7.201e-05 -1.000 1.637e-04 8.599 10.744 10.183 9.160 8.467 7.876 7.129 6.608 6.449
0.00015547 -2.00000 10.13033 0.3519465625 2.0465965271    0.352 -1.471  3.6447  4.987    1  0.000  0.544     0.00     0.00 -1 -2.13e-15      0.00 7.369e-01 2.629e-01 2.939e-05 7.943e-06 7.201e-05 -1.000 1.637e-04 8.449 10.522 9.991 8.986 8.307 7.725 6.990 6.473 6.318
0.00015547 -2.00000 10.13033 0.3598595858 2.0592875481    0.360 -1.450  3.6462  4.981    1  0.000  0.544     0.00     0.00 -1 -2.08e-15      0.00 7.392e-01 2.606e-01 2.940e-05 7.942e-06 7.201e-05 -1.000 1.637e-04 8.395 10.440 9.922 8.924 8.250 7.672 6.941 6.425 6.271
0.00015547 -2.00000 10.13033 0.4016221464 2.1207315922    0.401 -1.344  3.6537  4.953    1  0.000  0.545     0.00     0.00 -1  -2.6e-15      0.00 7.501e-01 2.497e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 8.130 10.039 9.582 8.616 7.968 7.407 6.698 6.191 6.044
0.00015547 -2.00000 10.13033 0.4512977004 2.1838121414    0.451 -1.189  3.6687  4.908    1  0.000  0.545     0.00     0.00 -1 -4.26e-15      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 7.742 9.383 9.051 8.149 7.551 7.023 6.355 5.868 5.735
0.00015547 -2.00000 10.13033 0.5009732842 2.2384552956    0.501 -1.014  3.6861  4.849    1  0.000  0.545     0.00     0.00 -1 -6.47e-15      0.00 7.515e-01 2.484e-01 2.938e-05 7.926e-06 7.188e-05 -1.000 1.637e-04 7.306 8.657 8.466 7.636 7.090 6.597 5.978 5.518 5.400
