# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Nov 20 18:15:30 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
0.00015547 -2.00000 10.13033 0.0936335474 1.1156111956    0.094 -3.046  3.5140  5.463    1  0.000  0.545     0.00     0.00 -1 -2.87e-17      0.00 7.469e-01 2.530e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 12.384 12.457 11.414 10.744 10.170 9.987 9.810 9.497 9.440 10.300 9.665 10.291 10.014 10.018 9.944 9.888 9.730 9.541 9.464 9.409 9.423 9.481 9.430 10.104
0.00015547 -2.00000 10.13033 0.1035686582 1.2002434731    0.103 -2.749  3.5554  5.374    1  0.000  0.545     0.00     0.00 -1 -1.43e-16      0.00 7.441e-01 2.557e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 11.642 11.509 10.696 10.112 9.531 9.264 9.112 8.900 8.839 9.632 9.016 9.661 9.357 9.301 9.222 9.165 9.066 8.940 8.872 8.817 8.825 8.872 8.831 9.457
0.00015547 -2.00000 10.13033 0.1205011979 1.3226096630    0.120 -2.511  3.5793  5.298    1  0.000  0.545     0.00     0.00 -1 -2.51e-16      0.00 7.411e-01 2.588e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 11.046 10.817 10.095 9.554 8.992 8.722 8.599 8.397 8.337 9.087 8.507 9.123 8.817 8.758 8.683 8.644 8.564 8.439 8.368 8.313 8.322 8.369 8.339 8.917
0.00015547 -2.00000 10.13033 0.1234388798 1.3415665627    0.123 -2.473  3.5831  5.286    1  0.000  0.545     0.00     0.00 -1 -2.75e-16      0.00 7.406e-01 2.593e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.952 10.707 9.995 9.460 8.902 8.638 8.523 8.314 8.252 8.998 8.428 9.033 8.726 8.673 8.599 8.567 8.490 8.357 8.283 8.227 8.237 8.285 8.258 8.827
0.00015547 -2.00000 10.13033 0.1433091164 1.4560320377    0.143 -2.295  3.5966  5.227    1  0.000  0.545     0.00     0.00 -1 -2.52e-16      0.00 7.383e-01 2.615e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.507 10.194 9.540 9.044 8.497 8.241 8.162 7.956 7.899 8.593 8.068 8.632 8.318 8.271 8.206 8.193 8.142 7.997 7.925 7.874 7.883 7.928 7.915 8.422
0.00015547 -2.00000 10.13033 0.1631793380 1.5515257120    0.163 -2.156  3.6053  5.179    1  0.000  0.545     0.00     0.00 -1  -5.6e-16      0.00 7.371e-01 2.627e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 10.160 9.828 9.198 8.719 8.176 7.915 7.830 7.652 7.601 8.270 7.750 8.310 8.000 7.945 7.882 7.860 7.812 7.688 7.625 7.580 7.587 7.626 7.614 8.102
0.00015547 -2.00000 10.13033 0.2029198259 1.7036917210    0.203 -1.942  3.6169  5.106    1  0.000  0.545     0.00     0.00 -1 -8.92e-16      0.00 7.366e-01 2.633e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.625 9.274 8.673 8.213 7.677 7.408 7.308 7.172 7.130 7.768 7.247 7.808 7.504 7.438 7.377 7.338 7.288 7.198 7.152 7.113 7.118 7.150 7.137 7.604
0.00015547 -2.00000 10.13033 0.2525954247 1.8468697071    0.252 -1.747  3.6276  5.049    1  0.000  0.545     0.00     0.00 -1 -7.02e-16      0.00 7.369e-01 2.630e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 9.137 8.768 8.193 7.752 7.223 6.953 6.838 6.737 6.703 7.312 6.793 7.350 7.055 6.981 6.923 6.869 6.816 6.756 6.723 6.690 6.693 6.718 6.705 7.151
0.00015547 -2.00000 10.13033 0.3022710085 1.9574397802    0.302 -1.597  3.6365  5.013    1  0.000  0.545     0.00     0.00 -1 -1.55e-15      0.00 7.368e-01 2.630e-01 2.942e-05 7.941e-06 7.201e-05 -1.000 1.637e-04 8.762 8.377 7.824 7.397 6.879 6.616 6.500 6.414 6.384 6.968 6.462 7.003 6.716 6.643 6.588 6.531 6.479 6.431 6.403 6.373 6.376 6.398 6.385 6.810
0.00015547 -2.00000 10.13033 0.3271167576 2.0042343140    0.327 -1.532  3.6407  4.999    1  0.000  0.544     0.00     0.00 -1 -1.87e-15      0.00 7.369e-01 2.629e-01 2.941e-05 7.942e-06 7.201e-05 -1.000 1.637e-04 8.599 8.207 7.664 7.245 6.732 6.472 6.357 6.278 6.249 6.821 6.322 6.854 6.571 6.498 6.445 6.386 6.336 6.292 6.267 6.239 6.242 6.262 6.249 6.663
