# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:07:36 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00057673 -1.43000 9.80618 0.0900000036 1.0816895962    0.090 -3.193  3.4702  5.418    1  0.000  0.545     0.00     0.00 -1 -5.25e-17      0.00 7.489e-01 2.505e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 12.752 20.339 17.561 15.559 13.801 12.107 10.753 10.434 10.327
0.00057673 -1.43000 9.80618 0.0947582871 1.1257661581    0.095 -3.055  3.4899  5.381    1  0.000  0.545     0.00     0.00 -1 -7.33e-17      0.00 7.485e-01 2.509e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 12.408 19.066 16.688 14.727 13.218 11.743 10.477 10.076 9.949
0.00057673 -1.43000 9.80618 0.1000000015 1.1711064577    0.100 -2.911  3.5105  5.343    1  0.000  0.545     0.00     0.00 -1 -1.04e-16      0.00 7.480e-01 2.514e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 12.048 17.847 15.833 13.961 12.640 11.371 10.186 9.723 9.577
0.00057673 -1.43000 9.80618 0.1086188927 1.2393183708    0.109 -2.782  3.5248  5.307    1  0.000  0.545     0.00     0.00 -1  -1.4e-16      0.00 7.474e-01 2.520e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 11.725 16.971 15.187 13.402 12.179 11.040 9.910 9.413 9.255
0.00057673 -1.43000 9.80618 0.1199999973 1.3193154335    0.120 -2.626  3.5420  5.263    1  0.000  0.545     0.00     0.00 -1 -2.01e-16      0.00 7.466e-01 2.528e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 11.335 15.997 14.444 12.779 11.648 10.643 9.575 9.049 8.880
0.00057673 -1.43000 9.80618 0.1400000006 1.4384527206    0.140 -2.446  3.5575  5.212    1  0.000  0.545     0.00     0.00 -1 -2.98e-16      0.00 7.456e-01 2.538e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.029e-04 10.886 15.075 13.703 12.151 11.089 10.188 9.175 8.630 8.451
0.00057673 -1.43000 9.80618 0.1599999964 1.5372931957    0.160 -2.309  3.5677  5.174    1  0.000  0.545     0.00     0.00 -1    -4e-16      0.00 7.447e-01 2.547e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 10.542 14.439 13.180 11.700 10.682 9.842 8.863 8.309 8.123
0.00057673 -1.43000 9.80618 0.2000000179 1.6938792467    0.200 -2.094  3.5813  5.111    1  0.000  0.545     0.00     0.00 -1 -6.29e-16      0.00 7.436e-01 2.558e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 10.006 13.551 12.423 11.038 10.077 9.302 8.368 7.804 7.612
0.00057673 -1.43000 9.80618 0.2500000298 1.8403259516    0.250 -1.890  3.5926  5.048    1  0.000  0.545     0.00     0.00 -1 -9.67e-16      0.00 7.432e-01 2.562e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 9.495 12.764 11.742 10.431 9.520 8.789 7.890 7.321 7.127
0.00057673 -1.43000 9.80618 0.3000000417 1.9529141188    0.300 -1.731  3.6011  5.002    1  0.000  0.545     0.00     0.00 -1 -1.34e-15      0.00 7.432e-01 2.562e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 9.096 12.175 11.223 9.965 9.090 8.388 7.515 6.944 6.753
