# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Nov 20 18:06:06 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
0.00057673 -1.43000 9.80618 0.0900000036 1.0816895962    0.090 -3.193  3.4702  5.418    1  0.000  0.545     0.00     0.00 -1 -5.25e-17      0.00 7.489e-01 2.505e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 12.752 13.086 11.735 10.979 10.469 10.432 10.208 9.755 9.703 10.629 9.991 10.563 10.352 10.449 10.395 10.335 10.066 9.803 9.715 9.665 9.686 9.748 9.691 10.423
0.00057673 -1.43000 9.80618 0.0947582871 1.1257661581    0.095 -3.055  3.4899  5.381    1  0.000  0.545     0.00     0.00 -1 -7.33e-17      0.00 7.485e-01 2.509e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 12.408 12.621 11.421 10.702 10.152 10.032 9.839 9.449 9.394 10.296 9.655 10.265 10.008 10.058 9.989 9.939 9.731 9.497 9.411 9.358 9.377 9.440 9.385 10.094
0.00057673 -1.43000 9.80618 0.1000000015 1.1711064577    0.100 -2.911  3.5105  5.343    1  0.000  0.545     0.00     0.00 -1 -1.04e-16      0.00 7.480e-01 2.514e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 12.048 12.145 11.084 10.405 9.829 9.641 9.471 9.142 9.083 9.956 9.318 9.954 9.666 9.675 9.595 9.548 9.391 9.189 9.106 9.050 9.065 9.127 9.075 9.761
0.00057673 -1.43000 9.80618 0.1086188927 1.2393183708    0.109 -2.782  3.5248  5.307    1  0.000  0.545     0.00     0.00 -1  -1.4e-16      0.00 7.474e-01 2.520e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 11.725 11.745 10.771 10.122 9.537 9.312 9.153 8.862 8.801 9.653 9.019 9.667 9.364 9.349 9.265 9.219 9.088 8.909 8.828 8.771 8.784 8.842 8.795 9.464
0.00057673 -1.43000 9.80618 0.1199999973 1.3193154335    0.120 -2.626  3.5420  5.263    1  0.000  0.545     0.00     0.00 -1 -2.01e-16      0.00 7.466e-01 2.528e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 11.335 11.266 10.389 9.776 9.190 8.932 8.783 8.535 8.472 9.295 8.669 9.322 9.012 8.970 8.886 8.839 8.732 8.579 8.503 8.445 8.456 8.510 8.466 9.114
0.00057673 -1.43000 9.80618 0.1400000006 1.4384527206    0.140 -2.446  3.5575  5.212    1  0.000  0.545     0.00     0.00 -1 -2.98e-16      0.00 7.456e-01 2.538e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.029e-04 10.886 10.745 9.945 9.366 8.785 8.504 8.363 8.149 8.088 8.881 8.266 8.917 8.605 8.544 8.461 8.413 8.321 8.192 8.120 8.064 8.073 8.124 8.083 8.708
0.00057673 -1.43000 9.80618 0.1599999964 1.5372931957    0.160 -2.309  3.5677  5.174    1  0.000  0.545     0.00     0.00 -1    -4e-16      0.00 7.447e-01 2.547e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 10.542 10.361 9.605 9.046 8.472 8.180 8.042 7.851 7.792 8.562 7.956 8.603 8.293 8.219 8.138 8.090 8.003 7.891 7.824 7.770 7.778 7.826 7.788 8.395
0.00057673 -1.43000 9.80618 0.2000000179 1.6938792467    0.200 -2.094  3.5813  5.111    1  0.000  0.545     0.00     0.00 -1 -6.29e-16      0.00 7.436e-01 2.558e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 10.006 9.773 9.056 8.518 7.955 7.672 7.579 7.362 7.299 8.044 7.480 8.094 7.766 7.711 7.627 7.617 7.551 7.412 7.328 7.269 7.282 7.338 7.311 7.876
0.00057673 -1.43000 9.80618 0.2500000298 1.8403259516    0.250 -1.890  3.5926  5.048    1  0.000  0.545     0.00     0.00 -1 -9.67e-16      0.00 7.432e-01 2.562e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 9.495 9.206 8.534 8.024 7.469 7.194 7.144 6.922 6.861 7.558 7.043 7.613 7.275 7.231 7.152 7.169 7.132 6.974 6.885 6.827 6.843 6.902 6.887 7.389
0.00057673 -1.43000 9.80618 0.3000000417 1.9529141188    0.300 -1.731  3.6011  5.002    1  0.000  0.545     0.00     0.00 -1 -1.34e-15      0.00 7.432e-01 2.562e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 9.096 8.773 8.132 7.643 7.092 6.819 6.784 6.576 6.521 7.182 6.690 7.237 6.898 6.854 6.781 6.803 6.779 6.624 6.540 6.488 6.503 6.561 6.552 7.012
0.00057673 -1.43000 9.80618 0.3500000238 2.0434176922    0.350 -1.600  3.6082  4.967    1  0.000  0.545     0.00     0.00 -1 -1.75e-15      0.00 7.445e-01 2.549e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 8.771 8.438 7.814 7.336 6.784 6.508 6.459 6.281 6.235 6.874 6.379 6.927 6.593 6.540 6.472 6.479 6.452 6.321 6.251 6.205 6.218 6.272 6.261 6.705
0.00057673 -1.43000 9.80618 0.3765511215 2.0849058628    0.377 -1.524  3.6141  4.946    1  0.000  0.545     0.00     0.00 -1 -2.06e-15      0.00 7.474e-01 2.520e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 8.579 8.237 7.628 7.160 6.606 6.328 6.267 6.114 6.076 6.696 6.199 6.748 6.418 6.358 6.294 6.289 6.258 6.148 6.089 6.048 6.060 6.111 6.098 6.527
0.00057673 -1.43000 9.80618 0.4000000358 2.1185026169    0.400 -1.460  3.6189  4.928    1  0.000  0.545     0.00     0.00 -1 -2.37e-15      0.00 7.501e-01 2.493e-01 1.084e-04 2.925e-05 2.653e-04 -1.000 6.030e-04 8.421 8.072 7.476 7.014 6.459 6.180 6.110 5.977 5.945 6.550 6.051 6.600 6.272 6.208 6.149 6.133 6.098 6.006 5.956 5.919 5.930 5.978 5.964 6.381
