# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:08:17 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00037265 -1.62000 9.94448 0.0900000036 1.0816895962    0.090 -3.192  3.4783  5.450    1  0.000  0.545     0.00     0.00 -1 -5.08e-17      0.00 7.488e-01 2.508e-01 7.260e-05 1.959e-05 1.776e-04 -1.000 4.037e-04 12.750 20.101 17.323 15.315 13.632 12.046 10.766 10.489 10.399
0.00037265 -1.62000 9.94448 0.0901687145 1.0833038092    0.090 -3.186  3.4791  5.448    1  0.000  0.545     0.00     0.00 -1 -5.15e-17      0.00 7.488e-01 2.508e-01 7.260e-05 1.959e-05 1.776e-04 -1.000 4.038e-04 12.736 20.049 17.289 15.282 13.609 12.031 10.755 10.474 10.382
0.00037265 -1.62000 9.94448 0.0991230235 1.1637387276    0.099 -2.899  3.5206  5.368    1  0.000  0.545     0.00     0.00 -1 -1.04e-16      0.00 7.474e-01 2.522e-01 7.260e-05 1.959e-05 1.776e-04 -1.000 4.037e-04 12.018 17.478 15.571 13.736 12.477 11.314 10.181 9.735 9.603
0.00037265 -1.62000 9.94448 0.1000000089 1.1711064577    0.100 -2.873  3.5245  5.360    1  0.000  0.545     0.00     0.00 -1 -1.11e-16      0.00 7.472e-01 2.524e-01 7.260e-05 1.959e-05 1.776e-04 -1.000 4.037e-04 11.951 17.270 15.422 13.614 12.378 11.247 10.127 9.671 9.536
0.00037265 -1.62000 9.94448 0.1110309884 1.2571573257    0.111 -2.707  3.5423  5.312    1  0.000  0.545     0.00     0.00 -1 -1.64e-16      0.00 7.461e-01 2.535e-01 7.260e-05 1.959e-05 1.776e-04 -1.000 4.038e-04 11.538 16.227 14.641 12.963 11.825 10.832 9.772 9.275 9.126
0.00037265 -1.62000 9.94448 0.1199999973 1.3193154335    0.120 -2.584  3.5556  5.275    1  0.000  0.545     0.00     0.00 -1 -2.18e-16      0.00 7.452e-01 2.544e-01 7.260e-05 1.959e-05 1.777e-04 -1.000 4.037e-04 11.230 15.499 14.081 12.505 11.428 10.523 9.508 8.988 8.829
0.00037265 -1.62000 9.94448 0.1272447258 1.3652714491    0.127 -2.515  3.5613  5.255    1  0.000  0.545     0.00     0.00 -1 -2.54e-16      0.00 7.446e-01 2.550e-01 7.260e-05 1.959e-05 1.777e-04 -1.000 4.038e-04 11.058 15.151 13.803 12.271 11.220 10.351 9.355 8.826 8.663
0.00037265 -1.62000 9.94448 0.1400000006 1.4384527206    0.140 -2.403  3.5707  5.222    1  0.000  0.545     0.00     0.00 -1 -3.25e-16      0.00 7.437e-01 2.559e-01 7.260e-05 1.959e-05 1.777e-04 -1.000 4.038e-04 10.778 14.597 13.358 11.897 10.888 10.071 9.105 8.565 8.394
0.00037265 -1.62000 9.94448 0.1599999964 1.5372931957    0.160 -2.263  3.5807  5.180    1  0.000  0.545     0.00     0.00 -1 -4.41e-16      0.00 7.425e-01 2.571e-01 7.260e-05 1.959e-05 1.777e-04 -1.000 4.037e-04 10.428 13.979 12.844 11.455 10.490 9.719 8.786 8.236 8.057
0.00037265 -1.62000 9.94448 0.2000000179 1.6938792467    0.200 -2.044  3.5937  5.110    1  0.000  0.545     0.00     0.00 -1 -7.07e-16      0.00 7.413e-01 2.583e-01 7.260e-05 1.959e-05 1.777e-04 -1.000 4.037e-04 9.881 13.099 12.096 10.797 9.893 9.171 8.279 7.720 7.535
0.00037265 -1.62000 9.94448 0.2500000298 1.8403259516    0.250 -1.839  3.6048  5.047    1  0.000  0.545     0.00     0.00 -1 -1.09e-15      0.00 7.412e-01 2.584e-01 7.259e-05 1.959e-05 1.777e-04 -1.000 4.037e-04 9.368 12.330 11.425 10.198 9.343 8.657 7.798 7.237 7.052
0.00037265 -1.62000 9.94448 0.3000000417 1.9529141188    0.300 -1.682  3.6135  5.003    1  0.000  0.545     0.00     0.00 -1  -1.5e-15      0.00 7.413e-01 2.583e-01 7.258e-05 1.959e-05 1.777e-04 -1.000 4.038e-04 8.975 11.750 10.915 9.739 8.922 8.261 7.428 6.866 6.686
0.00037265 -1.62000 9.94448 0.3109982610 1.9744290113    0.311 -1.652  3.6152  4.996    1  0.000  0.545     0.00     0.00 -1 -1.59e-15      0.00 7.413e-01 2.583e-01 7.258e-05 1.959e-05 1.777e-04 -1.000 4.037e-04 8.900 11.640 10.818 9.652 8.843 8.186 7.359 6.797 6.618
0.00037265 -1.62000 9.94448 0.3500000238 2.0434176922    0.350 -1.554  3.6210  4.972    1  0.000  0.545     0.00     0.00 -1 -1.94e-15      0.00 7.414e-01 2.582e-01 7.256e-05 1.959e-05 1.777e-04 -1.000 4.036e-04 8.655 11.279 10.500 9.366 8.580 7.940 7.129 6.568 6.395
0.00037265 -1.62000 9.94448 0.4000000358 2.1185026169    0.400 -1.420  3.6313  4.938    1  0.000  0.545     0.00     0.00 -1 -2.57e-15      0.00 7.503e-01 2.493e-01 7.260e-05 1.959e-05 1.776e-04 -1.000 4.037e-04 8.320 10.744 10.040 8.961 8.217 7.604 6.822 6.264 6.102
0.00037265 -1.62000 9.94448 0.4323165715 2.1608254910    0.432 -1.312  3.6426  4.908    1  0.000  0.545     0.00     0.00 -1 -3.28e-15      0.00 7.504e-01 2.492e-01 7.260e-05 1.959e-05 1.776e-04 -1.000 4.038e-04 8.049 10.264 9.640 8.617 7.917 7.333 6.582 6.031 5.882
0.00037265 -1.62000 9.94448 0.4500000477 2.1822810173    0.450 -1.256  3.6484  4.892    1  0.000  0.545     0.00     0.00 -1 -3.72e-15      0.00 7.505e-01 2.491e-01 7.260e-05 1.959e-05 1.776e-04 -1.000 4.037e-04 7.909 10.018 9.436 8.442 7.762 7.193 6.458 5.912 5.770
0.00037265 -1.62000 9.94448 0.5000000000 2.2374541759    0.500 -1.073  3.6711  4.846    1  0.000  0.545     0.00     0.00 -1 -5.68e-15      0.00 7.505e-01 2.491e-01 7.260e-05 1.959e-05 1.776e-04 -1.000 4.039e-04 7.451 9.146 8.746 7.854 7.256 6.740 6.069 5.556 5.436
0.00037265 -1.62000 9.94448 0.5500000715 2.2836585045    0.550 -0.874  3.6939  4.780    1  0.000  0.544     0.00     0.00 -1 -9.21e-15      0.00 7.758e-01 2.239e-01 6.569e-05 1.773e-05 1.609e-04 -1.000 3.425e-04 6.956 8.260 8.054 7.253 6.726 6.256 5.653 5.187 5.085
0.00037265 -1.62000 9.94448 0.6000000238 2.3211214542    0.600 -0.680  3.7190  4.724    1  0.000  0.544     0.00     0.00 -1 -1.47e-14      0.00 7.842e-01 2.154e-01 6.352e-05 1.715e-05 1.557e-04 -1.000 3.827e-04 6.471 7.415 7.394 6.686 6.222 5.796 5.264 4.850 4.765
0.00037265 -1.62000 9.94448 0.6110092402 2.3284287453    0.611 -0.636  3.7252  4.713    1  0.000  0.544     0.00     0.00 -1 -1.63e-14      0.00 7.864e-01 2.132e-01 6.297e-05 1.701e-05 1.543e-04 -1.000 3.358e-04 6.361 7.227 7.245 6.561 6.111 5.695 5.180 4.778 4.697
0.00037265 -1.62000 9.94448 0.6253926158 2.3375313282    0.625 -0.579  3.7333  4.698    1  0.000  0.544     0.00     0.00 -1 -1.87e-14      0.00 7.894e-01 2.102e-01 6.221e-05 1.680e-05 1.525e-04 -1.000 3.686e-04 6.218 6.990 7.054 6.401 5.967 5.565 5.071 4.684 4.608
0.00037265 -1.62000 9.94448 0.6385832429 2.3454661369    0.638 -0.527  3.7406  4.684    1  0.000  0.544     0.00     0.00 -1 -2.12e-14      0.00 7.924e-01 2.073e-01 6.147e-05 1.661e-05 1.508e-04 -1.000 3.418e-04 6.087 6.780 6.882 6.256 5.837 5.447 4.972 4.597 4.526
0.00037265 -1.62000 9.94448 0.6499999762 2.3520355225    0.650 -0.481  3.7470  4.672    1  0.000  0.543     0.00     0.00 -1 -2.37e-14      0.00 7.950e-01 2.046e-01 6.081e-05 1.643e-05 1.492e-04 -1.000 3.833e-04 5.973 6.606 6.737 6.133 5.727 5.347 4.886 4.520 4.454
0.00037265 -1.62000 9.94448 0.6556109786 2.3551678658    0.655 -0.459  3.7499  4.665    1  0.000  0.543     0.00     0.00 -1  -2.5e-14      0.00 7.966e-01 2.030e-01 6.041e-05 1.632e-05 1.482e-04 -1.000 4.034e-04 5.917 6.523 6.666 6.073 5.673 5.298 4.843 4.482 4.418
