# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:08:57 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
4.4857e-05 -2.19174 10.13672 0.1000000015 1.1711064577    0.100 -2.779  3.5590  5.405    1  0.000  0.545     0.00     0.00 -1 -2.57e-17      0.00 7.445e-01 2.554e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.717 15.881 14.386 12.841 11.772 10.924 9.968 9.671 9.571
4.4857e-05 -2.19174 10.13672 0.1098214313 1.2482755184    0.109 -2.630  3.5743  5.356    1  0.000  0.545     0.00     0.00 -1  -7.2e-17      0.00 7.425e-01 2.574e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.344 14.979 13.751 12.341 11.353 10.581 9.653 9.284 9.164
4.4857e-05 -2.19174 10.13672 0.1294642836 1.3786746264    0.129 -2.387  3.5968  5.275    1  0.000  0.545     0.00     0.00 -1 -3.31e-16      0.00 7.391e-01 2.608e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.737 13.698 12.799 11.561 10.698 9.999 9.128 8.676 8.540
4.4857e-05 -2.19174 10.13672 0.1491071582 1.4855960608    0.149 -2.223  3.6081  5.217    1  0.000  0.545     0.00     0.00 -1 -3.38e-17      0.00 7.371e-01 2.628e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.327 13.013 12.244 11.073 10.265 9.594 8.755 8.278 8.133
4.4857e-05 -2.19174 10.13672 0.1687500030 1.5756140947    0.168 -2.096  3.6154  5.173    1  0.000  0.545     0.00     0.00 -1 -6.38e-16      0.00 7.363e-01 2.636e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 10.010 12.536 11.842 10.710 9.933 9.279 8.462 7.974 7.823
4.4857e-05 -2.19174 10.13672 0.1784816682 1.6153104305    0.178 -2.041  3.6183  5.154    1  0.000  0.545     0.00     0.00 -1 -7.18e-16      0.00 7.362e-01 2.637e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.874 12.337 11.672 10.555 9.791 9.144 8.335 7.845 7.691
4.4857e-05 -2.19174 10.13672 0.2080357224 1.7204496861    0.207 -1.893  3.6263  5.104    1  0.000  0.545     0.00     0.00 -1 -4.67e-16      0.00 7.361e-01 2.638e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 9.502 11.802 11.214 10.135 9.403 8.774 7.989 7.495 7.336
4.4857e-05 -2.19174 10.13672 0.2571428716 1.8581268787    0.257 -1.706  3.6363  5.051    1  0.000  0.545     0.00     0.00 -1 -3.83e-16      0.00 7.364e-01 2.635e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 9.036 11.140 10.644 9.608 8.914 8.307 7.552 7.061 6.900
4.4857e-05 -2.19174 10.13672 0.3062500358 1.9652637243    0.306 -1.562  3.6448  5.016    1  0.000  0.545     0.00     0.00 -1 -1.52e-16      0.00 7.362e-01 2.637e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.674 10.624 10.201 9.200 8.535 7.945 7.216 6.731 6.571
4.4857e-05 -2.19174 10.13672 0.3553571701 2.0521113873    0.355 -1.439  3.6527  4.990    1  0.000  0.544     0.00     0.00 -1 -1.07e-15      0.00 7.372e-01 2.627e-01 1.796e-05 4.853e-06 4.400e-05 -1.000 1.001e-04 8.367 10.179 9.820 8.851 8.211 7.638 6.932 6.456 6.299
