# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Nov 20 18:06:29 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
4.4857e-05 -2.19174 10.13672 0.1000000015 1.1711064577    0.100 -2.779  3.5590  5.405    1  0.000  0.545     0.00     0.00 -1 -2.57e-17      0.00 7.445e-01 2.554e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.717 11.569 10.771 10.195 9.617 9.348 9.195 8.992 8.932 9.717 9.103 9.745 9.444 9.385 9.306 9.247 9.150 9.031 8.966 8.911 8.919 8.963 8.923 9.543
4.4857e-05 -2.19174 10.13672 0.1098214313 1.2482755184    0.109 -2.630  3.5743  5.356    1  0.000  0.545     0.00     0.00 -1  -7.2e-17      0.00 7.425e-01 2.574e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.344 11.133 10.396 9.849 9.286 9.017 8.871 8.684 8.625 9.383 8.786 9.412 9.117 9.052 8.978 8.921 8.830 8.721 8.658 8.605 8.612 8.653 8.619 9.214
4.4857e-05 -2.19174 10.13672 0.1294642836 1.3786746264    0.129 -2.387  3.5968  5.275    1  0.000  0.545     0.00     0.00 -1 -3.31e-16      0.00 7.391e-01 2.608e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.737 10.412 9.762 9.270 8.738 8.516 8.391 8.195 8.135 8.844 8.303 8.858 8.582 8.539 8.488 8.438 8.355 8.230 8.170 8.123 8.123 8.151 8.137 8.671
4.4857e-05 -2.19174 10.13672 0.1491071582 1.4855960608    0.149 -2.223  3.6081  5.217    1  0.000  0.545     0.00     0.00 -1 -3.38e-17      0.00 7.371e-01 2.628e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.327 9.981 9.360 8.888 8.362 8.125 8.000 7.837 7.784 8.462 7.927 8.483 8.204 8.150 8.098 8.043 7.967 7.866 7.817 7.774 7.773 7.795 7.783 8.294
4.4857e-05 -2.19174 10.13672 0.1687500030 1.5756140947    0.168 -2.096  3.6154  5.173    1  0.000  0.545     0.00     0.00 -1 -6.38e-16      0.00 7.363e-01 2.636e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 10.010 9.654 9.049 8.590 8.068 7.821 7.693 7.553 7.505 8.164 7.631 8.189 7.909 7.848 7.794 7.734 7.663 7.578 7.536 7.497 7.495 7.514 7.502 8.000
4.4857e-05 -2.19174 10.13672 0.1784816682 1.6153104305    0.178 -2.041  3.6183  5.154    1  0.000  0.545     0.00     0.00 -1 -7.18e-16      0.00 7.362e-01 2.637e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.874 9.513 8.916 8.462 7.942 7.692 7.562 7.431 7.384 8.036 7.504 8.063 7.783 7.718 7.664 7.602 7.532 7.454 7.415 7.377 7.376 7.393 7.381 7.874
4.4857e-05 -2.19174 10.13672 0.2080357224 1.7204496861    0.207 -1.893  3.6263  5.104    1  0.000  0.545     0.00     0.00 -1 -4.67e-16      0.00 7.361e-01 2.638e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 9.502 9.130 8.551 8.112 7.597 7.338 7.205 7.098 7.056 7.687 7.158 7.717 7.439 7.366 7.309 7.241 7.177 7.117 7.086 7.051 7.049 7.062 7.051 7.529
4.4857e-05 -2.19174 10.13672 0.2571428716 1.8581268787    0.257 -1.706  3.6363  5.051    1  0.000  0.545     0.00     0.00 -1 -3.83e-16      0.00 7.364e-01 2.635e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 9.036 8.646 8.091 7.670 7.169 6.915 6.783 6.692 6.653 7.257 6.743 7.287 7.017 6.942 6.887 6.817 6.757 6.708 6.681 6.650 6.647 6.656 6.646 7.104
4.4857e-05 -2.19174 10.13672 0.3062500358 1.9652637243    0.306 -1.562  3.6448  5.016    1  0.000  0.545     0.00     0.00 -1 -1.52e-16      0.00 7.362e-01 2.637e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.674 8.270 7.736 7.329 6.841 6.592 6.463 6.382 6.346 6.928 6.427 6.955 6.693 6.619 6.564 6.495 6.438 6.396 6.373 6.344 6.341 6.347 6.338 6.778
4.4857e-05 -2.19174 10.13672 0.3553571701 2.0521113873    0.355 -1.439  3.6527  4.990    1  0.000  0.544     0.00     0.00 -1 -1.07e-15      0.00 7.372e-01 2.627e-01 1.796e-05 4.853e-06 4.400e-05 -1.000 1.001e-04 8.367 7.951 7.435 7.042 6.566 6.322 6.196 6.124 6.091 6.651 6.164 6.677 6.421 6.349 6.295 6.226 6.173 6.138 6.116 6.090 6.087 6.090 6.083 6.505
