# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:10:17 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0001957 -1.90000 10.07918 0.0903137699 1.0846885443    0.090 -3.188  3.4901  5.494    1  0.000  0.545     0.00     0.00 -1 -4.87e-17      0.00 7.483e-01 2.515e-01 3.540e-05 9.550e-06 8.661e-05 -1.000 1.969e-04 12.739 19.533 16.894 14.904 13.378 11.959 10.783 10.569 10.515
0.0001957 -1.90000 10.07918 0.0966959000 1.1428979635    0.097 -2.943  3.5260  5.422    1  0.000  0.545     0.00     0.00 -1 -8.97e-17      0.00 7.466e-01 2.532e-01 3.540e-05 9.550e-06 8.662e-05 -1.000 1.968e-04 12.127 17.456 15.536 13.723 12.487 11.380 10.291 9.919 9.814
0.0001957 -1.90000 10.07918 0.1003081575 1.1736754179    0.100 -2.812  3.5453  5.384    1  0.000  0.545     0.00     0.00 -1 -1.24e-16      0.00 7.456e-01 2.542e-01 3.540e-05 9.550e-06 8.662e-05 -1.000 1.969e-04 11.800 16.430 14.825 13.159 12.027 11.065 10.030 9.596 9.471
0.0001957 -1.90000 10.07918 0.1202969477 1.3212693930    0.120 -2.519  3.5758  5.292    1  0.000  0.545     0.00     0.00 -1 -2.48e-16      0.00 7.423e-01 2.575e-01 3.540e-05 9.550e-06 8.662e-05 -1.000 1.969e-04 11.067 14.733 13.537 12.117 11.129 10.345 9.402 8.897 8.746
0.0001957 -1.90000 10.07918 0.1402857602 1.4399919510    0.140 -2.335  3.5904  5.233    1  0.000  0.545     0.00     0.00 -1 -3.75e-16      0.00 7.401e-01 2.597e-01 3.540e-05 9.551e-06 8.662e-05 -1.000 1.969e-04 10.607 13.871 12.844 11.532 10.615 9.888 8.990 8.464 8.300
0.0001957 -1.90000 10.07918 0.1602745354 1.5385366678    0.160 -2.191  3.5999  5.185    1  0.000  0.545     0.00     0.00 -1 -5.17e-16      0.00 7.387e-01 2.611e-01 3.540e-05 9.551e-06 8.662e-05 -1.000 1.968e-04 10.247 13.277 12.345 11.097 10.226 9.529 8.660 8.124 7.955
0.0001957 -1.90000 10.07918 0.2002521455 1.6947338581    0.200 -1.971  3.6120  5.110    1  0.000  0.545     0.00     0.00 -1 -8.36e-16      0.00 7.379e-01 2.619e-01 3.540e-05 9.551e-06 8.662e-05 -1.000 1.969e-04 9.698 12.450 11.631 10.458 9.642 8.979 8.146 7.605 7.433
0.0001957 -1.90000 10.07918 0.2502241433 1.8408944607    0.250 -1.770  3.6229  5.050    1  0.000  0.545     0.00     0.00 -1 -1.27e-15      0.00 7.382e-01 2.616e-01 3.540e-05 9.551e-06 8.662e-05 -1.000 1.968e-04 9.196 11.716 10.991 9.878 9.110 8.476 7.675 7.135 6.966
0.0001957 -1.90000 10.07918 0.3001961410 1.9533066750    0.300 -1.616  3.6320  5.011    1  0.000  0.545     0.00     0.00 -1 -1.73e-15      0.00 7.382e-01 2.616e-01 3.539e-05 9.552e-06 8.662e-05 -1.000 1.969e-04 8.810 11.147 10.497 9.431 8.700 8.089 7.315 6.780 6.616
0.0001957 -1.90000 10.07918 0.3501681089 2.0436930656    0.350 -1.489  3.6403  4.985    1  0.000  0.544     0.00     0.00 -1 -2.22e-15      0.00 7.380e-01 2.618e-01 3.536e-05 9.553e-06 8.662e-05 -1.000 1.968e-04 8.493 10.672 10.087 9.061 8.362 7.772 7.022 6.492 6.335
0.0001957 -1.90000 10.07918 0.4001401067 2.1186954975    0.400 -1.362  3.6495  4.952    1  0.000  0.545     0.00     0.00 -1 -2.88e-15      0.00 7.503e-01 2.495e-01 3.540e-05 9.550e-06 8.661e-05 -1.000 1.968e-04 8.176 10.185 9.673 8.688 8.023 7.454 6.730 6.210 6.061
0.0001957 -1.90000 10.07918 0.4501120746 2.1824135780    0.450 -1.206  3.6649  4.908    1  0.000  0.545     0.00     0.00 -1  -4.1e-15      0.00 7.507e-01 2.491e-01 3.540e-05 9.550e-06 8.661e-05 -1.000 1.968e-04 7.784 9.517 9.130 8.212 7.600 7.065 6.385 5.885 5.751
0.0001957 -1.90000 10.07918 0.5000840425 2.2375409603    0.500 -1.031  3.6833  4.853    1  0.000  0.545     0.00     0.00 -1  -6.2e-15      0.00 7.508e-01 2.490e-01 3.539e-05 9.549e-06 8.660e-05 -1.000 1.969e-04 7.346 8.763 8.529 7.687 7.133 6.637 6.008 5.537 5.420
0.0001957 -1.90000 10.07918 0.5500560999 2.2837047577    0.550 -0.824  3.7040  4.770    1  0.000  0.544     0.00     0.00 -1 -1.05e-14      0.00 7.847e-01 2.152e-01 3.087e-05 8.335e-06 7.563e-05 -1.000 1.001e-04 6.831 7.930 7.855 7.095 6.596 6.139 5.568 5.134 5.033
0.0001957 -1.90000 10.07918 0.6000280380 2.3211405277    0.600 -0.615  3.7295  4.701    1  0.000  0.544     0.00     0.00 -1 -1.75e-14      0.00 7.972e-01 2.027e-01 2.928e-05 7.910e-06 7.181e-05 -1.000 1.443e-04 6.307 7.082 7.164 6.505 6.064 5.652 5.149 4.758 4.677
0.0001957 -1.90000 10.07918 0.6076002121 2.3261985779    0.607 -0.581  3.7340  4.691    1  0.000  0.544     0.00     0.00 -1  -1.9e-14      0.00 7.995e-01 2.003e-01 2.898e-05 7.832e-06 7.111e-05 -1.000 1.557e-04 6.223 6.951 7.055 6.413 5.982 5.577 5.084 4.701 4.623
0.0001957 -1.90000 10.07918 0.6187329292 2.3333773613    0.618 -0.532  3.7406  4.676    1  0.000  0.543     0.00     0.00 -1 -2.15e-14      0.00 8.030e-01 1.968e-01 2.854e-05 7.712e-06 7.002e-05 -1.000 1.799e-04 6.100 6.760 6.895 6.277 5.859 5.465 4.989 4.616 4.542
0.0001957 -1.90000 10.07918 0.6286483407 2.3395254612    0.628 -0.487  3.7465  4.661    1  0.000  0.543     0.00     0.00 -1 -2.41e-14      0.00 8.064e-01 1.935e-01 2.812e-05 7.599e-06 6.902e-05 -1.000 1.866e-04 5.989 6.595 6.755 6.158 5.752 5.368 4.904 4.539 4.470
0.0001957 -1.90000 10.07918 0.6382709742 2.3452825546    0.638 -0.444  3.7521  4.647    1  0.000  0.543     0.00     0.00 -1 -2.64e-16      0.00 8.097e-01 1.901e-01 2.769e-05 7.485e-06 6.800e-05 -1.000 1.811e-04 5.880 6.437 6.618 6.042 5.647 5.273 4.822 4.463 4.400
0.0001957 -1.90000 10.07918 0.6496037245 2.3518118858    0.649 -0.392  3.7585  4.629    1  0.000  0.543     0.00     0.00 -1  -2.3e-14      0.00 8.139e-01 1.859e-01 2.716e-05 7.344e-06 6.673e-05 -1.000 1.394e-04 5.750 6.251 6.457 5.905 5.524 5.161 4.724 4.373 4.316
0.0001957 -1.90000 10.07918 0.6499999762 2.3520355225    0.650 -0.390  3.7587  4.628    1  0.000  0.543     0.00     0.00 -1 -3.07e-14      0.00 8.141e-01 1.857e-01 2.714e-05 7.339e-06 6.669e-05 -1.000 1.852e-04 5.745 6.245 6.451 5.900 5.519 5.157 4.720 4.370 4.313
0.0001957 -1.90000 10.07918 0.6590241194 2.3570432663    0.659 -0.348  3.7636  4.611    1  0.000  0.542     0.00     0.00 -1 -3.43e-14      0.00 8.183e-01 1.815e-01 2.661e-05 7.196e-06 6.540e-05 -1.000 1.968e-04 5.640 6.103 6.325 5.790 5.420 5.065 4.639 4.295 4.242
0.0001957 -1.90000 10.07918 0.6692176461 2.3625135422    0.669 -0.300  3.7691  4.591    1  0.000  0.542     0.00     0.00 -1 -3.89e-14      0.00 8.234e-01 1.764e-01 2.596e-05 7.025e-06 6.387e-05 -1.000 1.779e-04 5.519 5.945 6.181 5.666 5.306 4.960 4.545 4.207 4.159
0.0001957 -1.90000 10.07918 0.6789147854 2.3675427437    0.679 -0.253  3.7742  4.571    1  0.000  0.542     0.00     0.00 -1 -2.75e-14      0.00 8.286e-01 1.713e-01 2.531e-05 6.852e-06 6.231e-05 -1.000 1.545e-04 5.402 5.796 6.043 5.546 5.195 4.857 4.452 4.121 4.077
0.0001957 -1.90000 10.07918 0.6881726384 2.3721921444    0.688 -0.207  3.7790  4.550    1  0.000  0.541     0.00     0.00 -1 -8.08e-15      0.00 8.338e-01 1.660e-01 2.465e-05 6.676e-06 6.073e-05 -1.000 1.218e-04 5.287 5.652 5.909 5.428 5.086 4.756 4.360 4.035 3.995
0.0001957 -1.90000 10.07918 0.6963887811 2.3761997223    0.696 -0.164  3.7831  4.529    1  0.000  0.541     0.00     0.00 -1 -7.16e-15      0.00 8.387e-01 1.611e-01 2.403e-05 6.511e-06 5.925e-05 -1.000 1.617e-04 5.181 5.524 5.787 5.319 4.986 4.663 4.276 3.957 3.920
0.0001957 -1.90000 10.07918 0.6999999881 2.3779268265    0.700 -0.145  3.7850  4.520    1  0.000  0.541     0.00     0.00 -1 -5.88e-14      0.00 8.409e-01 1.589e-01 2.375e-05 6.435e-06 5.858e-05 -1.000 1.938e-04 5.134 5.468 5.733 5.271 4.942 4.622 4.238 3.922 3.886
0.0001957 -1.90000 10.07918 0.7092600465 2.3822634220    0.709 -0.095  3.7894  4.493    1  0.000  0.538     0.00     0.00 -1 -6.77e-14      0.00 8.463e-01 1.535e-01 2.307e-05 6.271e-06 5.713e-05 -1.000 1.757e-04 5.007 5.321 5.589 5.142 4.821 4.509 4.135 3.824 3.793
0.0001957 -1.90000 10.07918 0.7177237868 2.3861148357    0.717 -0.046  3.7934  4.465    1  0.000  0.537     0.00     0.00 -1 -7.77e-14      0.00 8.510e-01 1.489e-01 2.251e-05 6.136e-06 5.593e-05 -1.000 1.607e-04 4.885 5.184 5.452 5.018 4.705 4.399 4.034 3.730 3.701
0.0001957 -1.90000 10.07918 0.7260814905 2.3898167610    0.726  0.005  3.7973  4.435    1  0.000  0.535     0.00     0.00 -1 -8.99e-14      0.00 8.551e-01 1.448e-01 2.203e-05 6.021e-06 5.493e-05 -1.000 9.805e-05 4.758 5.043 5.310 4.889 4.583 4.284 3.927 3.629 3.603
0.0001957 -1.90000 10.07918 0.7332602143 2.3929193020    0.733  0.051  3.8005  4.406    1  0.000  0.533     0.00     0.00 -1 -1.03e-13      0.00 8.582e-01 1.417e-01 2.169e-05 5.941e-06 5.425e-05 -1.000 9.835e-05 4.643 4.917 5.181 4.771 4.471 4.178 3.828 3.536 3.512
0.0001957 -1.90000 10.07918 0.7402154207 2.3958592415    0.740  0.099  3.8035  4.375    1  0.000  0.532     0.00     0.00 -1 -1.17e-13      0.00 8.609e-01 1.390e-01 2.140e-05 5.876e-06 5.369e-05 -1.000 1.545e-04 4.524 4.791 5.050 4.649 4.356 4.067 3.724 3.438 3.415
0.0001957 -1.90000 10.07918 0.7471714616 2.3987364769    0.747  0.150  3.8064  4.339    1  0.000  0.530     0.00     0.00 -1 -1.62e-14      0.00 8.633e-01 1.365e-01 2.115e-05 5.820e-06 5.321e-05 -1.000 1.790e-04 4.396 4.657 4.911 4.518 4.231 3.948 3.611 3.330 3.309
