# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Apr 10 19:39:58 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00015547 -2.00000 10.07918 0.0936335474 1.1156111956    0.094 -3.048  3.5137  5.463    1  0.000  0.545     0.00     0.00 -1 -6.83e-17      0.00 7.473e-01 2.525e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 12.390 18.219 16.027 14.135 12.815 11.610 10.504 10.222 10.148
0.00015547 -2.00000 10.07918 0.0979433879 1.1536935568    0.098 -2.915  3.5322  5.424    1  0.000  0.545     0.00     0.00 -1  -9.5e-17      0.00 7.463e-01 2.536e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 12.057 17.168 15.325 13.555 12.353 11.299 10.236 9.876 9.773
0.00015547 -2.00000 10.07918 0.1035686582 1.2002434731    0.103 -2.750  3.5551  5.375    1  0.000  0.545     0.00     0.00 -1 -1.43e-16      0.00 7.449e-01 2.550e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 11.645 15.945 14.469 12.885 11.798 10.907 9.906 9.469 9.342
0.00015547 -2.00000 10.07918 0.1234388798 1.3415665627    0.123 -2.474  3.5829  5.287    1  0.000  0.545     0.00     0.00 -1 -2.73e-16      0.00 7.417e-01 2.581e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.956 14.411 13.298 11.935 10.983 10.231 9.312 8.811 8.661
0.00015547 -2.00000 10.07918 0.1433091164 1.4560320377    0.143 -2.298  3.5964  5.229    1  0.000  0.545     0.00     0.00 -1 -4.07e-16      0.00 7.396e-01 2.602e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.514 13.613 12.652 11.384 10.499 9.793 8.914 8.393 8.233
0.00015547 -2.00000 10.07918 0.1631793380 1.5515257120    0.163 -2.160  3.6051  5.182    1  0.000  0.545     0.00     0.00 -1 -5.53e-16      0.00 7.384e-01 2.614e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.170 13.059 12.185 10.973 10.129 9.448 8.596 8.068 7.902
0.00015547 -2.00000 10.07918 0.2029198259 1.7036917210    0.203 -1.946  3.6168  5.109    1  0.000  0.545     0.00     0.00 -1 -8.82e-16      0.00 7.378e-01 2.621e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.634 12.261 11.496 10.353 9.562 8.912 8.095 7.562 7.393
0.00015547 -2.00000 10.07918 0.2525954247 1.8468697071    0.252 -1.749  3.6275  5.051    1  0.000  0.545     0.00     0.00 -1 -1.33e-15      0.00 7.380e-01 2.618e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.143 11.547 10.876 9.789 9.044 8.421 7.635 7.104 6.937
0.00015547 -2.00000 10.07918 0.3022710085 1.9574397802    0.302 -1.598  3.6363  5.013    1  0.000  0.545     0.00     0.00 -1  -1.8e-15      0.00 7.381e-01 2.618e-01 2.942e-05 7.941e-06 7.201e-05 -1.000 1.637e-04 8.765 10.995 10.397 9.353 8.643 8.042 7.282 6.757 6.596
0.00015547 -2.00000 10.07918 0.3519465625 2.0465965271    0.352 -1.473  3.6445  4.987    1  0.000  0.544     0.00     0.00 -1 -2.29e-15      0.00 7.382e-01 2.616e-01 2.940e-05 7.942e-06 7.201e-05 -1.000 1.636e-04 8.451 10.528 9.996 8.990 8.310 7.728 6.992 6.475 6.319
0.00015547 -2.00000 10.07918 0.4016221464 2.1207315922    0.401 -1.347  3.6534  4.955    1  0.000  0.545     0.00     0.00 -1 -2.97e-15      0.00 7.502e-01 2.496e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 8.139 10.053 9.594 8.627 7.978 7.416 6.705 6.198 6.050
