# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Nov 20 18:08:08 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
0.00015547 -2.00000 10.07918 0.0936335474 1.1156111956    0.094 -3.048  3.5137  5.463    1  0.000  0.545     0.00     0.00 -1 -6.83e-17      0.00 7.473e-01 2.525e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 12.390 12.465 11.420 10.749 10.175 9.993 9.816 9.502 9.445 10.305 9.670 10.296 10.019 10.024 9.950 9.895 9.735 9.546 9.469 9.414 9.428 9.486 9.435 10.110
0.00015547 -2.00000 10.07918 0.0979433879 1.1536935568    0.098 -2.915  3.5322  5.424    1  0.000  0.545     0.00     0.00 -1  -9.5e-17      0.00 7.463e-01 2.536e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 12.057 12.036 11.101 10.468 9.885 9.657 9.492 9.227 9.167 10.000 9.371 10.012 9.716 9.692 9.613 9.557 9.430 9.270 9.196 9.140 9.151 9.204 9.157 9.813
0.00015547 -2.00000 10.07918 0.1035686582 1.2002434731    0.103 -2.750  3.5551  5.375    1  0.000  0.545     0.00     0.00 -1 -1.43e-16      0.00 7.449e-01 2.550e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 11.645 11.514 10.699 10.115 9.534 9.267 9.115 8.903 8.842 9.635 9.019 9.663 9.360 9.305 9.225 9.168 9.069 8.943 8.875 8.820 8.828 8.875 8.833 9.460
0.00015547 -2.00000 10.07918 0.1234388798 1.3415665627    0.123 -2.474  3.5829  5.287    1  0.000  0.545     0.00     0.00 -1 -2.73e-16      0.00 7.417e-01 2.581e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.956 10.712 10.000 9.465 8.906 8.642 8.527 8.318 8.256 9.002 8.432 9.037 8.730 8.677 8.603 8.570 8.493 8.361 8.287 8.231 8.241 8.289 8.262 8.831
0.00015547 -2.00000 10.07918 0.1433091164 1.4560320377    0.143 -2.298  3.5964  5.229    1  0.000  0.545     0.00     0.00 -1 -4.07e-16      0.00 7.396e-01 2.602e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.514 10.202 9.548 9.051 8.504 8.247 8.168 7.962 7.905 8.600 8.075 8.638 8.325 8.278 8.212 8.199 8.148 8.003 7.931 7.880 7.889 7.934 7.921 8.429
0.00015547 -2.00000 10.07918 0.1631793380 1.5515257120    0.163 -2.160  3.6051  5.182    1  0.000  0.545     0.00     0.00 -1 -5.53e-16      0.00 7.384e-01 2.614e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.170 9.837 9.208 8.728 8.185 7.924 7.840 7.661 7.610 8.279 7.759 8.319 8.008 7.954 7.891 7.869 7.821 7.696 7.634 7.588 7.595 7.635 7.623 8.111
0.00015547 -2.00000 10.07918 0.2029198259 1.7036917210    0.203 -1.946  3.6168  5.109    1  0.000  0.545     0.00     0.00 -1 -8.82e-16      0.00 7.378e-01 2.621e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.634 9.282 8.681 8.221 7.685 7.417 7.316 7.180 7.138 7.776 7.255 7.816 7.512 7.446 7.385 7.346 7.296 7.206 7.160 7.121 7.126 7.158 7.145 7.612
0.00015547 -2.00000 10.07918 0.2525954247 1.8468697071    0.252 -1.749  3.6275  5.051    1  0.000  0.545     0.00     0.00 -1 -1.33e-15      0.00 7.380e-01 2.618e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.143 8.773 8.199 7.757 7.228 6.958 6.843 6.741 6.707 7.317 6.798 7.356 7.060 6.986 6.928 6.874 6.821 6.761 6.728 6.695 6.698 6.723 6.710 7.156
0.00015547 -2.00000 10.07918 0.3022710085 1.9574397802    0.302 -1.598  3.6363  5.013    1  0.000  0.545     0.00     0.00 -1  -1.8e-15      0.00 7.381e-01 2.618e-01 2.942e-05 7.941e-06 7.201e-05 -1.000 1.637e-04 8.765 8.380 7.827 7.400 6.881 6.618 6.503 6.417 6.386 6.971 6.465 7.006 6.719 6.645 6.590 6.533 6.482 6.433 6.405 6.375 6.378 6.400 6.387 6.812
0.00015547 -2.00000 10.07918 0.3519465625 2.0465965271    0.352 -1.473  3.6445  4.987    1  0.000  0.544     0.00     0.00 -1 -2.29e-15      0.00 7.382e-01 2.616e-01 2.940e-05 7.942e-06 7.201e-05 -1.000 1.636e-04 8.451 8.053 7.519 7.106 6.597 6.341 6.227 6.153 6.126 6.687 6.195 6.718 6.438 6.367 6.315 6.256 6.207 6.167 6.143 6.116 6.119 6.138 6.126 6.530
