# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:13:19 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00018264 -1.93000 10.11394 0.0913096443 1.0941179991    0.091 -3.144  3.4974  5.484    1  0.000  0.545     0.00     0.00 -1 -5.41e-17      0.00 7.478e-01 2.520e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.869e-04 12.630 19.111 16.617 14.651 13.198 11.848 10.695 10.459 10.401
0.00018264 -1.93000 10.11394 0.0967894346 1.1437137127    0.097 -2.946  3.5261  5.426    1  0.000  0.545     0.00     0.00 -1 -8.86e-17      0.00 7.462e-01 2.536e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.869e-04 12.135 17.466 15.537 13.724 12.488 11.383 10.297 9.936 9.834
0.00018264 -1.93000 10.11394 0.1012862623 1.1817619801    0.101 -2.793  3.5484  5.381    1  0.000  0.545     0.00     0.00 -1  -1.3e-16      0.00 7.449e-01 2.549e-01 3.361e-05 9.067e-06 8.224e-05 -1.000 1.869e-04 11.751 16.276 14.712 13.072 11.954 11.015 9.991 9.556 9.430
0.00018264 -1.93000 10.11394 0.1212394834 1.3274300098    0.121 -2.504  3.5780  5.290    1  0.000  0.545     0.00     0.00 -1 -2.56e-16      0.00 7.414e-01 2.584e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 11.031 14.630 13.460 12.058 11.081 10.308 9.373 8.869 8.718
0.00018264 -1.93000 10.11394 0.1411927044 1.4448504448    0.141 -2.322  3.5923  5.231    1  0.000  0.545     0.00     0.00 -1 -3.58e-16      0.00 7.391e-01 2.607e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 10.575 13.786 12.779 11.482 10.575 9.855 8.963 8.438 8.276
0.00018264 -1.93000 10.11394 0.1611459404 1.5424650908    0.161 -2.179  3.6016  5.182    1  0.000  0.545     0.00     0.00 -1 -5.32e-16      0.00 7.378e-01 2.621e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 10.218 13.203 12.289 11.053 10.190 9.499 8.635 8.101 7.933
0.00018264 -1.93000 10.11394 0.2010523975 1.6974372864    0.201 -1.961  3.6135  5.108    1  0.000  0.545     0.00     0.00 -1 -8.56e-16      0.00 7.371e-01 2.627e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 9.673 12.385 11.584 10.420 9.612 8.953 8.125 7.587 7.415
0.00018264 -1.93000 10.11394 0.2509354949 1.8426946402    0.251 -1.762  3.6243  5.049    1  0.000  0.545     0.00     0.00 -1 -1.09e-15      0.00 7.374e-01 2.624e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.868e-04 9.176 11.660 10.952 9.847 9.086 8.455 7.660 7.122 6.954
0.00018264 -1.93000 10.11394 0.3008185625 1.9545503855    0.301 -1.610  3.6334  5.011    1  0.000  0.545     0.00     0.00 -1 -1.71e-15      0.00 7.374e-01 2.624e-01 3.360e-05 9.069e-06 8.224e-05 -1.000 1.869e-04 8.794 11.097 10.464 9.405 8.681 8.073 7.304 6.771 6.608
0.00018264 -1.93000 10.11394 0.3507016301 2.0445659161    0.351 -1.484  3.6417  4.985    1  0.000  0.544     0.00     0.00 -1 -2.23e-15      0.00 7.372e-01 2.626e-01 3.357e-05 9.070e-06 8.224e-05 -1.000 1.868e-04 8.479 10.624 10.057 9.037 8.345 7.757 7.011 6.486 6.329
0.00018264 -1.93000 10.11394 0.4005846977 2.1193072796    0.400 -1.356  3.6509  4.952    1  0.000  0.545     0.00     0.00 -1 -2.93e-15      0.00 7.502e-01 2.496e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.869e-04 8.159 10.136 9.641 8.663 8.003 7.437 6.717 6.201 6.054
0.00018264 -1.93000 10.11394 0.4504677355 2.1828336716    0.450 -1.198  3.6663  4.907    1  0.000  0.545     0.00     0.00 -1 -4.17e-15      0.00 7.507e-01 2.491e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.869e-04 7.766 9.467 9.099 8.187 7.580 7.047 6.372 5.876 5.742
0.00018264 -1.93000 10.11394 0.5003507733 2.2378156185    0.500 -1.023  3.6845  4.850    1  0.000  0.545     0.00     0.00 -1 -6.34e-15      0.00 7.510e-01 2.488e-01 3.359e-05 9.062e-06 8.219e-05 -1.000 1.869e-04 7.326 8.718 8.499 7.662 7.111 6.617 5.993 5.525 5.408
0.00018264 -1.93000 10.11394 0.5502339005 2.2838518620    0.550 -0.812  3.7054  4.764    1  0.000  0.544     0.00     0.00 -1 -1.08e-14      0.00 7.876e-01 2.123e-01 2.895e-05 7.817e-06 7.094e-05 -1.000 9.969e-05 6.799 7.873 7.813 7.060 6.565 6.109 5.543 5.112 5.012
0.00018264 -1.93000 10.11394 0.6001169682 2.3212006092    0.600 -0.597  3.7317  4.691    1  0.000  0.543     0.00     0.00 -1 -1.85e-14      0.00 8.011e-01 1.988e-01 2.732e-05 7.381e-06 6.701e-05 -1.000 1.669e-04 6.261 7.009 7.106 6.456 6.020 5.611 5.113 4.726 4.646
0.00018264 -1.93000 10.11394 0.6045736670 2.3241944313    0.604 -0.576  3.7344  4.685    1  0.000  0.543     0.00     0.00 -1 -1.95e-14      0.00 8.025e-01 1.973e-01 2.714e-05 7.334e-06 6.659e-05 -1.000 1.833e-04 6.210 6.930 7.040 6.400 5.970 5.565 5.073 4.691 4.613
0.00018264 -1.93000 10.11394 0.6142701507 2.3305354118    0.614 -0.532  3.7403  4.671    1  0.000  0.543     0.00     0.00 -1 -2.17e-14      0.00 8.058e-01 1.940e-01 2.674e-05 7.227e-06 6.563e-05 -1.000 1.799e-04 6.099 6.759 6.896 6.278 5.859 5.464 4.987 4.614 4.540
0.00018264 -1.93000 10.11394 0.6236804724 2.3364732265    0.623 -0.488  3.7460  4.657    1  0.000  0.543     0.00     0.00 -1 -1.94e-18      0.00 8.092e-01 1.906e-01 2.634e-05 7.120e-06 6.467e-05 -1.000 1.729e-04 5.990 6.598 6.758 6.161 5.754 5.368 4.904 4.537 4.469
0.00018264 -1.93000 10.11394 0.6347634196 2.3432073593    0.634 -0.436  3.7526  4.638    1  0.000  0.543     0.00     0.00 -1 -3.99e-19      0.00 8.134e-01 1.865e-01 2.584e-05 6.987e-06 6.348e-05 -1.000 1.308e-04 5.859 6.409 6.596 6.022 5.629 5.255 4.804 4.446 4.383
0.00018264 -1.93000 10.11394 0.6445862651 2.3489537239    0.644 -0.389  3.7583  4.621    1  0.000  0.542     0.00     0.00 -1 -6.09e-16      0.00 8.173e-01 1.826e-01 2.537e-05 6.863e-06 6.237e-05 -1.000 1.386e-04 5.742 6.243 6.451 5.898 5.517 5.153 4.715 4.364 4.307
0.00018264 -1.93000 10.11394 0.6499999762 2.3520355225    0.650 -0.363  3.7614  4.611    1  0.000  0.542     0.00     0.00 -1 -3.34e-14      0.00 8.195e-01 1.803e-01 2.511e-05 6.792e-06 6.173e-05 -1.000 1.706e-04 5.677 6.153 6.371 5.830 5.455 5.096 4.665 4.318 4.263
0.00018264 -1.93000 10.11394 0.6541188359 2.3543407917    0.654 -0.343  3.7637  4.603    1  0.000  0.542     0.00     0.00 -1 -3.52e-14      0.00 8.216e-01 1.782e-01 2.486e-05 6.725e-06 6.113e-05 -1.000 1.613e-04 5.627 6.087 6.311 5.778 5.408 5.053 4.626 4.281 4.228
0.00018264 -1.93000 10.11394 0.6636009812 2.3595232964    0.663 -0.295  3.7688  4.583    1  0.000  0.542     0.00     0.00 -1 -1.91e-14      0.00 8.267e-01 1.732e-01 2.426e-05 6.565e-06 5.969e-05 -1.000 1.292e-04 5.509 5.933 6.171 5.656 5.296 4.949 4.533 4.195 4.147
0.00018264 -1.93000 10.11394 0.6726536155 2.3643145561    0.672 -0.249  3.7737  4.562    1  0.000  0.541     0.00     0.00 -1 -9.94e-16      0.00 8.318e-01 1.681e-01 2.365e-05 6.402e-06 5.822e-05 -1.000 1.363e-04 5.393 5.787 6.036 5.538 5.186 4.848 4.441 4.109 4.065
0.00018264 -1.93000 10.11394 0.6806874871 2.3684442043    0.680 -0.206  3.7780  4.541    1  0.000  0.541     0.00     0.00 -1 -5.37e-19      0.00 8.366e-01 1.633e-01 2.307e-05 6.249e-06 5.685e-05 -1.000 1.395e-04 5.286 5.655 5.912 5.429 5.086 4.754 4.356 4.029 3.988
0.00018264 -1.93000 10.11394 0.6884717345 2.3723399639    0.688 -0.164  3.7821  4.520    1  0.000  0.541     0.00     0.00 -1 -1.06e-17      0.00 8.415e-01 1.583e-01 2.248e-05 6.093e-06 5.545e-05 -1.000 1.635e-04 5.179 5.526 5.790 5.320 4.985 4.660 4.270 3.949 3.911
0.00018264 -1.93000 10.11394 0.6976857185 2.3768222332    0.697 -0.111  3.7869  4.492    1  0.000  0.540     0.00     0.00 -1 -1.18e-14      0.00 8.476e-01 1.522e-01 2.175e-05 5.898e-06 5.370e-05 -1.000 1.805e-04 5.047 5.371 5.639 5.185 4.860 4.543 4.163 3.848 3.815
0.00018264 -1.93000 10.11394 0.6999999881 2.3779268265    0.700 -0.097  3.7881  4.484    1  0.000  0.540     0.00     0.00 -1 -6.85e-14      0.00 8.492e-01 1.506e-01 2.156e-05 5.847e-06 5.324e-05 -1.000 1.842e-04 5.013 5.332 5.600 5.150 4.827 4.512 4.135 3.822 3.790
0.00018264 -1.93000 10.11394 0.7019529343 2.3788523674    0.702 -0.086  3.7891  4.478    1  0.000  0.539     0.00     0.00 -1 -7.08e-14      0.00 8.503e-01 1.495e-01 2.143e-05 5.814e-06 5.295e-05 -1.000 1.828e-04 4.984 5.298 5.567 5.120 4.799 4.486 4.111 3.800 3.768
0.00018264 -1.93000 10.11394 0.7101283073 2.3826634884    0.710 -0.034  3.7931  4.448    1  0.000  0.538     0.00     0.00 -1  -8.2e-14      0.00 8.548e-01 1.451e-01 2.091e-05 5.690e-06 5.187e-05 -1.000 9.504e-05 4.855 5.154 5.423 4.989 4.676 4.369 4.003 3.698 3.669
0.00018264 -1.93000 10.11394 0.7171500921 2.3858571053    0.717  0.013  3.7965  4.418    1  0.000  0.536     0.00     0.00 -1 -9.39e-14      0.00 8.582e-01 1.417e-01 2.055e-05 5.604e-06 5.113e-05 -1.000 9.024e-05 4.738 5.026 5.292 4.870 4.563 4.262 3.903 3.604 3.577
