# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Nov 20 18:08:26 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
0.00018264 -1.93000 10.11394 0.0913096443 1.0941179991    0.091 -3.144  3.4974  5.484    1  0.000  0.545     0.00     0.00 -1 -5.41e-17      0.00 7.478e-01 2.520e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.869e-04 12.630 12.793 11.643 10.940 10.386 10.256 10.062 9.701 9.647 10.528 9.893 10.496 10.245 10.281 10.216 10.158 9.960 9.746 9.666 9.613 9.630 9.690 9.635 10.327
0.00018264 -1.93000 10.11394 0.0967894346 1.1437137127    0.097 -2.946  3.5261  5.426    1  0.000  0.545     0.00     0.00 -1 -8.86e-17      0.00 7.462e-01 2.536e-01 3.361e-05 9.067e-06 8.223e-05 -1.000 1.869e-04 12.135 12.146 11.176 10.531 9.949 9.733 9.565 9.284 9.224 10.068 9.436 10.074 9.782 9.767 9.688 9.634 9.498 9.328 9.253 9.196 9.209 9.263 9.215 9.878
0.00018264 -1.93000 10.11394 0.1012862623 1.1817619801    0.101 -2.793  3.5484  5.381    1  0.000  0.545     0.00     0.00 -1  -1.3e-16      0.00 7.449e-01 2.549e-01 3.361e-05 9.067e-06 8.224e-05 -1.000 1.869e-04 11.751 11.651 10.803 10.204 9.621 9.364 9.208 8.981 8.920 9.726 9.105 9.750 9.448 9.401 9.321 9.265 9.158 9.022 8.952 8.896 8.905 8.954 8.911 9.547
0.00018264 -1.93000 10.11394 0.1212394834 1.3274300098    0.121 -2.504  3.5780  5.290    1  0.000  0.545     0.00     0.00 -1 -2.56e-16      0.00 7.414e-01 2.584e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 11.031 10.808 10.082 9.539 8.975 8.700 8.577 8.377 8.317 9.069 8.486 9.106 8.797 8.736 8.660 8.622 8.542 8.419 8.348 8.293 8.302 8.349 8.319 8.899
0.00018264 -1.93000 10.11394 0.1411927044 1.4448504448    0.141 -2.322  3.5923  5.231    1  0.000  0.545     0.00     0.00 -1 -3.58e-16      0.00 7.391e-01 2.607e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 10.575 10.286 9.613 9.103 8.550 8.286 8.203 7.994 7.936 8.645 8.108 8.686 8.369 8.319 8.249 8.236 8.181 8.037 7.961 7.909 7.919 7.968 7.951 8.474
0.00018264 -1.93000 10.11394 0.1611459404 1.5424650908    0.161 -2.179  3.6016  5.182    1  0.000  0.545     0.00     0.00 -1 -5.32e-16      0.00 7.378e-01 2.621e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 10.218 9.893 9.254 8.768 8.221 7.957 7.885 7.692 7.638 8.314 7.797 8.357 8.039 7.989 7.922 7.912 7.869 7.731 7.661 7.613 7.622 7.667 7.656 8.145
0.00018264 -1.93000 10.11394 0.2010523975 1.6974372864    0.201 -1.961  3.6135  5.108    1  0.000  0.545     0.00     0.00 -1 -8.56e-16      0.00 7.371e-01 2.627e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.869e-04 9.673 9.328 8.719 8.252 7.712 7.441 7.351 7.202 7.158 7.802 7.284 7.845 7.535 7.471 7.408 7.378 7.334 7.232 7.179 7.138 7.145 7.182 7.169 7.637
0.00018264 -1.93000 10.11394 0.2509354949 1.8426946402    0.251 -1.762  3.6243  5.049    1  0.000  0.545     0.00     0.00 -1 -1.09e-15      0.00 7.374e-01 2.624e-01 3.361e-05 9.068e-06 8.224e-05 -1.000 1.868e-04 9.176 8.813 8.230 7.783 7.249 6.975 6.866 6.757 6.723 7.338 6.818 7.379 7.077 7.004 6.945 6.896 6.847 6.779 6.742 6.708 6.712 6.741 6.727 7.175
0.00018264 -1.93000 10.11394 0.3008185625 1.9545503855    0.301 -1.610  3.6334  5.011    1  0.000  0.545     0.00     0.00 -1 -1.71e-15      0.00 7.374e-01 2.624e-01 3.360e-05 9.069e-06 8.224e-05 -1.000 1.869e-04 8.794 8.416 7.855 7.423 6.898 6.631 6.519 6.428 6.398 6.988 6.478 7.025 6.732 6.658 6.602 6.548 6.498 6.445 6.416 6.385 6.389 6.414 6.401 6.827
0.00018264 -1.93000 10.11394 0.3507016301 2.0445659161    0.351 -1.484  3.6417  4.985    1  0.000  0.544     0.00     0.00 -1 -2.23e-15      0.00 7.372e-01 2.626e-01 3.357e-05 9.070e-06 8.224e-05 -1.000 1.868e-04 8.479 8.086 7.546 7.127 6.611 6.351 6.239 6.163 6.136 6.702 6.205 6.735 6.449 6.377 6.325 6.268 6.219 6.177 6.152 6.125 6.128 6.151 6.138 6.543
