# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:30:42 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00012351 -2.10000 10.06446 0.0969537646 1.1451442242    0.097 -2.909  3.5371  5.433    1  0.000  0.545     0.00     0.00 -1 -9.57e-17      0.00 7.465e-01 2.534e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.305e-04 12.042 16.981 15.197 13.464 12.286 11.275 10.232 9.886 9.785
0.00012351 -2.10000 10.06446 0.1044971794 1.2076112032    0.104 -2.739  3.5586  5.381    1  0.000  0.545     0.00     0.00 -1 -1.45e-16      0.00 7.449e-01 2.550e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 11.617 15.798 14.363 12.808 11.737 10.873 9.885 9.462 9.339
0.00012351 -2.10000 10.06446 0.1068295985 1.2257492542    0.106 -2.689  3.5649  5.365    1  0.000  0.545     0.00     0.00 -1 -1.64e-16      0.00 7.444e-01 2.555e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 11.492 15.467 14.123 12.622 11.581 10.752 9.783 9.341 9.213
0.00012351 -2.10000 10.06446 0.1143080741 1.2806019783    0.114 -2.586  3.5749  5.332    1  0.000  0.545     0.00     0.00 -1 -2.09e-16      0.00 7.432e-01 2.567e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 11.235 14.903 13.693 12.273 11.282 10.502 9.561 9.092 8.957
0.00012351 -2.10000 10.06446 0.1265812516 1.3612058163    0.126 -2.431  3.5900  5.282    1  0.000  0.545     0.00     0.00 -1    -3e-16      0.00 7.414e-01 2.585e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 10.847 14.090 13.065 11.759 10.844 10.121 9.224 8.723 8.576
0.00012351 -2.10000 10.06446 0.1309445798 1.3874486685    0.131 -2.391  3.5929  5.268    1  0.000  0.545     0.00     0.00 -1 -3.28e-16      0.00 7.409e-01 2.589e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 10.748 13.918 12.924 11.638 10.737 10.022 9.135 8.630 8.479
0.00012351 -2.10000 10.06446 0.1463329047 1.4716402292    0.146 -2.262  3.6023  5.225    1  0.000  0.545     0.00     0.00 -1  -4.4e-16      0.00 7.395e-01 2.604e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 10.424 13.360 12.466 11.241 10.387 9.700 8.841 8.324 8.165
0.00012351 -2.10000 10.06446 0.1660845429 1.5642192364    0.166 -2.130  3.6103  5.180    1  0.000  0.545     0.00     0.00 -1 -5.89e-16      0.00 7.385e-01 2.614e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 10.094 12.843 12.029 10.854 10.037 9.371 8.536 8.013 7.849
0.00012351 -2.10000 10.06446 0.2055878639 1.7124989033    0.205 -1.921  3.6216  5.109    1  0.000  0.545     0.00     0.00 -1 -9.28e-16      0.00 7.379e-01 2.619e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 9.572 12.075 11.366 10.253 9.486 8.849 8.048 7.522 7.356
0.00012351 -2.10000 10.06446 0.2549670041 1.8527730703    0.255 -1.729  3.6320  5.052    1  0.000  0.545     0.00     0.00 -1 -1.39e-15      0.00 7.382e-01 2.617e-01 2.346e-05 6.330e-06 5.740e-05 -1.000 1.304e-04 9.091 11.382 10.765 9.703 8.980 8.368 7.597 7.075 6.911
