# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Nov 20 18:19:09 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
0.00012351 -2.10000 10.06446 0.0969537646 1.1451442242    0.097 -2.909  3.5371  5.433    1  0.000  0.545     0.00     0.00 -1 -9.57e-17      0.00 7.465e-01 2.534e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.305e-04 12.042 11.996 11.087 10.465 9.881 9.646 9.482 9.230 9.169 9.994 9.367 10.008 9.712 9.681 9.602 9.545 9.424 9.272 9.200 9.144 9.155 9.205 9.159 9.810
0.00012351 -2.10000 10.06446 0.1044971794 1.2076112032    0.104 -2.739  3.5586  5.381    1  0.000  0.545     0.00     0.00 -1 -1.45e-16      0.00 7.449e-01 2.550e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 11.617 11.471 10.672 10.095 9.516 9.246 9.094 8.890 8.830 9.616 9.002 9.645 9.342 9.283 9.204 9.147 9.049 8.929 8.863 8.808 8.816 8.862 8.821 9.442
0.00012351 -2.10000 10.06446 0.1068295985 1.2257492542    0.106 -2.689  3.5649  5.365    1  0.000  0.545     0.00     0.00 -1 -1.64e-16      0.00 7.444e-01 2.555e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 11.492 11.321 10.550 9.986 9.411 9.133 8.984 8.793 8.734 9.507 8.898 9.540 9.237 9.171 9.092 9.035 8.942 8.831 8.767 8.713 8.721 8.765 8.727 9.336
0.00012351 -2.10000 10.06446 0.1143080741 1.2806019783    0.114 -2.586  3.5749  5.332    1  0.000  0.545     0.00     0.00 -1 -2.09e-16      0.00 7.432e-01 2.567e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 11.235 11.023 10.288 9.741 9.176 8.901 8.765 8.574 8.515 9.271 8.678 9.305 9.002 8.938 8.862 8.812 8.726 8.613 8.547 8.493 8.501 8.545 8.512 9.102
0.00012351 -2.10000 10.06446 0.1265812516 1.3612058163    0.126 -2.431  3.5900  5.282    1  0.000  0.545     0.00     0.00 -1    -3e-16      0.00 7.414e-01 2.585e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 10.847 10.566 9.883 9.368 8.819 8.565 8.460 8.253 8.194 8.917 8.366 8.948 8.646 8.597 8.530 8.500 8.430 8.295 8.224 8.171 8.179 8.222 8.202 8.745
0.00012351 -2.10000 10.06446 0.1309445798 1.3874486685    0.131 -2.391  3.5929  5.268    1  0.000  0.545     0.00     0.00 -1 -3.28e-16      0.00 7.409e-01 2.589e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 10.748 10.452 9.782 9.275 8.729 8.478 8.379 8.174 8.115 8.827 8.286 8.859 8.556 8.508 8.443 8.417 8.352 8.214 8.144 8.093 8.100 8.142 8.125 8.656
0.00012351 -2.10000 10.06446 0.1463329047 1.4716402292    0.146 -2.262  3.6023  5.225    1  0.000  0.545     0.00     0.00 -1  -4.4e-16      0.00 7.395e-01 2.604e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 10.424 10.094 9.457 8.974 8.433 8.182 8.091 7.904 7.850 8.530 8.006 8.564 8.261 8.211 8.150 8.124 8.068 7.940 7.876 7.830 7.835 7.873 7.861 8.361
0.00012351 -2.10000 10.06446 0.1660845429 1.5642192364    0.166 -2.130  3.6103  5.180    1  0.000  0.545     0.00     0.00 -1 -5.89e-16      0.00 7.385e-01 2.614e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 10.094 9.752 9.135 8.665 8.128 7.869 7.769 7.611 7.563 8.222 7.698 8.258 7.957 7.898 7.838 7.802 7.748 7.641 7.588 7.545 7.550 7.583 7.570 8.056
0.00012351 -2.10000 10.06446 0.2055878639 1.7124989033    0.205 -1.921  3.6216  5.109    1  0.000  0.545     0.00     0.00 -1 -9.28e-16      0.00 7.379e-01 2.619e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 9.572 9.211 8.622 8.172 7.642 7.376 7.262 7.143 7.103 7.732 7.209 7.769 7.474 7.405 7.346 7.295 7.239 7.165 7.127 7.090 7.093 7.118 7.105 7.570
0.00012351 -2.10000 10.06446 0.2549670041 1.8527730703    0.255 -1.729  3.6320  5.052    1  0.000  0.545     0.00     0.00 -1 -1.39e-15      0.00 7.382e-01 2.617e-01 2.346e-05 6.330e-06 5.740e-05 -1.000 1.304e-04 9.091 8.713 8.149 7.716 7.196 6.932 6.813 6.718 6.684 7.286 6.771 7.320 7.033 6.960 6.903 6.844 6.790 6.736 6.706 6.674 6.676 6.696 6.684 7.127
0.00012351 -2.10000 10.06446 0.3043461442 1.9615367651    0.304 -1.580  3.6406  5.015    1  0.000  0.545     0.00     0.00 -1 -1.86e-15      0.00 7.382e-01 2.617e-01 2.345e-05 6.330e-06 5.740e-05 -1.000 1.304e-04 8.720 8.327 7.783 7.365 6.857 6.598 6.480 6.399 6.368 6.945 6.444 6.977 6.698 6.625 6.571 6.510 6.457 6.413 6.388 6.360 6.361 6.378 6.366 6.789
0.00012351 -2.10000 10.06446 0.3537252545 2.0494811535    0.354 -1.456  3.6486  4.989    1  0.000  0.544     0.00     0.00 -1 -2.37e-15      0.00 7.388e-01 2.610e-01 2.344e-05 6.331e-06 5.740e-05 -1.000 1.304e-04 8.410 8.004 7.479 7.075 6.576 6.326 6.209 6.138 6.111 6.665 6.178 6.694 6.422 6.351 6.300 6.238 6.188 6.152 6.129 6.103 6.104 6.120 6.109 6.510
0.00012351 -2.10000 10.06446 0.3719364107 2.0779728889    0.372 -1.409  3.6519  4.977    1  0.000  0.545     0.00     0.00 -1 -2.61e-15      0.00 7.432e-01 2.566e-01 2.344e-05 6.330e-06 5.740e-05 -1.000 1.304e-04 8.292 7.881 7.364 6.965 6.471 6.223 6.108 6.041 6.015 6.560 6.078 6.587 6.318 6.248 6.198 6.136 6.087 6.054 6.032 6.008 6.009 6.023 6.013 6.405
0.00012351 -2.10000 10.06446 0.4031043947 2.1227581501    0.403 -1.334  3.6572  4.957    1  0.000  0.545     0.00     0.00 -1 -3.05e-15      0.00 7.501e-01 2.497e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 8.104 7.686 7.182 6.792 6.303 6.061 5.949 5.887 5.863 6.392 5.922 6.418 6.153 6.085 6.037 5.976 5.929 5.899 5.879 5.856 5.857 5.870 5.861 6.239
0.00012351 -2.10000 10.06446 0.4524835348 2.1852064133    0.452 -1.185  3.6711  4.914    1  0.000  0.545     0.00     0.00 -1 -4.26e-15      0.00 7.507e-01 2.492e-01 2.346e-05 6.329e-06 5.740e-05 -1.000 1.304e-04 7.732 7.301 6.829 6.459 5.988 5.762 5.659 5.608 5.587 6.078 5.637 6.098 5.844 5.782 5.740 5.684 5.641 5.617 5.602 5.582 5.582 5.593 5.585 5.926
0.00012351 -2.10000 10.06446 0.5018626451 2.2393662930    0.502 -1.018  3.6868  4.856    1  0.000  0.545     0.00     0.00 -1 -6.35e-15      0.00 7.520e-01 2.479e-01 2.338e-05 6.307e-06 5.720e-05 -1.000 1.304e-04 7.316 6.877 6.439 6.093 5.640 5.433 5.341 5.300 5.283 5.732 5.323 5.745 5.504 5.450 5.414 5.363 5.327 5.308 5.296 5.279 5.279 5.285 5.281 5.582
0.00012351 -2.10000 10.06446 0.5512418151 2.2846839428    0.551 -0.818  3.7063  4.774    1  0.000  0.544     0.00     0.00 -1 -1.05e-14      0.00 7.838e-01 2.161e-01 2.054e-05 5.546e-06 5.033e-05 -1.000 1.000e-04 6.815 6.379 5.980 5.661 5.231 5.046 4.970 4.939 4.923 5.324 4.956 5.330 5.105 5.060 5.031 4.988 4.959 4.945 4.935 4.922 4.922 4.922 4.921 5.177
0.00012351 -2.10000 10.06446 0.6006208658 2.3215417862    0.600 -0.613  3.7308  4.705    1  0.000  0.544     0.00     0.00 -1 -1.75e-14      0.00 7.962e-01 2.037e-01 1.950e-05 5.268e-06 4.782e-05 -1.000 1.122e-04 6.304 5.888 5.533 5.247 4.844 4.686 4.628 4.609 4.596 4.939 4.620 4.935 4.730 4.696 4.675 4.641 4.622 4.613 4.606 4.597 4.596 4.592 4.595 4.795
0.00012351 -2.10000 10.06446 0.6007555723 2.3216328621    0.600 -0.613  3.7309  4.705    1  0.000  0.544     0.00     0.00 -1 -1.75e-14      0.00 7.962e-01 2.037e-01 1.949e-05 5.267e-06 4.781e-05 -1.000 1.120e-04 6.302 5.887 5.532 5.245 4.843 4.685 4.627 4.608 4.596 4.938 4.619 4.934 4.729 4.695 4.674 4.640 4.621 4.612 4.606 4.596 4.595 4.591 4.594 4.794
