# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:31:24 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00039019 -1.60000 10.03743 0.0900000036 1.0816895962    0.090 -3.189  3.4781  5.445    1  0.000  0.545     0.00     0.00 -1 -5.14e-17      0.00 7.483e-01 2.513e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 12.742 20.089 17.322 15.316 13.633 12.042 10.758 10.474 10.381
0.00039019 -1.60000 10.03743 0.0973249748 1.1483643055    0.097 -2.956  3.5117  5.381    1  0.000  0.545     0.00     0.00 -1 -9.11e-17      0.00 7.470e-01 2.526e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 12.159 17.973 15.912 14.026 12.702 11.457 10.292 9.869 9.744
0.00039019 -1.60000 10.03743 0.1000000015 1.1711064577    0.100 -2.875  3.5233  5.358    1  0.000  0.545     0.00     0.00 -1 -1.11e-16      0.00 7.465e-01 2.531e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.189e-04 11.957 17.313 15.453 13.639 12.397 11.255 10.130 9.672 9.536
0.00039019 -1.60000 10.03743 0.1002677381 1.1733390093    0.100 -2.871  3.5238  5.357    1  0.000  0.545     0.00     0.00 -1 -1.12e-16      0.00 7.464e-01 2.531e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.189e-04 11.947 17.285 15.433 13.621 12.383 11.245 10.121 9.662 9.526
0.00039019 -1.60000 10.03743 0.1200000048 1.3193155527    0.120 -2.587  3.5544  5.273    1  0.000  0.545     0.00     0.00 -1 -2.17e-16      0.00 7.439e-01 2.557e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 11.237 15.540 14.110 12.526 11.444 10.532 9.512 8.991 8.831
0.00039019 -1.60000 10.03743 0.1400000006 1.4384527206    0.140 -2.405  3.5695  5.219    1  0.000  0.545     0.00     0.00 -1 -3.25e-16      0.00 7.421e-01 2.575e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 10.783 14.632 13.383 11.914 10.900 10.077 9.107 8.566 8.394
0.00039019 -1.60000 10.03743 0.1599999964 1.5372931957    0.160 -2.263  3.5796  5.176    1  0.000  0.545     0.00     0.00 -1 -4.43e-16      0.00 7.408e-01 2.588e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.189e-04 10.428 14.009 12.863 11.466 10.496 9.720 8.783 8.232 8.053
0.00039019 -1.60000 10.03743 0.2000000179 1.6938792467    0.200 -2.043  3.5926  5.104    1  0.000  0.545     0.00     0.00 -1 -7.15e-16      0.00 7.396e-01 2.599e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.189e-04 9.876 13.123 12.110 10.803 9.894 9.168 8.271 7.712 7.526
0.00039019 -1.60000 10.03743 0.2500000298 1.8403259516    0.250 -1.839  3.6036  5.041    1  0.000  0.545     0.00     0.00 -1  -1.1e-15      0.00 7.396e-01 2.600e-01 7.530e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 9.366 12.357 11.441 10.206 9.346 8.655 7.793 7.230 7.044
0.00039019 -1.60000 10.03743 0.3000000417 1.9529141188    0.300 -1.683  3.6123  4.999    1  0.000  0.545     0.00     0.00 -1 -1.51e-15      0.00 7.398e-01 2.598e-01 7.529e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.977 11.780 10.934 9.751 8.929 8.264 7.427 6.864 6.683
0.00039019 -1.60000 10.03743 0.3193132579 1.9900488853    0.319 -1.632  3.6154  4.987    1  0.000  0.545     0.00     0.00 -1 -1.67e-15      0.00 7.398e-01 2.598e-01 7.528e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.849 11.591 10.768 9.602 8.792 8.135 7.308 6.745 6.566
0.00039019 -1.60000 10.03743 0.3500000238 2.0434176922    0.350 -1.556  3.6199  4.970    1  0.000  0.545     0.00     0.00 -1 -1.93e-15      0.00 7.398e-01 2.598e-01 7.526e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.661 11.313 10.522 9.381 8.590 7.946 7.131 6.569 6.394
0.00039019 -1.60000 10.03743 0.4000000358 2.1185026169    0.400 -1.419  3.6305  4.933    1  0.000  0.545     0.00     0.00 -1 -2.59e-15      0.00 7.503e-01 2.493e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.317 10.762 10.049 8.964 8.217 7.602 6.817 6.256 6.094
0.00039019 -1.60000 10.03743 0.4499999881 2.1822810173    0.450 -1.251  3.6482  4.886    1  0.000  0.545     0.00     0.00 -1 -3.79e-15      0.00 7.505e-01 2.491e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.189e-04 7.897 10.015 9.428 8.431 7.750 7.181 6.444 5.896 5.755
0.00039019 -1.60000 10.03743 0.5000000000 2.2374541759    0.500 -1.062  3.6720  4.839    1  0.000  0.545     0.00     0.00 -1 -5.86e-15      0.00 7.505e-01 2.491e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 7.426 9.112 8.714 7.825 7.228 6.715 6.046 5.533 5.414
0.00039019 -1.60000 10.03743 0.5500000715 2.2836585045    0.550 -0.855  3.6955  4.767    1  0.000  0.544     0.00     0.00 -1 -9.79e-15      0.00 7.817e-01 2.179e-01 6.647e-05 1.794e-05 1.628e-04 -1.000 3.291e-04 6.907 8.190 7.992 7.198 6.674 6.208 5.609 5.145 5.045
0.00039019 -1.60000 10.03743 0.5990505815 2.3204767704    0.599 -0.655  3.7214  4.707    1  0.000  0.544     0.00     0.00 -1 -1.59e-14      0.00 7.918e-01 2.079e-01 6.378e-05 1.723e-05 1.564e-04 -1.000 3.454e-04 6.406 7.322 7.313 6.615 6.156 5.735 5.210 4.800 4.716
0.00039019 -1.60000 10.03743 0.6000000238 2.3211214542    0.600 -0.651  3.7219  4.706    1  0.000  0.544     0.00     0.00 -1  -1.6e-14      0.00 7.920e-01 2.077e-01 6.373e-05 1.722e-05 1.563e-04 -1.000 3.458e-04 6.397 7.307 7.301 6.605 6.147 5.726 5.202 4.793 4.710
0.00039019 -1.60000 10.03743 0.6144579649 2.3306560516    0.614 -0.590  3.7306  4.690    1  0.000  0.544     0.00     0.00 -1 -1.86e-14      0.00 7.955e-01 2.041e-01 6.281e-05 1.697e-05 1.540e-04 -1.000 3.505e-04 6.244 7.048 7.095 6.431 5.992 5.586 5.085 4.693 4.615
0.00039019 -1.60000 10.03743 0.6278103590 2.3390145302    0.628 -0.533  3.7385  4.674    1  0.000  0.543     0.00     0.00 -1 -2.14e-14      0.00 7.990e-01 2.007e-01 6.191e-05 1.673e-05 1.519e-04 -1.000 3.358e-04 6.102 6.820 6.909 6.274 5.851 5.458 4.977 4.598 4.526
0.00039019 -1.60000 10.03743 0.6392369270 2.3458495140    0.639 -0.484  3.7452  4.660    1  0.000  0.543     0.00     0.00 -1 -2.41e-14      0.00 8.021e-01 1.976e-01 6.110e-05 1.651e-05 1.500e-04 -1.000 3.363e-04 5.979 6.632 6.752 6.141 5.732 5.349 4.884 4.515 4.448
0.00039019 -1.60000 10.03743 0.6499999762 2.3520355225    0.650 -0.437  3.7514  4.646    1  0.000  0.543     0.00     0.00 -1  -2.7e-14      0.00 8.051e-01 1.946e-01 6.031e-05 1.630e-05 1.481e-04 -1.000 3.357e-04 5.864 6.458 6.605 6.016 5.620 5.248 4.796 4.436 4.374
0.00039019 -1.60000 10.03743 0.6629166007 2.3591549397    0.663 -0.381  3.7583  4.625    1  0.000  0.543     0.00     0.00 -1 -3.12e-14      0.00 8.098e-01 1.899e-01 5.911e-05 1.598e-05 1.452e-04 -1.000 3.330e-04 5.723 6.255 6.430 5.867 5.485 5.125 4.689 4.339 4.283
0.00039019 -1.60000 10.03743 0.6763157845 2.3662111759    0.676 -0.322  3.7652  4.603    1  0.000  0.542     0.00     0.00 -1 -3.63e-14      0.00 8.149e-01 1.847e-01 5.777e-05 1.563e-05 1.420e-04 -1.000 3.459e-04 5.575 6.052 6.250 5.713 5.345 4.996 4.575 4.234 4.183
0.00039019 -1.60000 10.03743 0.6887204051 2.3724627495    0.689 -0.266  3.7715  4.580    1  0.000  0.542     0.00     0.00 -1  -4.2e-14      0.00 8.201e-01 1.796e-01 5.645e-05 1.527e-05 1.389e-04 -1.000 3.437e-04 5.436 5.868 6.084 5.569 5.213 4.874 4.466 4.133 4.088
0.00039019 -1.60000 10.03743 0.6999999881 2.3779268265    0.700 -0.214  3.7770  4.557    1  0.000  0.542     0.00     0.00 -1 -4.81e-14      0.00 8.251e-01 1.746e-01 5.516e-05 1.493e-05 1.358e-04 -1.000 3.305e-04 5.306 5.701 5.931 5.436 5.091 4.760 4.364 4.039 3.998
0.00039019 -1.60000 10.03743 0.7108024359 2.3829731941    0.711 -0.163  3.7820  4.532    1  0.000  0.539     0.00     0.00 -1 -5.53e-14      0.00 8.311e-01 1.686e-01 5.343e-05 1.451e-05 1.320e-04 -1.000 2.460e-04 5.177 5.542 5.782 5.304 4.969 4.647 4.260 3.942 3.905
0.00039019 -1.60000 10.03743 0.7213096023 2.3877153397    0.721 -0.111  3.7867  4.506    1  0.000  0.537     0.00     0.00 -1 -6.38e-14      0.00 8.370e-01 1.627e-01 5.175e-05 1.409e-05 1.284e-04 -1.000 2.612e-04 5.047 5.389 5.634 5.172 4.846 4.532 4.155 3.844 3.811
0.00039019 -1.60000 10.03743 0.7312147021 2.3920423985    0.731 -0.060  3.7911  4.478    1  0.000  0.535     0.00     0.00 -1 -7.35e-14      0.00 8.424e-01 1.573e-01 5.022e-05 1.372e-05 1.251e-04 -1.000 2.558e-04 4.920 5.242 5.489 5.042 4.725 4.417 4.050 3.745 3.715
0.00039019 -1.60000 10.03743 0.7399084568 2.3957307339    0.739 -0.013  3.7948  4.451    1  0.000  0.533     0.00     0.00 -1  -8.4e-14      0.00 8.470e-01 1.527e-01 4.897e-05 1.341e-05 1.223e-04 -1.000 2.511e-04 4.802 5.110 5.358 4.923 4.612 4.311 3.952 3.653 3.626
0.00039019 -1.60000 10.03743 0.7484922409 2.3992760181    0.748  0.036  3.7983  4.422    1  0.000  0.532     0.00     0.00 -1 -9.65e-14      0.00 8.513e-01 1.485e-01 4.782e-05 1.314e-05 1.199e-04 -1.000 2.477e-04 4.681 4.975 5.222 4.799 4.495 4.200 3.848 3.556 3.530
0.00039019 -1.60000 10.03743 0.7500000000 2.3998889923    0.749  0.044  3.7989  4.416    1  0.000  0.531     0.00     0.00 -1 -9.89e-14      0.00 8.520e-01 1.478e-01 4.762e-05 1.309e-05 1.195e-04 -1.000 2.460e-04 4.659 4.951 5.198 4.777 4.474 4.180 3.830 3.538 3.513
0.00039019 -1.60000 10.03743 0.7517012954 2.4005773067    0.751  0.054  3.7996  4.410    1  0.000  0.531     0.00     0.00 -1 -1.02e-13      0.00 8.524e-01 1.474e-01 4.756e-05 1.307e-05 1.193e-04 -1.000 2.459e-04 4.635 4.924 5.171 4.752 4.451 4.158 3.809 3.519 3.494
0.00039019 -1.60000 10.03743 0.7600684762 2.4039115906    0.759  0.105  3.8031  4.378    1  0.000  0.531     0.00     0.00 -1 -1.18e-13      0.00 8.542e-01 1.455e-01 4.731e-05 1.301e-05 1.188e-04 -1.000 2.512e-04 4.508 4.788 5.030 4.622 4.328 4.041 3.699 3.415 3.393
0.00039019 -1.60000 10.03743 0.7680528760 2.4070153236    0.767  0.156  3.8063  4.344    1  0.000  0.530     0.00     0.00 -1 -1.38e-13      0.00 8.558e-01 1.439e-01 4.711e-05 1.296e-05 1.185e-04 -1.000 2.637e-04 4.379 4.650 4.888 4.490 4.202 3.920 3.586 3.308 3.287
0.00039019 -1.60000 10.03743 0.7754120231 2.4098110199    0.775  0.207  3.8091  4.308    1  0.000  0.530     0.00     0.00 -1  -1.6e-13      0.00 8.572e-01 1.426e-01 4.696e-05 1.293e-05 1.182e-04 -1.000 2.590e-04 4.251 4.516 4.748 4.359 4.077 3.801 3.473 3.200 3.181
0.00039019 -1.60000 10.03743 0.7821471691 2.4123167992    0.781  0.257  3.8114  4.271    1  0.000  0.529     0.00     0.00 -1 -1.87e-13      0.00 8.583e-01 1.415e-01 4.684e-05 1.290e-05 1.180e-04 -1.000 2.459e-04 4.127 4.388 4.613 4.232 3.954 3.682 3.360 3.092 3.074
0.00039019 -1.60000 10.03743 0.7883100510 2.4145665169    0.787  0.306  3.8132  4.233    1  0.000  0.529     0.00     0.00 -1 -2.17e-13      0.00 8.589e-01 1.408e-01 4.681e-05 1.289e-05 1.180e-04 -1.000 2.756e-04 4.005 4.264 4.483 4.107 3.834 3.565 3.247 2.983 2.965
0.00039019 -1.60000 10.03743 0.7940508723 2.4166259766    0.793  0.354  3.8143  4.192    1  0.000  0.529     0.00     0.00 -1 -2.54e-13      0.00 8.585e-01 1.412e-01 4.703e-05 1.296e-05 1.186e-04 -1.000 3.019e-04 3.884 4.143 4.355 3.984 3.713 3.446 3.131 2.870 2.853
0.00039019 -1.60000 10.03743 0.7979840040 2.4180173874    0.797  0.389  3.8149  4.162    1  0.000  0.529     0.00     0.00 -1 -2.84e-13      0.00 8.580e-01 1.417e-01 4.723e-05 1.301e-05 1.191e-04 -1.000 3.159e-04 3.798 4.057 4.265 3.896 3.627 3.362 3.047 2.788 2.771
0.00039019 -1.60000 10.03743 0.7994754314 2.4185409546    0.798  0.403  3.8148  4.148    1  0.000  0.529     0.00     0.00 -1 -2.99e-13      0.00 8.578e-01 1.419e-01 4.732e-05 1.304e-05 1.193e-04 -1.000 3.181e-04 3.762 4.022 4.228 3.859 3.590 3.325 3.010 2.751 2.733
0.00039019 -1.60000 10.03743 0.8000000119 2.4187245369    0.799  0.409  3.8147  4.143    1  0.000  0.529     0.00     0.00 -1 -3.05e-13      0.00 8.577e-01 1.420e-01 4.735e-05 1.305e-05 1.194e-04 -1.000 3.188e-04 3.749 4.009 4.215 3.846 3.577 3.311 2.997 2.738 2.720
0.00039019 -1.60000 10.03743 0.8051563501 2.4205145836    0.804  0.462  3.8135  4.087    1  0.000  0.529     0.00     0.00 -1 -3.64e-13      0.00 8.560e-01 1.437e-01 4.787e-05 1.319e-05 1.207e-04 -1.000 3.217e-04 3.615 3.881 4.082 3.712 3.441 3.174 2.857 2.596 2.578
0.00039019 -1.60000 10.03743 0.8095709085 2.4220261574    0.808  0.515  3.8103  4.023    1  0.000  0.529     0.00     0.00 -1 -4.41e-13      0.00 8.546e-01 1.451e-01 4.831e-05 1.331e-05 1.218e-04 -1.000 3.241e-04 3.482 3.759 3.957 3.579 3.303 3.032 2.707 2.440 2.421
0.00039019 -1.60000 10.03743 0.8103173375 2.4222800732    0.809  0.525  3.8094  4.010    1  0.000  0.529     0.00     0.00 -1 -4.61e-13      0.00 8.543e-01 1.453e-01 4.838e-05 1.333e-05 1.219e-04 -1.000 3.245e-04 3.457 3.737 3.935 3.555 3.277 3.005 2.678 2.410 2.390
