# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Nov 20 18:19:21 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
0.00039019 -1.60000 10.03743 0.0900000036 1.0816895962    0.090 -3.189  3.4781  5.445    1  0.000  0.545     0.00     0.00 -1 -5.14e-17      0.00 7.483e-01 2.513e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 12.742 13.023 11.733 10.992 10.468 10.405 10.189 9.764 9.712 10.624 9.987 10.567 10.345 10.424 10.368 10.308 10.059 9.811 9.726 9.676 9.695 9.756 9.700 10.419
0.00039019 -1.60000 10.03743 0.0973249748 1.1483643055    0.097 -2.956  3.5117  5.381    1  0.000  0.545     0.00     0.00 -1 -9.11e-17      0.00 7.470e-01 2.526e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 12.159 12.248 11.193 10.517 9.942 9.755 9.583 9.259 9.201 10.070 9.433 10.066 9.781 9.788 9.710 9.660 9.503 9.305 9.224 9.168 9.183 9.244 9.193 9.875
0.00039019 -1.60000 10.03743 0.1000000015 1.1711064577    0.100 -2.875  3.5233  5.358    1  0.000  0.545     0.00     0.00 -1 -1.11e-16      0.00 7.465e-01 2.531e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.189e-04 11.957 11.984 11.000 10.348 9.765 9.549 9.385 9.093 9.032 9.885 9.250 9.893 9.597 9.584 9.503 9.453 9.318 9.139 9.060 9.003 9.016 9.074 9.025 9.694
0.00039019 -1.60000 10.03743 0.1002677381 1.1733390093    0.100 -2.871  3.5238  5.357    1  0.000  0.545     0.00     0.00 -1 -1.12e-16      0.00 7.464e-01 2.531e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.189e-04 11.947 11.971 10.990 10.339 9.756 9.538 9.375 9.084 9.023 9.875 9.241 9.884 9.587 9.574 9.492 9.443 9.308 9.129 9.051 8.994 9.007 9.064 9.016 9.685
0.00039019 -1.60000 10.03743 0.1200000048 1.3193155527    0.120 -2.587  3.5544  5.273    1  0.000  0.545     0.00     0.00 -1 -2.17e-16      0.00 7.439e-01 2.557e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 11.237 11.109 10.294 9.708 9.126 8.853 8.707 8.489 8.427 9.225 8.608 9.257 8.948 8.892 8.809 8.759 8.662 8.531 8.459 8.403 8.412 8.462 8.421 9.050
0.00039019 -1.60000 10.03743 0.1400000006 1.4384527206    0.140 -2.405  3.5695  5.219    1  0.000  0.545     0.00     0.00 -1 -3.25e-16      0.00 7.421e-01 2.575e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 10.783 10.594 9.845 9.290 8.717 8.427 8.286 8.101 8.043 8.808 8.203 8.848 8.540 8.466 8.385 8.335 8.248 8.140 8.075 8.021 8.029 8.076 8.038 8.641
0.00039019 -1.60000 10.03743 0.1599999964 1.5372931957    0.160 -2.263  3.5796  5.176    1  0.000  0.545     0.00     0.00 -1 -4.43e-16      0.00 7.408e-01 2.588e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.189e-04 10.428 10.201 9.479 8.939 8.375 8.094 7.987 7.779 7.717 8.465 7.892 8.510 8.190 8.132 8.051 8.028 7.957 7.825 7.747 7.689 7.701 7.753 7.724 8.297
0.00039019 -1.60000 10.03743 0.2000000179 1.6938792467    0.200 -2.043  3.5926  5.104    1  0.000  0.545     0.00     0.00 -1 -7.15e-16      0.00 7.396e-01 2.599e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.189e-04 9.876 9.588 8.915 8.406 7.851 7.579 7.519 7.301 7.241 7.942 7.420 7.992 7.661 7.615 7.539 7.546 7.503 7.350 7.265 7.210 7.223 7.279 7.264 7.772
0.00039019 -1.60000 10.03743 0.2500000298 1.8403259516    0.250 -1.839  3.6036  5.041    1  0.000  0.545     0.00     0.00 -1  -1.1e-15      0.00 7.396e-01 2.600e-01 7.530e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 9.366 9.039 8.404 7.920 7.371 7.100 7.048 6.855 6.803 7.462 6.961 7.512 7.182 7.133 7.063 7.070 7.038 6.897 6.822 6.773 6.786 6.838 6.827 7.293
0.00039019 -1.60000 10.03743 0.3000000417 1.9529141188    0.300 -1.683  3.6123  4.999    1  0.000  0.545     0.00     0.00 -1 -1.51e-15      0.00 7.398e-01 2.598e-01 7.529e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.977 8.635 8.022 7.553 7.005 6.730 6.662 6.504 6.461 7.095 6.591 7.144 6.821 6.761 6.696 6.685 6.651 6.537 6.477 6.435 6.446 6.492 6.480 6.928
