# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:13:58 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00010274 -2.18000 10.07918 0.0996102020 1.1678420305    0.100 -2.797  3.5560  5.409    1  0.000  0.545     0.00     0.00 -1 -1.26e-16      0.00 7.454e-01 2.545e-01 1.868e-05 5.040e-06 4.571e-05 -1.000 1.039e-04 11.762 16.033 14.547 12.970 11.885 11.007 10.017 9.623 9.508
0.00010274 -2.18000 10.07918 0.1094385907 1.2454377413    0.109 -2.639  3.5729  5.358    1  0.000  0.545     0.00     0.00 -1 -1.83e-16      0.00 7.436e-01 2.563e-01 1.868e-05 5.040e-06 4.572e-05 -1.000 1.039e-04 11.367 15.087 13.849 12.416 11.414 10.628 9.684 9.235 9.107
0.00010274 -2.18000 10.07918 0.1290953606 1.3764675856    0.129 -2.395  3.5957  5.277    1  0.000  0.545     0.00     0.00 -1 -3.25e-16      0.00 7.406e-01 2.593e-01 1.868e-05 5.040e-06 4.572e-05 -1.000 1.039e-04 10.757 13.842 12.882 11.619 10.734 10.029 9.151 8.652 8.505
0.00010274 -2.18000 10.07918 0.1487521678 1.4838291407    0.148 -2.231  3.6072  5.221    1  0.000  0.545     0.00     0.00 -1  -4.7e-16      0.00 7.387e-01 2.612e-01 1.868e-05 5.040e-06 4.572e-05 -1.000 1.039e-04 10.347 13.154 12.315 11.125 10.295 9.622 8.778 8.265 8.107
0.00010274 -2.18000 10.07918 0.1684089303 1.5741690397    0.168 -2.104  3.6146  5.177    1  0.000  0.545     0.00     0.00 -1 -6.24e-16      0.00 7.379e-01 2.620e-01 1.868e-05 5.040e-06 4.572e-05 -1.000 1.038e-04 10.030 12.669 11.903 10.755 9.959 9.305 8.483 7.965 7.803
0.00010274 -2.18000 10.07918 0.2077224851 1.7194390297    0.207 -1.899  3.6256  5.108    1  0.000  0.545     0.00     0.00 -1 -9.72e-16      0.00 7.374e-01 2.624e-01 1.868e-05 5.040e-06 4.572e-05 -1.000 1.040e-04 9.519 11.922 11.260 10.169 9.422 8.794 8.005 7.487 7.322
0.00010274 -2.18000 10.07918 0.2568644583 1.8574451208    0.256 -1.711  3.6357  5.052    1  0.000  0.545     0.00     0.00 -1 -1.44e-15      0.00 7.377e-01 2.622e-01 1.868e-05 5.041e-06 4.572e-05 -1.000 1.039e-04 9.047 11.247 10.675 9.633 8.926 8.322 7.563 7.051 6.888
0.00010274 -2.18000 10.07918 0.3060064018 1.9647884369    0.305 -1.565  3.6441  5.016    1  0.000  0.545     0.00     0.00 -1 -1.92e-15      0.00 7.377e-01 2.622e-01 1.867e-05 5.041e-06 4.572e-05 -1.000 1.038e-04 8.683 10.721 10.222 9.217 8.542 7.957 7.223 6.719 6.560
0.00010274 -2.18000 10.07918 0.3551483452 2.0517756939    0.355 -1.442  3.6520  4.990    1  0.000  0.544     0.00     0.00 -1 -2.44e-15      0.00 7.387e-01 2.612e-01 1.866e-05 5.042e-06 4.572e-05 -1.000 1.039e-04 8.376 10.270 9.837 8.865 8.217 7.650 6.939 6.444 6.291
0.00010274 -2.18000 10.07918 0.4042902589 2.1243727207    0.404 -1.321  3.6604  4.959    1  0.000  0.545     0.00     0.00 -1 -3.13e-15      0.00 7.501e-01 2.498e-01 1.868e-05 5.040e-06 4.571e-05 -1.000 1.039e-04 8.072 9.817 9.454 8.517 7.897 7.347 6.661 6.176 6.030
0.00010274 -2.18000 10.07918 0.4534322321 2.1863186359    0.453 -1.174  3.6737  4.915    1  0.000  0.545     0.00     0.00 -1 -4.36e-15      0.00 7.507e-01 2.492e-01 1.868e-05 5.040e-06 4.571e-05 -1.000 1.039e-04 7.706 9.220 8.969 8.087 7.508 6.986 6.337 5.870 5.736
0.00010274 -2.18000 10.07918 0.5025742054 2.2400922775    0.502 -1.010  3.6885  4.855    1  0.000  0.545     0.00     0.00 -1 -6.47e-15      0.00 7.525e-01 2.474e-01 1.856e-05 5.009e-06 4.543e-05 -1.000 1.040e-04 7.295 8.574 8.437 7.617 7.079 6.586 5.977 5.530 5.410
0.00010274 -2.18000 10.07918 0.5517161489 2.2850742340    0.551 -0.809  3.7078  4.772    1  0.000  0.544     0.00     0.00 -1 -1.08e-14      0.00 7.850e-01 2.149e-01 1.627e-05 4.394e-06 3.987e-05 -1.000 9.941e-05 6.794 7.795 7.791 7.052 6.563 6.107 5.548 5.128 5.026
0.00010274 -2.18000 10.07918 0.6008580327 2.3217020035    0.600 -0.603  3.7324  4.701    1  0.000  0.544     0.00     0.00 -1  -1.8e-14      0.00 7.980e-01 2.020e-01 1.540e-05 4.161e-06 3.778e-05 -1.000 5.674e-05 6.278 6.992 7.120 6.479 6.044 5.633 5.135 4.751 4.669
0.00010274 -2.18000 10.07918 0.6072512865 2.3259687424    0.607 -0.575  3.7361  4.693    1  0.000  0.544     0.00     0.00 -1 -1.93e-14      0.00 8.001e-01 1.999e-01 1.526e-05 4.124e-06 3.744e-05 -1.000 2.064e-05 6.208 6.885 7.029 6.402 5.974 5.569 5.080 4.702 4.623
0.00010274 -2.18000 10.07918 0.6183416843 2.3331301212    0.618 -0.525  3.7427  4.677    1  0.000  0.543     0.00     0.00 -1 -2.18e-14      0.00 8.038e-01 1.961e-01 1.501e-05 4.056e-06 3.683e-05 -1.000 1.032e-04 6.083 6.699 6.870 6.267 5.853 5.459 4.986 4.616 4.542
