# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Nov 20 18:09:33 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
0.00010274 -2.18000 10.07918 0.0996102020 1.1678420305    0.100 -2.797  3.5560  5.409    1  0.000  0.545     0.00     0.00 -1 -1.26e-16      0.00 7.454e-01 2.545e-01 1.868e-05 5.040e-06 4.571e-05 -1.000 1.039e-04 11.762 11.626 10.815 10.233 9.653 9.387 9.232 9.024 8.963 9.754 9.138 9.781 9.479 9.424 9.345 9.286 9.186 9.063 8.996 8.942 8.949 8.995 8.954 9.578
0.00010274 -2.18000 10.07918 0.1094385907 1.2454377413    0.109 -2.639  3.5729  5.358    1  0.000  0.545     0.00     0.00 -1 -1.83e-16      0.00 7.436e-01 2.563e-01 1.868e-05 5.040e-06 4.572e-05 -1.000 1.039e-04 11.367 11.163 10.422 9.873 9.306 9.030 8.887 8.701 8.642 9.401 8.803 9.434 9.133 9.066 8.990 8.936 8.847 8.739 8.675 8.622 8.629 8.671 8.637 9.232
0.00010274 -2.18000 10.07918 0.1290953606 1.3764675856    0.129 -2.395  3.5957  5.277    1  0.000  0.545     0.00     0.00 -1 -3.25e-16      0.00 7.406e-01 2.593e-01 1.868e-05 5.040e-06 4.572e-05 -1.000 1.039e-04 10.757 10.444 9.787 9.290 8.748 8.506 8.405 8.204 8.145 8.849 8.314 8.877 8.580 8.534 8.474 8.444 8.377 8.242 8.175 8.125 8.131 8.168 8.154 8.677
0.00010274 -2.18000 10.07918 0.1487521678 1.4838291407    0.148 -2.231  3.6072  5.221    1  0.000  0.545     0.00     0.00 -1  -4.7e-16      0.00 7.387e-01 2.612e-01 1.868e-05 5.040e-06 4.572e-05 -1.000 1.039e-04 10.347 10.008 9.384 8.909 8.374 8.123 8.019 7.851 7.799 8.470 7.944 8.502 8.206 8.151 8.092 8.055 7.995 7.882 7.827 7.783 7.786 7.818 7.806 8.302
0.00010274 -2.18000 10.07918 0.1684089303 1.5741690397    0.168 -2.104  3.6146  5.177    1  0.000  0.545     0.00     0.00 -1 -6.24e-16      0.00 7.379e-01 2.620e-01 1.868e-05 5.040e-06 4.572e-05 -1.000 1.038e-04 10.030 9.679 9.072 8.610 8.079 7.821 7.710 7.567 7.521 8.172 7.646 8.206 7.912 7.849 7.791 7.745 7.686 7.594 7.547 7.507 7.509 7.537 7.524 8.008
0.00010274 -2.18000 10.07918 0.2077224851 1.7194390297    0.207 -1.899  3.6256  5.108    1  0.000  0.545     0.00     0.00 -1 -9.72e-16      0.00 7.374e-01 2.624e-01 1.868e-05 5.040e-06 4.572e-05 -1.000 1.040e-04 9.519 9.150 8.571 8.128 7.603 7.338 7.215 7.108 7.070 7.693 7.168 7.728 7.439 7.366 7.308 7.249 7.191 7.128 7.095 7.061 7.062 7.082 7.070 7.533
0.00010274 -2.18000 10.07918 0.2568644583 1.8574451208    0.256 -1.711  3.6357  5.052    1  0.000  0.545     0.00     0.00 -1 -1.44e-15      0.00 7.377e-01 2.622e-01 1.868e-05 5.041e-06 4.572e-05 -1.000 1.039e-04 9.047 8.662 8.106 7.680 7.169 6.909 6.787 6.697 6.663 7.258 6.747 7.290 7.010 6.936 6.881 6.819 6.763 6.713 6.686 6.655 6.656 6.672 6.660 7.101
0.00010274 -2.18000 10.07918 0.3060064018 1.9647884369    0.305 -1.565  3.6441  5.016    1  0.000  0.545     0.00     0.00 -1 -1.92e-15      0.00 7.377e-01 2.622e-01 1.867e-05 5.041e-06 4.572e-05 -1.000 1.038e-04 8.683 8.283 7.747 7.336 6.836 6.583 6.462 6.384 6.353 6.924 6.427 6.954 6.682 6.609 6.556 6.492 6.439 6.398 6.374 6.346 6.346 6.360 6.349 6.770
0.00010274 -2.18000 10.07918 0.3551483452 2.0517756939    0.355 -1.442  3.6520  4.990    1  0.000  0.544     0.00     0.00 -1 -2.44e-15      0.00 7.387e-01 2.612e-01 1.866e-05 5.042e-06 4.572e-05 -1.000 1.039e-04 8.376 7.963 7.446 7.049 6.559 6.312 6.194 6.126 6.098 6.647 6.164 6.674 6.408 6.338 6.287 6.223 6.173 6.139 6.117 6.092 6.092 6.104 6.094 6.495
0.00010274 -2.18000 10.07918 0.4042902589 2.1243727207    0.404 -1.321  3.6604  4.959    1  0.000  0.545     0.00     0.00 -1 -3.13e-15      0.00 7.501e-01 2.498e-01 1.868e-05 5.040e-06 4.571e-05 -1.000 1.039e-04 8.072 7.650 7.153 6.769 6.289 6.051 5.938 5.877 5.852 6.378 5.912 6.401 6.142 6.075 6.027 5.966 5.918 5.889 5.870 5.847 5.847 5.857 5.848 6.226
