# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Apr  2 18:02:34 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: HST/WFC3 wide filters (UVIS1+IR, final throughputs)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F218W1mag  F225W1mag  F275W1mag  F336Wmag  F390Wmag  F438Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag  F105Wmag  F110Wmag  F125Wmag  F140Wmag  F160Wmag
0.00011527 -2.13000 10.07918 0.0979499072 1.1537494659    0.098 -2.866  3.5443  5.424    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-16      0.00 7.460e-01 2.539e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 11.936 20.858 20.429 20.280 16.468 16.122 15.097 14.234 13.364 12.747 12.395 11.337 11.182 10.508 10.328 10.109 9.925 9.794
0.00011527 -2.13000 10.07918 0.1078079492 1.2332048416    0.107 -2.670  3.5680  5.362    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-16      0.00 7.439e-01 2.559e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 11.444 19.850 19.466 18.549 15.260 14.871 14.114 13.390 12.633 12.050 11.717 10.844 10.711 10.087 9.912 9.701 9.498 9.332
0.00011527 -2.13000 10.07918 0.1275240183 1.3669745922    0.127 -2.417  3.5922  5.280    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.09e-16      0.00 7.409e-01 2.590e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 10.812 18.591 18.067 16.783 13.969 13.626 13.064 12.440 11.796 11.270 10.965 10.207 10.089 9.517 9.352 9.151 8.939 8.748
0.00011527 -2.13000 10.07918 0.1472401023 1.4762414694    0.147 -2.250  3.6042  5.223    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.52e-16      0.00 7.390e-01 2.609e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 10.394 17.858 17.249 15.884 13.253 12.958 12.468 11.883 11.287 10.791 10.502 9.784 9.673 9.127 8.966 8.771 8.558 8.361
0.00011527 -2.13000 10.07918 0.1669561714 1.5679714680    0.166 -2.119  3.6119  5.178    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.03e-16      0.00 7.380e-01 2.619e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.206e-04 10.068 17.336 16.676 15.266 12.743 12.485 12.037 11.474 10.906 10.429 10.150 9.455 9.348 8.819 8.662 8.470 8.257 8.057
0.00011527 -2.13000 10.07918 0.2063883394 1.7151124477    0.206 -1.912  3.6231  5.108    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.46e-16      0.00 7.375e-01 2.623e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 9.551 16.499 15.780 14.340 11.973 11.772 11.378 10.842 10.310 9.859 9.595 8.931 8.830 8.325 8.173 7.986 7.775 7.574
0.00011527 -2.13000 10.07918 0.2556785345 1.8545303345    0.255 -1.722  3.6334  5.052    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-15      0.00 7.378e-01 2.621e-01 2.166e-05 5.847e-06 5.302e-05 -1.000 1.205e-04 9.074 15.699 14.944 13.501 11.276 11.130 10.781 10.267 9.765 9.337 9.085 8.449 8.352 7.869 7.721 7.539 7.331 7.131
0.00011527 -2.13000 10.07918 0.3049687445 1.9627587795    0.305 -1.574  3.6419  5.016    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.89e-15      0.00 7.378e-01 2.621e-01 2.166e-05 5.847e-06 5.302e-05 -1.000 1.205e-04 8.706 15.079 14.298 12.848 10.731 10.633 10.318 9.822 9.343 8.932 8.690 8.075 7.982 7.518 7.374 7.195 6.991 6.794
0.00011527 -2.13000 10.07918 0.3542589247 2.0503430367    0.354 -1.451  3.6499  4.989    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-15      0.00 7.386e-01 2.613e-01 2.164e-05 5.848e-06 5.302e-05 -1.000 1.204e-04 8.397 14.563 13.757 12.291 10.264 10.212 9.927 9.447 8.986 8.591 8.357 7.762 7.673 7.225 7.084 6.910 6.709 6.515
0.00011527 -2.13000 10.07918 0.4035491049 2.1233644485    0.403 -1.328  3.6584  4.958    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.09e-15      0.00 7.501e-01 2.498e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 8.091 14.013 13.189 11.721 9.794 9.790 9.538 9.074 8.633 8.253 8.028 7.453 7.367 6.937 6.800 6.630 6.432 6.242
0.00011527 -2.13000 10.07918 0.4528392553 2.1856238842    0.452 -1.180  3.6722  4.914    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.31e-15      0.00 7.507e-01 2.492e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.204e-04 7.720 13.185 12.356 10.923 9.164 9.238 9.040 8.603 8.192 7.836 7.625 7.080 7.000 6.597 6.466 6.302 6.112 5.928
0.00011527 -2.13000 10.07918 0.5021294355 2.2396388054    0.502 -1.014  3.6876  4.855    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.42e-15      0.00 7.522e-01 2.477e-01 2.157e-05 5.819e-06 5.278e-05 -1.000 1.205e-04 7.305 12.241 11.427 10.056 8.478 8.633 8.493 8.088 7.709 7.378 7.180 6.668 6.595 6.222 6.097 5.941 5.758 5.582
0.00011527 -2.13000 10.07918 0.5514196754 2.2848303318    0.551 -0.812  3.7071  4.772    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-14      0.00 7.850e-01 2.149e-01 1.888e-05 5.097e-06 4.625e-05 -1.000 9.960e-05 6.800 10.974 10.240 9.017 7.663 7.909 7.837 7.476 7.134 6.831 6.650 6.178 6.112 5.775 5.658 5.511 5.338 5.172
