# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr  6 22:17:00 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00011527 -2.13000 10.07918 0.0979499072 1.1537494659    0.098 -2.866  3.5443  5.424    1  0.000  0.545     0.00     0.00 -1 -1.06e-16      0.00 7.460e-01 2.539e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 11.936 16.615 14.949 13.273 12.132 11.174 10.151 9.786 9.678
0.00011527 -2.13000 10.07918 0.1078079492 1.2332048416    0.107 -2.670  3.5680  5.362    1  0.000  0.545     0.00     0.00 -1 -1.71e-16      0.00 7.439e-01 2.559e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 11.444 15.320 14.018 12.543 11.517 10.706 9.745 9.301 9.172
0.00011527 -2.13000 10.07918 0.1275240183 1.3669745922    0.127 -2.417  3.5922  5.280    1  0.000  0.545     0.00     0.00 -1 -3.09e-16      0.00 7.409e-01 2.590e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 10.812 13.995 12.995 11.705 10.802 10.085 9.196 8.696 8.548
0.00011527 -2.13000 10.07918 0.1472401023 1.4762414694    0.147 -2.250  3.6042  5.223    1  0.000  0.545     0.00     0.00 -1 -4.52e-16      0.00 7.390e-01 2.609e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 10.394 13.281 12.407 11.196 10.351 9.669 8.816 8.300 8.143
0.00011527 -2.13000 10.07918 0.1669561714 1.5679714680    0.166 -2.119  3.6119  5.178    1  0.000  0.545     0.00     0.00 -1 -6.03e-16      0.00 7.380e-01 2.619e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.206e-04 10.068 12.776 11.980 10.815 10.006 9.345 8.515 7.993 7.830
0.00011527 -2.13000 10.07918 0.2063883394 1.7151124477    0.206 -1.912  3.6231  5.108    1  0.000  0.545     0.00     0.00 -1 -9.46e-16      0.00 7.375e-01 2.623e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 9.551 12.016 11.324 10.220 9.460 8.827 8.030 7.507 7.341
0.00011527 -2.13000 10.07918 0.2556785345 1.8545303345    0.255 -1.722  3.6334  5.052    1  0.000  0.545     0.00     0.00 -1 -1.41e-15      0.00 7.378e-01 2.621e-01 2.166e-05 5.847e-06 5.302e-05 -1.000 1.205e-04 9.074 11.330 10.730 9.676 8.959 8.350 7.583 7.065 6.901
0.00011527 -2.13000 10.07918 0.3049687445 1.9627587795    0.305 -1.574  3.6419  5.016    1  0.000  0.545     0.00     0.00 -1 -1.89e-15      0.00 7.378e-01 2.621e-01 2.166e-05 5.847e-06 5.302e-05 -1.000 1.205e-04 8.706 10.796 10.269 9.254 8.570 7.981 7.240 6.729 6.570
0.00011527 -2.13000 10.07918 0.3542589247 2.0503430367    0.354 -1.451  3.6499  4.989    1  0.000  0.544     0.00     0.00 -1  -2.4e-15      0.00 7.386e-01 2.613e-01 2.164e-05 5.848e-06 5.302e-05 -1.000 1.204e-04 8.397 10.341 9.880 8.899 8.242 7.671 6.954 6.452 6.298
0.00011527 -2.13000 10.07918 0.4035491049 2.1233644485    0.403 -1.328  3.6584  4.958    1  0.000  0.545     0.00     0.00 -1 -3.09e-15      0.00 7.501e-01 2.498e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 8.091 9.882 9.493 8.547 7.919 7.366 6.673 6.182 6.036
