# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Sep 15 16:11:15 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
0.00011527 -2.13000 10.07918 0.0979499072 1.1537494659    0.098 -2.866  3.5443  5.424    1  0.000  0.545     0.00     0.00 -1 -1.06e-16      0.00 7.460e-01 2.539e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 11.936 11.753 10.853 10.284 9.824 9.708 9.470 9.199 9.101 9.950 9.346 9.887 9.749 9.733 9.678 9.569 9.378 9.237 9.174 9.110 9.098 9.092 9.077 9.790
0.00011527 -2.13000 10.07918 0.1078079492 1.2332048416    0.107 -2.670  3.5680  5.362    1  0.000  0.545     0.00     0.00 -1 -1.71e-16      0.00 7.439e-01 2.559e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 11.444 11.178 10.410 9.874 9.373 9.201 8.998 8.785 8.697 9.491 8.901 9.460 9.263 9.227 9.171 9.076 8.927 8.818 8.763 8.705 8.694 8.688 8.676 9.324
0.00011527 -2.13000 10.07918 0.1275240183 1.3669745922    0.127 -2.417  3.5922  5.280    1  0.000  0.545     0.00     0.00 -1 -3.09e-16      0.00 7.409e-01 2.590e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 10.812 10.491 9.814 9.317 8.796 8.573 8.403 8.244 8.173 8.901 8.332 8.904 8.657 8.599 8.544 8.464 8.350 8.271 8.227 8.179 8.170 8.166 8.155 8.736
0.00011527 -2.13000 10.07918 0.1472401023 1.4762414694    0.147 -2.250  3.6042  5.223    1  0.000  0.545     0.00     0.00 -1 -4.52e-16      0.00 7.390e-01 2.609e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 10.394 10.052 9.410 8.933 8.411 8.166 8.010 7.877 7.815 8.508 7.950 8.525 8.261 8.193 8.137 8.062 7.965 7.900 7.862 7.819 7.812 7.809 7.800 8.346
0.00011527 -2.13000 10.07918 0.1669561714 1.5679714680    0.166 -2.119  3.6119  5.178    1  0.000  0.545     0.00     0.00 -1 -6.03e-16      0.00 7.380e-01 2.619e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.206e-04 10.068 9.714 9.093 8.629 8.108 7.853 7.704 7.587 7.531 8.201 7.652 8.225 7.954 7.881 7.824 7.751 7.665 7.608 7.574 7.535 7.528 7.527 7.518 8.042
0.00011527 -2.13000 10.07918 0.2063883394 1.7151124477    0.206 -1.912  3.6231  5.108    1  0.000  0.545     0.00     0.00 -1 -9.46e-16      0.00 7.375e-01 2.623e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 9.551 9.179 8.587 8.142 7.625 7.363 7.222 7.125 7.077 7.715 7.179 7.744 7.469 7.391 7.334 7.263 7.189 7.143 7.115 7.080 7.074 7.074 7.065 7.558
0.00011527 -2.13000 10.07918 0.2556785345 1.8545303345    0.255 -1.722  3.6334  5.052    1  0.000  0.545     0.00     0.00 -1 -1.41e-15      0.00 7.378e-01 2.621e-01 2.166e-05 5.847e-06 5.302e-05 -1.000 1.205e-04 9.074 8.687 8.120 7.691 7.182 6.921 6.786 6.704 6.662 7.270 6.750 7.301 7.027 6.949 6.893 6.822 6.757 6.719 6.695 6.664 6.659 6.658 6.651 7.116
0.00011527 -2.13000 10.07918 0.3049687445 1.9627587795    0.305 -1.574  3.6419  5.016    1  0.000  0.545     0.00     0.00 -1 -1.89e-15      0.00 7.378e-01 2.621e-01 2.166e-05 5.847e-06 5.302e-05 -1.000 1.205e-04 8.706 8.305 7.759 7.345 6.844 6.587 6.458 6.385 6.347 6.931 6.426 6.961 6.690 6.614 6.560 6.491 6.431 6.398 6.377 6.348 6.344 6.344 6.337 6.778
0.00011527 -2.13000 10.07918 0.3542589247 2.0503430367    0.354 -1.451  3.6499  4.989    1  0.000  0.544     0.00     0.00 -1  -2.4e-15      0.00 7.386e-01 2.613e-01 2.164e-05 5.848e-06 5.302e-05 -1.000 1.204e-04 8.397 7.985 7.458 7.056 6.564 6.314 6.190 6.123 6.089 6.652 6.161 6.679 6.414 6.340 6.288 6.221 6.166 6.136 6.116 6.090 6.086 6.086 6.080 6.500
0.00011527 -2.13000 10.07918 0.4035491049 2.1233644485    0.403 -1.328  3.6584  4.958    1  0.000  0.545     0.00     0.00 -1 -3.09e-15      0.00 7.501e-01 2.498e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 8.091 7.668 7.161 6.772 6.291 6.049 5.931 5.870 5.838 6.378 5.904 6.403 6.143 6.073 6.024 5.960 5.909 5.882 5.864 5.839 5.836 5.836 5.830 6.228
