# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Nov 20 18:09:45 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: JWST NIRCam wide+verywide+medium filters, Vegamags
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F070Wmag  F090Wmag  F115Wmag  F150Wmag  F200Wmag  F277Wmag  F356Wmag  F444Wmag  F150W2mag  F322W2mag  F140Mmag  F162Mmag  F182Mmag  F210Mmag  F250Mmag  F300Mmag  F335Mmag  F360Mmag  F410Mmag  F430Mmag  F460Mmag  F480Mmag  F150WS60mag
0.00011527 -2.13000 10.07918 0.0979499072 1.1537494659    0.098 -2.866  3.5443  5.424    1  0.000  0.545     0.00     0.00 -1 -1.06e-16      0.00 7.460e-01 2.539e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 11.936 11.855 10.985 10.377 9.794 9.546 9.385 9.150 9.090 9.902 9.279 9.922 9.623 9.581 9.503 9.444 9.332 9.191 9.121 9.066 9.075 9.124 9.080 9.721
0.00011527 -2.13000 10.07918 0.1078079492 1.2332048416    0.107 -2.670  3.5680  5.362    1  0.000  0.545     0.00     0.00 -1 -1.71e-16      0.00 7.439e-01 2.559e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 11.444 11.262 10.503 9.945 9.373 9.092 8.944 8.760 8.702 9.467 8.861 9.502 9.199 9.130 9.052 8.994 8.903 8.797 8.734 8.681 8.689 8.731 8.694 9.298
0.00011527 -2.13000 10.07918 0.1275240183 1.3669745922    0.127 -2.417  3.5922  5.280    1  0.000  0.545     0.00     0.00 -1 -3.09e-16      0.00 7.409e-01 2.590e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 10.812 10.519 9.846 9.338 8.791 8.542 8.439 8.234 8.175 8.890 8.346 8.921 8.620 8.572 8.508 8.478 8.410 8.274 8.205 8.153 8.160 8.201 8.184 8.719
0.00011527 -2.13000 10.07918 0.1472401023 1.4762414694    0.147 -2.250  3.6042  5.223    1  0.000  0.545     0.00     0.00 -1 -4.52e-16      0.00 7.390e-01 2.609e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 10.394 10.060 9.428 8.948 8.410 8.159 8.063 7.883 7.830 8.507 7.982 8.540 8.239 8.187 8.127 8.097 8.039 7.917 7.857 7.811 7.816 7.851 7.839 8.338
0.00011527 -2.13000 10.07918 0.1669561714 1.5679714680    0.166 -2.119  3.6119  5.178    1  0.000  0.545     0.00     0.00 -1 -6.03e-16      0.00 7.380e-01 2.619e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.206e-04 10.068 9.723 9.110 8.643 8.108 7.849 7.745 7.593 7.545 8.201 7.677 8.237 7.938 7.877 7.818 7.779 7.723 7.622 7.571 7.529 7.533 7.564 7.551 8.036
0.00011527 -2.13000 10.07918 0.2063883394 1.7151124477    0.206 -1.912  3.6231  5.108    1  0.000  0.545     0.00     0.00 -1 -9.46e-16      0.00 7.375e-01 2.623e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 9.551 9.187 8.601 8.153 7.626 7.360 7.243 7.128 7.089 7.716 7.192 7.752 7.460 7.389 7.330 7.276 7.219 7.150 7.113 7.078 7.080 7.103 7.090 7.555
0.00011527 -2.13000 10.07918 0.2556785345 1.8545303345    0.255 -1.722  3.6334  5.052    1  0.000  0.545     0.00     0.00 -1 -1.41e-15      0.00 7.378e-01 2.621e-01 2.166e-05 5.847e-06 5.302e-05 -1.000 1.205e-04 9.074 8.693 8.132 7.702 7.185 6.923 6.802 6.709 6.675 7.274 6.761 7.308 7.024 6.950 6.894 6.834 6.779 6.726 6.698 6.666 6.667 6.686 6.674 7.116
0.00011527 -2.13000 10.07918 0.3049687445 1.9627587795    0.305 -1.574  3.6419  5.016    1  0.000  0.545     0.00     0.00 -1 -1.89e-15      0.00 7.378e-01 2.621e-01 2.166e-05 5.847e-06 5.302e-05 -1.000 1.205e-04 8.706 8.310 7.769 7.354 6.848 6.592 6.472 6.393 6.362 6.937 6.437 6.968 6.692 6.618 6.565 6.503 6.450 6.407 6.383 6.354 6.355 6.371 6.360 6.782
0.00011527 -2.13000 10.07918 0.3542589247 2.0503430367    0.354 -1.451  3.6499  4.989    1  0.000  0.544     0.00     0.00 -1  -2.4e-15      0.00 7.386e-01 2.613e-01 2.164e-05 5.848e-06 5.302e-05 -1.000 1.204e-04 8.397 7.988 7.467 7.065 6.570 6.320 6.203 6.133 6.106 6.658 6.173 6.686 6.416 6.346 6.294 6.232 6.182 6.146 6.125 6.099 6.100 6.113 6.103 6.504
0.00011527 -2.13000 10.07918 0.4035491049 2.1233644485    0.403 -1.328  3.6584  4.958    1  0.000  0.545     0.00     0.00 -1 -3.09e-15      0.00 7.501e-01 2.498e-01 2.167e-05 5.846e-06 5.302e-05 -1.000 1.205e-04 8.091 7.671 7.170 6.782 6.297 6.056 5.944 5.882 5.858 6.386 5.917 6.411 6.148 6.080 6.032 5.971 5.924 5.894 5.875 5.852 5.852 5.864 5.855 6.233
